"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Edmonton,,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      223 Technical occupations in civil, mechanical and industrial engineering",4650,76286,90152,
        2231 Civil engineering technologists and technicians,1330,76953,79678,
        2232 Mechanical engineering technologists and technicians,725,76078,84648,
        2233 Industrial engineering and manufacturing technologists and technicians,715,65396,75632,
        2234 Construction estimators,1880,81695,105209,
      224 Technical occupations in electronics and electrical engineering,5640,66128,78075,
        2241 Electrical and electronics engineering technologists and technicians,1850,73104,81946,
        2242 Electronic service technicians (household and business equipment),2395,53570,55611,
        2243 Industrial instrument technicians and mechanics,1250,114684,113748,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",150,85931,91420,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",3200,61322,64843,
        2251 Architectural technologists and technicians,360,61768,62377,
        2252 Industrial designers,195,68984,82152,
        2253 Drafting technologists and technicians,1835,60331,64895,
        2254 Land survey technologists and technicians,345,53099,52093,
        2255 Technical occupations in geomatics and meteorology,465,72661,68620,
      226 Other technical inspectors and regulatory officers,5820,80429,84919,
        2261 Non-destructive testers and inspection technicians,1280,86197,89691,
        2262 Engineering inspectors and regulatory officers,395,83352,90111,
        2263 Inspectors in public and environmental health and occupational health and safety,3020,77053,83057,
        2264 Construction inspectors,1115,79632,82641,
      227 Transportation officers and controllers,980,102232,114377,
"        2271 Air pilots, flight engineers and flying instructors",460,87863,103696,
        2272 Air traffic controllers and related occupations,370,136421,139397,
"        2273 Deck officers, water transport",25,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,130,102318,97543,
      228 Technical occupations in computer and information systems,3560,66216,68804,
        2281 Computer network technicians,2220,69196,70425,
        2282 User support technicians,1090,61856,67744,
        2283 Information systems testing technicians,250,60740,59009,
  3 Health occupations,54415,57665,69886,
    30 Professional occupations in nursing,14720,77320,72988,
      301 Professional occupations in nursing,14725,77320,72988,
        3011 Nursing co-ordinators and supervisors,560,83734,77009,
        3012 Registered nurses and registered psychiatric nurses,14165,77126,72829,
    31 Professional occupations in health (except nursing),11565,85747,118504,
"      311 Physicians, dentists and veterinarians",5355,125373,171016,
        3111 Specialist physicians,1980,142258,228195,
        3112 General practitioners and family physicians,2325,107703,137296,
        3113 Dentists,760,125405,159452,
        3114 Veterinarians,290,82899,81875,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",690,72582,78085,
        3121 Optometrists,185,59410,68333,
        3122 Chiropractors,180,79157,76245,
        3124 Allied primary health practitioners,245,105780,93311,
        3125 Other professional occupations in health diagnosing and treating,75,47252,58724,
"      313 Pharmacists, dietitians and nutritionists",2590,80097,76345,
        3131 Pharmacists,2015,86635,79892,
        3132 Dietitians and nutritionists,575,69870,63950,
      314 Therapy and assessment professionals,2925,70368,69260,
        3141 Audiologists and speech-language pathologists,590,69448,71280,
        3142 Physiotherapists,960,71531,72206,
        3143 Occupational therapists,935,77027,70690,
        3144 Other professional occupations in therapy and assessment,435,53161,56901,
