"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Montréal [1],,,,
Global non-response rate (GNR) =   3.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
  3 Health occupations,145035,42150,55045,
    30 Professional occupations in nursing,33215,60271,57764,
      301 Professional occupations in nursing,33215,60271,57764,
        3011 Nursing co-ordinators and supervisors,2015,78498,73950,
        3012 Registered nurses and registered psychiatric nurses,31200,59423,56719,
    31 Professional occupations in health (except nursing),33530,68964,102520,
"      311 Physicians, dentists and veterinarians",15670,106145,145516,
        3111 Specialist physicians,6025,141020,187526,
        3112 General practitioners and family physicians,6205,94303,127124,
        3113 Dentists,2515,99474,115338,
        3114 Veterinarians,915,69035,76552,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",3025,45654,57865,
        3121 Optometrists,785,82331,88603,
        3122 Chiropractors,510,58198,67917,
        3124 Allied primary health practitioners,260,69342,62648,
        3125 Other professional occupations in health diagnosing and treating,1470,29029,37178,
"      313 Pharmacists, dietitians and nutritionists",6140,87395,89446,
        3131 Pharmacists,4680,103315,102773,
        3132 Dietitians and nutritionists,1455,49841,46545,
      314 Therapy and assessment professionals,8700,53082,49831,
        3141 Audiologists and speech-language pathologists,1700,56676,51424,
        3142 Physiotherapists,3245,54724,53029,
        3143 Occupational therapists,2415,58357,54521,
        3144 Other professional occupations in therapy and assessment,1345,29243,31633,
    32 Technical occupations in health,40645,36783,36791,
      321 Medical technologists and technicians (except dental health),18590,37644,37786,
        3211 Medical laboratory technologists,2260,50934,47993,
        3212 Medical laboratory technicians and pathologists' assistants,2410,43139,40731,
        3213 Animal health technologists and veterinary technicians,1430,30372,30738,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",1795,56803,55099,
        3215 Medical radiation technologists,2500,49396,47786,
        3216 Medical sonographers,170,50007,47067,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",335,43839,43680,
        3219 Other medical technologists and technicians (except dental health),7690,27128,27423,
      322 Technical occupations in dental health care,4075,42383,42321,
        3221 Denturists,495,43456,52968,
        3222 Dental hygienists and dental therapists,2855,44192,42462,
"        3223 Dental technologists, technicians and laboratory assistants",725,32634,34526,
      323 Other technical occupations in health care,17980,34443,34510,
        3231 Opticians,1050,42872,41170,
        3232 Practitioners of natural healing,810,17454,28158,
        3233 Licensed practical nurses,9550,39258,38182,
        3234 Paramedical occupations,1700,58668,55604,
        3236 Massage therapists,3980,12654,14753,
        3237 Other technical occupations in therapy and assessment,900,37613,41053,
    34 Assisting occupations in support of health services,37645,29687,30071,
      341 Assisting occupations in support of health services,37645,29687,30071,
        3411 Dental assistants,3240,27904,27828,
"        3413 Nurse aides, orderlies and patient service associates",30435,29886,29569,
        3414 Other assisting occupations in support of health services,3970,31576,35752,
"  4 Occupations in education, law and social, community and government services",262375,40368,49244,
    40 Professional occupations in education services,93430,56420,53833,
      401 University professors and post-secondary assistants,20730,30669,54663,
        4011 University professors and lecturers,10325,91135,87661,
        4012 Post-secondary teaching and research assistants,10405,9385,21921,
      402 College and other vocational instructors,17555,59688,54585,
        4021 College and other vocational instructors,17555,59688,54585,
      403 Secondary and elementary school teachers and educational counsellors,55150,58890,53281,
        4031 Secondary school teachers,22590,63055,56593,
        4032 Elementary school and kindergarten teachers,29690,55746,50604,
        4033 Educational counsellors,2865,54558,54918,
"    41 Professional occupations in law and social, community and government services",57215,56667,71314,
"      411 Judges, lawyers and Quebec notaries",14295,79954,118201,
        4111 Judges,665,204853,194270,
        4112 Lawyers and Quebec notaries,13625,76419,114482,
      415 Social and community service professionals,17245,51085,49746,
        4151 Psychologists,4635,50927,50581,
        4152 Social workers,6175,55433,52376,
"        4153 Family, marriage and other related counsellors",3310,53710,49468,
        4154 Professional occupations in religion,1180,36384,38785,
        4155 Probation and parole officers and related occupations,520,63104,60607,
        4156 Employment counsellors,1425,40068,41417,
"      416 Policy and program researchers, consultants and officers",25675,54027,59694,
"        4161 Natural and applied science policy researchers, consultants and program officers",2540,64159,67562,
        4162 Economists and economic policy researchers and analysts,2035,73733,97896,
        4163 Business development officers and marketing researchers and consultants,7810,50130,58213,
"        4164 Social policy researchers, consultants and program officers",3360,51800,54913,
"        4165 Health policy researchers, consultants and program officers",3560,60082,62472,
"        4166 Education policy researchers, consultants and program officers",2695,61319,56104,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",1005,41551,43958,
        4168 Program officers unique to government,1950,20423,36255,
"        4169 Other professional occupations in social science, n.e.c.",705,45041,47147,
"    42 Paraprofessional occupations in legal, social, community and education services",69005,26555,28389,
"      421 Paraprofessional occupations in legal, social, community and education services",69005,26555,28389,
        4211 Paralegal and related occupations,2815,42988,46955,
        4212 Social and community service workers,13125,33237,34438,
        4214 Early childhood educators and assistants,43475,23828,24722,
        4215 Instructors of persons with disabilities,5710,41157,38890,
        4216 Other instructors,2825,9548,15687,
        4217 Other religious occupations,1050,26694,31906,
    43 Occupations in front-line public protection services,14930,86003,79051,
      431 Occupations in front-line public protection services,14930,86003,79051,
        4311 Police officers (except commissioned),9195,89429,84514,
        4312 Firefighters,3455,89072,86010,
        4313 Non-commissioned ranks of the Canadian Armed Forces,2280,50081,46476,
"    44 Care providers and educational, legal and public protection support occupations",27795,18939,24154,
      441 Home care providers and educational support occupations,24460,16391,19461,
        4411 Home child care providers,5320,15518,16833,
"        4412 Home support workers, housekeepers and related occupations",7935,19517,21559,
        4413 Elementary and secondary school teacher assistants,11200,13866,19223,
      442 Legal and public protection support occupations,3340,60938,58515,
        4421 Sheriffs and bailiffs,365,48387,54624,
        4422 Correctional service officers,1835,66900,65906,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",1140,47268,47869,
"  5 Occupations in art, culture, recreation and sport",91900,22056,32580,
    51 Professional occupations in art and culture,33970,28161,38297,
"      511 Librarians, archivists, conservators and curators",1660,51653,51576,
        5111 Librarians,1075,58212,56559,
        5112 Conservators and curators,115,37108,45855,
        5113 Archivists,475,45593,41657,
"      512 Writing, translating and related communications professionals",15060,38008,43030,
        5121 Authors and writers,3805,35094,40656,
        5122 Editors,3080,41181,45940,
        5123 Journalists,2565,47325,52255,
"        5125 Translators, terminologists and interpreters",5605,35042,38819,
      513 Creative and performing artists,17250,18184,32887,
"        5131 Producers, directors, choreographers and related occupations",6045,45054,53186,
"        5132 Conductors, composers and arrangers",830,17300,27856,
        5133 Musicians and singers,4260,11898,17915,
        5134 Dancers,1245,9847,14143,
        5135 Actors and comedians,2120,14355,31155,
"        5136 Painters, sculptors and other visual artists",2755,13467,22829,
"    52 Technical occupations in art, culture, recreation and sport",57930,19060,29227,
"      521 Technical occupations in libraries, public archives, museums and art galleries",1950,31029,32695,
        5211 Library and public archive technicians,1195,41089,37669,
        5212 Technical occupations related to museums and art galleries,750,18240,24753,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",14470,36679,40886,
        5221 Photographers,2175,12411,20107,
        5222 Film and video camera operators,735,50461,48468,
        5223 Graphic arts technicians,3535,41627,47024,
        5224 Broadcast technicians,215,60084,58966,
        5225 Audio and video recording technicians,3020,39602,42397,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3235,42065,45943,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",1550,33921,36488,
"      523 Announcers and other performers, n.e.c.",1840,19524,35785,
        5231 Announcers and other broadcasters,755,43321,59640,
"        5232 Other performers, n.e.c.",1090,12299,19246,
      524 Creative designers and craftspersons,18055,32494,37306,
        5241 Graphic designers and illustrators,9675,35639,39156,
        5242 Interior designers and interior decorators,3255,28627,31680,
"        5243 Theatre, fashion, exhibit and other creative designers",3535,35486,43574,
        5244 Artisans and craftspersons,1110,11299,15484,
"        5245 Patternmakers - textile, leather and fur products",475,43893,42764,
"      525 Athletes, coaches, referees and related occupations",21625,6371,13810,
        5251 Athletes,280,14942,138526,
        5252 Coaches,1760,17738,25950,
        5253 Sports officials and referees,765,2137,5467,
"        5254 Program leaders and instructors in recreation, sport and fitness",18820,5972,11146,
  6 Sales and service occupations,526205,18337,25529,
    62 Retail sales supervisors and specialized sales occupations,43125,42496,53110,
      621 Retail sales supervisors,8175,30254,35810,
        6211 Retail sales supervisors,8175,30254,35810,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,13170,51797,65504,
        6221 Technical sales specialists - wholesale trade,8695,61352,76069,
        6222 Retail and wholesale buyers,4470,40726,44971,
"      623 Insurance, real estate and financial sales occupations",21780,43030,52110,
        6231 Insurance agents and brokers,7260,47086,55851,
        6232 Real estate agents and salespersons,8035,28595,45666,
        6235 Financial sales representatives,6490,46387,55904,
    63 Service supervisors and specialized service occupations,69740,19791,23678,
      631 Service supervisors,9310,29907,35874,
        6311 Food service supervisors,3325,19714,24189,
        6312 Executive housekeepers,285,36428,39741,
"        6313 Accommodation, travel, tourism and related services supervisors",500,43232,53902,
        6314 Customer and information services supervisors,2360,46609,49528,
        6315 Cleaning supervisors,1110,33437,35381,
        6316 Other services supervisors,1730,32501,34187,
      632 Chefs and cooks,34470,19218,22084,
        6321 Chefs,6650,24021,28085,
        6322 Cooks,27825,18251,20650,
      633 Butchers and bakers,8335,22422,24209,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",3505,28304,28202,
        6332 Bakers,4830,18889,21311,
      634 Specialized occupations in personal and customer services,17625,16629,20103,
        6341 Hairstylists and barbers,12110,15567,18127,
"        6342 Tailors, dressmakers, furriers and milliners",3130,16727,19280,
        6343 Shoe repairers and shoemakers,270,21914,25232,
