"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Quebec / QuÈbec [1],,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        5111 Librarians,1585,57519,54333,
        5112 Conservators and curators,280,53300,50538,
        5113 Archivists,800,45899,42855,
"      512 Writing, translating and related communications professionals",22620,37742,42067,
        5121 Authors and writers,5200,33572,38702,
        5122 Editors,4660,40939,44504,
        5123 Journalists,3940,44962,50695,
"        5125 Translators, terminologists and interpreters",8820,35246,38909,
      513 Creative and performing artists,24820,16476,29747,
"        5131 Producers, directors, choreographers and related occupations",7780,44150,50842,
"        5132 Conductors, composers and arrangers",1095,15670,25902,
        5133 Musicians and singers,6560,11983,17720,
        5134 Dancers,1975,8609,12252,
        5135 Actors and comedians,2625,13729,30083,
"        5136 Painters, sculptors and other visual artists",4785,12579,19859,
"    52 Technical occupations in art, culture, recreation and sport",95245,16515,26260,
"      521 Technical occupations in libraries, public archives, museums and art galleries",3680,28262,30371,
        5211 Library and public archive technicians,1955,41039,38061,
        5212 Technical occupations related to museums and art galleries,1725,15312,21644,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",20920,34179,38298,
        5221 Photographers,3205,12520,19997,
        5222 Film and video camera operators,1220,44456,46010,
        5223 Graphic arts technicians,5640,36817,41721,
        5224 Broadcast technicians,330,57517,54350,
        5225 Audio and video recording technicians,4200,39158,41367,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",4280,37647,42953,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",2045,31545,34273,
"      523 Announcers and other performers, n.e.c.",3100,20068,33245,
        5231 Announcers and other broadcasters,1505,37333,49265,
"        5232 Other performers, n.e.c.",1605,12038,18232,
      524 Creative designers and craftspersons,27830,29542,34264,
        5241 Graphic designers and illustrators,13990,33495,36721,
        5242 Interior designers and interior decorators,6040,26576,29801,
"        5243 Theatre, fashion, exhibit and other creative designers",4700,35359,41795,
        5244 Artisans and craftspersons,2525,11638,15833,
"        5245 Patternmakers - textile, leather and fur products",580,42075,40751,
"      525 Athletes, coaches, referees and related occupations",39710,6295,13383,
        5251 Athletes,540,14952,110071,
        5252 Coaches,2965,17573,25333,
        5253 Sports officials and referees,1330,2113,5854,
"        5254 Program leaders and instructors in recreation, sport and fitness",34870,5940,11155,
  6 Sales and service occupations,1024350,17643,23861,
    62 Retail sales supervisors and specialized sales occupations,71235,41374,50262,
      621 Retail sales supervisors,14380,28850,33408,
        6211 Retail sales supervisors,14380,28850,33408,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,20110,51221,63224,
        6221 Technical sales specialists - wholesale trade,13260,61158,74243,
        6222 Retail and wholesale buyers,6850,37396,41905,
"      623 Insurance, real estate and financial sales occupations",36745,42946,49766,
        6231 Insurance agents and brokers,15405,46162,52137,
        6232 Real estate agents and salespersons,11990,29062,43853,
        6235 Financial sales representatives,9355,45414,53439,
    63 Service supervisors and specialized service occupations,146170,18759,22363,
      631 Service supervisors,17485,27237,33642,
        6311 Food service supervisors,6835,19702,23036,
        6312 Executive housekeepers,635,32256,34827,
"        6313 Accommodation, travel, tourism and related services supervisors",880,40622,48209,
        6314 Customer and information services supervisors,3390,45907,49140,
        6315 Cleaning supervisors,2520,34475,36969,
        6316 Other services supervisors,3225,29638,33025,
      632 Chefs and cooks,74475,18525,21151,
        6321 Chefs,9295,25225,28831,
        6322 Cooks,65180,17729,20055,
      633 Butchers and bakers,17450,23110,24054,
