"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Northwest Territories / Territoires du Nord-Ouest [1],,,,
Global non-response rate (GNR) =   8.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        4012 Post-secondary teaching and research assistants,15,22375,24946,
      402 College and other vocational instructors,165,108700,89981,
        4021 College and other vocational instructors,165,108700,89981,
      403 Secondary and elementary school teachers and educational counsellors,795,98777,90719,
        4031 Secondary school teachers,280,108805,97228,
        4032 Elementary school and kindergarten teachers,485,92928,85871,
        4033 Educational counsellors,35,103626,106756,
"    41 Professional occupations in law and social, community and government services",1235,100976,97894,
"      411 Judges, lawyers and Quebec notaries",145,137158,140755,
        4111 Judges,0,0,0,
        4112 Lawyers and Quebec notaries,140,136416,133542,
      415 Social and community service professionals,310,97088,84370,
        4151 Psychologists,15,0,125938,
        4152 Social workers,105,103764,89731,
"        4153 Family, marriage and other related counsellors",65,59044,65166,
        4154 Professional occupations in religion,35,62812,56697,
        4155 Probation and parole officers and related occupations,35,109660,104118,
        4156 Employment counsellors,50,99003,88201,
"      416 Policy and program researchers, consultants and officers",780,96742,95284,
"        4161 Natural and applied science policy researchers, consultants and program officers",175,94543,95107,
        4162 Economists and economic policy researchers and analysts,35,131732,126770,
        4163 Business development officers and marketing researchers and consultants,85,85024,83300,
"        4164 Social policy researchers, consultants and program officers",145,113537,106642,
"        4165 Health policy researchers, consultants and program officers",90,77181,77893,
"        4166 Education policy researchers, consultants and program officers",75,119176,100788,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",65,72747,74881,
        4168 Program officers unique to government,105,99910,103300,
"        4169 Other professional occupations in social science, n.e.c.",0,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",730,39287,46457,
"      421 Paraprofessional occupations in legal, social, community and education services",725,39287,46457,
        4211 Paralegal and related occupations,40,63724,57480,
        4212 Social and community service workers,405,47353,52926,
        4214 Early childhood educators and assistants,225,33091,33832,
        4215 Instructors of persons with disabilities,15,0,0,
        4216 Other instructors,35,10522,24852,
        4217 Other religious occupations,10,0,0,
    43 Occupations in front-line public protection services,445,87441,85483,
      431 Occupations in front-line public protection services,445,87441,85483,
        4311 Police officers (except commissioned),170,127390,124302,
        4312 Firefighters,145,29182,46578,
        4313 Non-commissioned ranks of the Canadian Armed Forces,130,82674,78815,
"    44 Care providers and educational, legal and public protection support occupations",760,48858,52994,
      441 Home care providers and educational support occupations,565,41406,44575,
        4411 Home child care providers,90,16665,20461,
"        4412 Home support workers, housekeepers and related occupations",195,42216,48028,
        4413 Elementary and secondary school teacher assistants,280,49102,49876,
      442 Legal and public protection support occupations,200,86461,76678,
        4421 Sheriffs and bailiffs,0,0,0,
        4422 Correctional service officers,165,90767,78799,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",30,65949,64252,
"  5 Occupations in art, culture, recreation and sport",595,24722,40671,
    51 Professional occupations in art and culture,210,43273,48172,
"      511 Librarians, archivists, conservators and curators",30,90154,71065,
        5111 Librarians,20,43355,67319,
        5112 Conservators and curators,0,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",130,26339,41145,
        5121 Authors and writers,20,0,0,
        5122 Editors,25,59155,62929,
        5123 Journalists,35,43484,54009,
"        5125 Translators, terminologists and interpreters",55,23704,34825,
      513 Creative and performing artists,50,65862,54233,
"        5131 Producers, directors, choreographers and related occupations",25,0,92393,
"        5132 Conductors, composers and arrangers",0,0,0,
        5133 Musicians and singers,0,0,0,
        5134 Dancers,10,0,0,
        5135 Actors and comedians,0,0,0,
"        5136 Painters, sculptors and other visual artists",15,0,0,
"    52 Technical occupations in art, culture, recreation and sport",390,19357,36711,
"      521 Technical occupations in libraries, public archives, museums and art galleries",65,34118,46201,
        5211 Library and public archive technicians,50,34093,40320,
        5212 Technical occupations related to museums and art galleries,20,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",45,66400,78642,
        5221 Photographers,0,0,0,
        5222 Film and video camera operators,10,0,0,
        5223 Graphic arts technicians,0,0,0,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,0,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",15,0,124179,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",0,0,0,
"      523 Announcers and other performers, n.e.c.",25,85702,75157,
        5231 Announcers and other broadcasters,25,85702,75157,
"        5232 Other performers, n.e.c.",0,0,0,
