"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saint John,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",15,0,0,
        4168 Program officers unique to government,50,0,0,
"        4169 Other professional occupations in social science, n.e.c.",0,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1345,23448,26262,
"      421 Paraprofessional occupations in legal, social, community and education services",1350,23448,26262,
        4211 Paralegal and related occupations,70,35253,44915,
        4212 Social and community service workers,490,25713,28784,
        4214 Early childhood educators and assistants,555,20430,20350,
        4215 Instructors of persons with disabilities,130,22052,31270,
        4216 Other instructors,90,12922,28135,
        4217 Other religious occupations,15,0,0,
    43 Occupations in front-line public protection services,735,83767,72777,
      431 Occupations in front-line public protection services,740,83767,72777,
        4311 Police officers (except commissioned),245,96871,93928,
        4312 Firefighters,305,82735,77472,
        4313 Non-commissioned ranks of the Canadian Armed Forces,185,27454,36872,
"    44 Care providers and educational, legal and public protection support occupations",1820,20951,22191,
      441 Home care providers and educational support occupations,1645,20201,19247,
        4411 Home child care providers,320,12218,14705,
"        4412 Home support workers, housekeepers and related occupations",705,19593,19322,
        4413 Elementary and secondary school teacher assistants,615,21511,21546,
      442 Legal and public protection support occupations,170,52500,49967,
        4421 Sheriffs and bailiffs,35,47778,51995,
        4422 Correctional service officers,105,52962,50382,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",30,43879,46582,
"  5 Occupations in art, culture, recreation and sport",1260,15292,23480,
    51 Professional occupations in art and culture,470,29250,32011,
"      511 Librarians, archivists, conservators and curators",40,73385,66779,
        5111 Librarians,30,0,62113,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",170,36769,39361,
        5121 Authors and writers,55,36044,39965,
        5122 Editors,45,31834,35315,
        5123 Journalists,40,56456,51763,
"        5125 Translators, terminologists and interpreters",25,0,0,
      513 Creative and performing artists,260,15859,22134,
"        5131 Producers, directors, choreographers and related occupations",25,0,0,
"        5132 Conductors, composers and arrangers",25,0,0,
        5133 Musicians and singers,130,14268,17609,
        5134 Dancers,10,0,0,
        5135 Actors and comedians,20,0,0,
"        5136 Painters, sculptors and other visual artists",55,20056,23057,
"    52 Technical occupations in art, culture, recreation and sport",790,11231,18444,
"      521 Technical occupations in libraries, public archives, museums and art galleries",65,11951,19317,
        5211 Library and public archive technicians,20,0,0,
        5212 Technical occupations related to museums and art galleries,40,11922,18055,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",105,9135,13667,
        5221 Photographers,60,6428,10433,
        5222 Film and video camera operators,10,0,0,
        5223 Graphic arts technicians,10,0,0,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,10,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",15,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",15,0,0,
"      523 Announcers and other performers, n.e.c.",30,0,31916,
        5231 Announcers and other broadcasters,20,0,0,
"        5232 Other performers, n.e.c.",10,0,0,
      524 Creative designers and craftspersons,225,32328,29863,
        5241 Graphic designers and illustrators,165,35690,31241,
        5242 Interior designers and interior decorators,25,0,0,
"        5243 Theatre, fashion, exhibit and other creative designers",0,0,0,
        5244 Artisans and craftspersons,30,21490,25502,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",365,6168,11560,
        5251 Athletes,0,0,0,
        5252 Coaches,15,0,0,
        5253 Sports officials and referees,25,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",325,6160,10726,
  6 Sales and service occupations,17315,18801,23936,
    62 Retail sales supervisors and specialized sales occupations,1655,39249,45232,
      621 Retail sales supervisors,310,25902,34440,
        6211 Retail sales supervisors,315,25902,34440,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,545,39756,51685,
        6221 Technical sales specialists - wholesale trade,340,51393,63330,
        6222 Retail and wholesale buyers,200,27517,31595,
"      623 Insurance, real estate and financial sales occupations",800,42584,45093,
        6231 Insurance agents and brokers,515,42336,42360,
        6232 Real estate agents and salespersons,120,47067,52225,
        6235 Financial sales representatives,170,45603,48347,
    63 Service supervisors and specialized service occupations,1960,18142,21581,
      631 Service supervisors,445,28490,31659,
        6311 Food service supervisors,215,18672,20312,
        6312 Executive housekeepers,15,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",25,0,0,
        6314 Customer and information services supervisors,120,38883,42301,
        6315 Cleaning supervisors,25,0,0,
        6316 Other services supervisors,45,38637,33838,
      632 Chefs and cooks,860,17126,18984,
        6321 Chefs,115,17407,21693,
        6322 Cooks,745,16650,18569,
      633 Butchers and bakers,210,18607,20931,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",50,23439,21904,
        6332 Bakers,155,18597,20603,
      634 Specialized occupations in personal and customer services,445,14807,16825,
        6341 Hairstylists and barbers,360,13985,15167,
"        6342 Tailors, dressmakers, furriers and milliners",50,11034,17715,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",0,0,0,
        6345 Upholsterers,0,0,0,
        6346 Funeral directors and embalmers,35,0,34470,
    64 Sales representatives and salespersons - wholesale and retail trade,2740,19055,26738,
      641 Sales and account representatives - wholesale trade (non-technical),370,46052,53134,
        6411 Sales and account representatives - wholesale trade (non-technical),370,46052,53134,
      642 Retail salespersons,2375,16195,22634,
        6421 Retail salespersons,2375,16195,22634,
    65 Service representatives and other customer and personal services occupations,4515,22283,24391,
      651 Occupations in food and beverage service,900,10468,13025,
        6511 Maîtres d'hôtel and hosts/hostesses,65,4339,10115,
        6512 Bartenders,105,17534,17393,
        6513 Food and beverage servers,730,10278,12654,
      652 Occupations in travel and accommodation,500,28979,34457,
        6521 Travel counsellors,190,26298,25368,
        6522 Pursers and flight attendants,10,0,0,
        6523 Airline ticket and service agents,185,59783,49840,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",10,0,0,
        6525 Hotel front desk clerks,110,21626,22264,
      653 Tourism and amusement services occupations,40,3001,3504,
        6531 Tour and travel guides,40,3001,3504,
        6532 Outdoor sport and recreational guides,0,0,0,
        6533 Casino occupations,0,0,0,
      654 Security guards and related security service occupations,550,26663,31149,
        6541 Security guards and related security service occupations,545,26663,31149,
      655 Customer and information services representatives,2265,24847,26233,
        6551 Customer services representatives - financial institutions,245,26766,29981,
        6552 Other customer and information services representatives,2015,24650,25771,
      656 Other occupations in personal service,270,15940,17311,
"        6561 Image, social and other personal consultants",25,0,0,
"        6562 Estheticians, electrologists and related occupations",175,17051,17280,
        6563 Pet groomers and animal care workers,60,14705,12718,
        6564 Other personal service occupations,10,0,0,
    66 Sales support occupations,2375,11252,13783,
      661 Cashiers,1610,9512,11566,
        6611 Cashiers,1610,9512,11566,
      662 Other sales support and related occupations,760,16833,18474,
        6621 Service station attendants,60,15833,25386,
"        6622 Store shelf stockers, clerks and order fillers",570,17121,17902,
        6623 Other sales related occupations,135,11698,17789,
"    67 Service support and other service occupations, n.e.c.",4065,16367,19922,
"      671 Food counter attendants, kitchen helpers and related support occupations",1580,9470,12704,
"        6711 Food counter attendants, kitchen helpers and related support occupations",1585,9470,12704,
"      672 Support occupations in accommodation, travel and amusement services",120,12465,17999,
"        6721 Support occupations in accommodation, travel and facilities set-up services",20,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",100,10873,16607,
      673 Cleaners,2150,22016,25379,
        6731 Light duty cleaners,1070,18201,19224,
        6732 Specialized cleaners,170,24093,27920,
"        6733 Janitors, caretakers and building superintendents",910,31930,32161,
"      674 Other service support and related occupations, n.e.c.",215,17598,19543,
"        6741 Dry cleaning, laundry and related occupations",120,27081,24444,
"        6742 Other service support occupations, n.e.c.",95,8883,13102,
"  7 Trades, transport and equipment operators and related occupations",9720,42249,48153,
"    72 Industrial, electrical and construction trades",3640,45728,52398,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",320,65259,72536,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",30,0,88256,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",45,83152,77496,
"        7203 Contractors and supervisors, pipefitting trades",45,136459,121078,
"        7204 Contractors and supervisors, carpentry trades",70,65636,64240,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",125,51796,53351,
"      723 Machining, metal forming, shaping and erecting trades",650,53267,56837,
        7231 Machinists and machining and tooling inspectors,50,65764,65796,
        7232 Tool and die makers,20,0,0,
        7233 Sheet metal workers,40,47300,44010,
        7234 Boilermakers,85,88185,76046,
        7235 Structural metal and platework fabricators and fitters,40,48895,48038,
        7236 Ironworkers,65,62650,63619,
        7237 Welders and related machine operators,345,50260,53035,
      724 Electrical trades and electrical power line and telecommunications workers,875,57485,60440,
        7241 Electricians (except industrial and power system),440,49159,52848,
        7242 Industrial electricians,160,87715,79650,
        7243 Power system electricians,40,98616,92764,
