"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Victoria [1],,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",65,41130,39888,
        3219 Other medical technologists and technicians (except dental health),435,32796,31772,
      322 Technical occupations in dental health care,465,56792,57994,
        3221 Denturists,40,57409,49978,
        3222 Dental hygienists and dental therapists,350,60291,59581,
"        3223 Dental technologists, technicians and laboratory assistants",80,49916,54968,
      323 Other technical occupations in health care,2060,41628,40348,
        3231 Opticians,85,43678,43194,
        3232 Practitioners of natural healing,245,17131,21189,
        3233 Licensed practical nurses,775,49690,44790,
        3234 Paramedical occupations,330,53440,54005,
        3236 Massage therapists,525,36281,35847,
        3237 Other technical occupations in therapy and assessment,100,30806,29415,
    34 Assisting occupations in support of health services,4205,38019,36716,
      341 Assisting occupations in support of health services,4210,38019,36716,
        3411 Dental assistants,480,40748,41579,
"        3413 Nurse aides, orderlies and patient service associates",3220,38428,36566,
        3414 Other assisting occupations in support of health services,505,31480,33021,
"  4 Occupations in education, law and social, community and government services",28405,48113,52889,
    40 Professional occupations in education services,8195,57378,56903,
      401 University professors and post-secondary assistants,2655,41459,56663,
        4011 University professors and lecturers,1560,84722,81521,
        4012 Post-secondary teaching and research assistants,1095,10792,21291,
      402 College and other vocational instructors,1140,57595,56865,
        4021 College and other vocational instructors,1140,57595,56865,
      403 Secondary and elementary school teachers and educational counsellors,4400,62730,57058,
        4031 Secondary school teachers,1575,64789,58757,
        4032 Elementary school and kindergarten teachers,2450,62831,57110,
        4033 Educational counsellors,375,51607,49583,
"    41 Professional occupations in law and social, community and government services",7730,58824,62640,
"      411 Judges, lawyers and Quebec notaries",1180,88551,104036,
        4111 Judges,25,0,263035,
        4112 Lawyers and Quebec notaries,1150,87097,100191,
      415 Social and community service professionals,2105,45256,46653,
        4151 Psychologists,290,38295,48693,
        4152 Social workers,680,55001,53763,
"        4153 Family, marriage and other related counsellors",445,33170,36775,
        4154 Professional occupations in religion,390,47490,47938,
        4155 Probation and parole officers and related occupations,70,70465,64445,
        4156 Employment counsellors,220,29302,34380,
"      416 Policy and program researchers, consultants and officers",4445,60155,59220,
"        4161 Natural and applied science policy researchers, consultants and program officers",620,69015,64696,
        4162 Economists and economic policy researchers and analysts,340,76483,69489,
        4163 Business development officers and marketing researchers and consultants,660,51216,58710,
"        4164 Social policy researchers, consultants and program officers",735,60151,58958,
"        4165 Health policy researchers, consultants and program officers",740,63310,58930,
"        4166 Education policy researchers, consultants and program officers",455,50626,50585,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",230,57426,52654,
        4168 Program officers unique to government,515,63054,59951,
"        4169 Other professional occupations in social science, n.e.c.",160,52080,52260,
"    42 Paraprofessional occupations in legal, social, community and education services",4575,30478,32009,
"      421 Paraprofessional occupations in legal, social, community and education services",4575,30478,32009,
        4211 Paralegal and related occupations,330,56286,50495,
        4212 Social and community service workers,2350,36294,35510,
        4214 Early childhood educators and assistants,1320,24800,24991,
        4215 Instructors of persons with disabilities,105,31559,33527,
        4216 Other instructors,405,10965,20491,
        4217 Other religious occupations,65,14322,23719,
    43 Occupations in front-line public protection services,3610,78269,79470,
      431 Occupations in front-line public protection services,3615,78269,79470,
        4311 Police officers (except commissioned),690,103764,102656,
        4312 Firefighters,365,103661,97358,
        4313 Non-commissioned ranks of the Canadian Armed Forces,2560,72916,70688,
"    44 Care providers and educational, legal and public protection support occupations",4290,24429,27546,
      441 Home care providers and educational support occupations,3885,22489,24096,
        4411 Home child care providers,1050,9990,14808,
"        4412 Home support workers, housekeepers and related occupations",1520,22931,26346,
        4413 Elementary and secondary school teacher assistants,1315,29105,28948,
      442 Legal and public protection support occupations,405,64914,60375,
        4421 Sheriffs and bailiffs,30,0,48270,
        4422 Correctional service officers,310,65935,64985,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",75,49915,45390,
"  5 Occupations in art, culture, recreation and sport",7380,16702,26203,
    51 Professional occupations in art and culture,2985,17932,28568,
"      511 Librarians, archivists, conservators and curators",230,66669,59220,
        5111 Librarians,140,67446,68798,
        5112 Conservators and curators,60,38170,39963,
        5113 Archivists,30,0,0,
"      512 Writing, translating and related communications professionals",1210,24111,34684,
        5121 Authors and writers,605,17417,29786,
        5122 Editors,305,32695,38948,
        5123 Journalists,145,48367,47771,
"        5125 Translators, terminologists and interpreters",160,27975,33567,
      513 Creative and performing artists,1550,11435,19307,
"        5131 Producers, directors, choreographers and related occupations",175,26814,39059,
"        5132 Conductors, composers and arrangers",80,16875,26224,
        5133 Musicians and singers,560,11654,17555,
        5134 Dancers,145,11952,19048,
        5135 Actors and comedians,180,1222,15283,
"        5136 Painters, sculptors and other visual artists",405,7277,13603,
"    52 Technical occupations in art, culture, recreation and sport",4395,16451,24596,
"      521 Technical occupations in libraries, public archives, museums and art galleries",180,19058,27980,
        5211 Library and public archive technicians,95,41917,35042,
        5212 Technical occupations related to museums and art galleries,85,13837,20707,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",670,16356,28110,
        5221 Photographers,300,13953,18962,
        5222 Film and video camera operators,55,8248,18032,
        5223 Graphic arts technicians,35,0,0,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,90,11700,29999,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",140,32894,46825,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",55,16321,19885,
"      523 Announcers and other performers, n.e.c.",155,24089,28279,
        5231 Announcers and other broadcasters,55,41804,47832,
"        5232 Other performers, n.e.c.",100,12007,17630,
      524 Creative designers and craftspersons,1310,25313,31222,
        5241 Graphic designers and illustrators,620,32276,37281,
        5242 Interior designers and interior decorators,250,25352,29928,
"        5243 Theatre, fashion, exhibit and other creative designers",140,20870,30759,
        5244 Artisans and craftspersons,285,11591,19036,
"        5245 Patternmakers - textile, leather and fur products",15,0,0,
"      525 Athletes, coaches, referees and related occupations",2075,12481,18688,
        5251 Athletes,75,5930,15470,
        5252 Coaches,200,25717,32362,
        5253 Sports officials and referees,55,4027,4787,
"        5254 Program leaders and instructors in recreation, sport and fitness",1745,11966,17681,
  6 Sales and service occupations,49280,19113,25499,
    62 Retail sales supervisors and specialized sales occupations,4040,40538,51919,
      621 Retail sales supervisors,925,31941,33678,
        6211 Retail sales supervisors,920,31941,33678,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,760,43280,50783,
        6221 Technical sales specialists - wholesale trade,455,50460,59643,
        6222 Retail and wholesale buyers,305,28063,37517,
"      623 Insurance, real estate and financial sales occupations",2355,43745,59441,
        6231 Insurance agents and brokers,610,43691,55581,
        6232 Real estate agents and salespersons,1280,43958,62023,
        6235 Financial sales representatives,465,42720,57380,
    63 Service supervisors and specialized service occupations,7850,25606,27823,
      631 Service supervisors,1110,29098,33137,
        6311 Food service supervisors,560,24464,25524,
        6312 Executive housekeepers,55,43916,40327,
"        6313 Accommodation, travel, tourism and related services supervisors",95,39546,39577,
        6314 Customer and information services supervisors,100,53471,49690,
        6315 Cleaning supervisors,150,35950,35492,
        6316 Other services supervisors,145,37105,41747,
      632 Chefs and cooks,4450,25420,27467,
        6321 Chefs,1065,37297,37732,
        6322 Cooks,3380,21818,24231,
      633 Butchers and bakers,825,29459,30971,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",200,42637,41458,
        6332 Bakers,625,26131,27525,
      634 Specialized occupations in personal and customer services,1465,20014,23118,
        6341 Hairstylists and barbers,1115,19890,22619,
"        6342 Tailors, dressmakers, furriers and milliners",170,19316,21430,
        6343 Shoe repairers and shoemakers,15,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",60,4854,11314,
        6345 Upholsterers,55,37482,38985,
        6346 Funeral directors and embalmers,50,26610,29708,
    64 Sales representatives and salespersons - wholesale and retail trade,9050,17531,25555,
      641 Sales and account representatives - wholesale trade (non-technical),835,50819,57035,
        6411 Sales and account representatives - wholesale trade (non-technical),840,50819,57035,
      642 Retail salespersons,8215,15864,22351,
        6421 Retail salespersons,8220,15864,22351,
    65 Service representatives and other customer and personal services occupations,10640,19095,24316,
      651 Occupations in food and beverage service,4325,13159,15480,
        6511 Maîtres d'hôtel and hosts/hostesses,475,8110,11053,
        6512 Bartenders,560,17461,20188,
        6513 Food and beverage servers,3285,13162,15318,
      652 Occupations in travel and accommodation,1200,29637,31890,
        6521 Travel counsellors,340,22892,26156,
        6522 Pursers and flight attendants,100,58402,55088,
        6523 Airline ticket and service agents,125,43808,42313,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",105,39135,33243,
        6525 Hotel front desk clerks,535,28176,28421,
      653 Tourism and amusement services occupations,375,17808,24075,
        6531 Tour and travel guides,145,6361,13470,
        6532 Outdoor sport and recreational guides,140,17815,19548,
        6533 Casino occupations,95,52227,46588,
      654 Security guards and related security service occupations,1175,27220,30506,
        6541 Security guards and related security service occupations,1170,27220,30506,
      655 Customer and information services representatives,2495,31820,33497,
        6551 Customer services representatives - financial institutions,620,28483,30769,
        6552 Other customer and information services representatives,1875,33125,34403,
      656 Other occupations in personal service,1070,18476,23406,
"        6561 Image, social and other personal consultants",35,0,0,
"        6562 Estheticians, electrologists and related occupations",705,20013,23814,
        6563 Pet groomers and animal care workers,285,17482,19802,
        6564 Other personal service occupations,45,7963,13656,
    66 Sales support occupations,5575,12069,16355,
      661 Cashiers,3140,10632,14892,
        6611 Cashiers,3135,10632,14892,
      662 Other sales support and related occupations,2440,14765,18237,
        6621 Service station attendants,200,14507,19948,
"        6622 Store shelf stockers, clerks and order fillers",1990,16079,18713,
        6623 Other sales related occupations,240,7074,12940,
"    67 Service support and other service occupations, n.e.c.",12120,15151,20390,
"      671 Food counter attendants, kitchen helpers and related support occupations",5300,10875,14393,
"        6711 Food counter attendants, kitchen helpers and related support occupations",5300,10875,14393,
"      672 Support occupations in accommodation, travel and amusement services",430,13344,18867,
"        6721 Support occupations in accommodation, travel and facilities set-up services",110,23785,26238,
"        6722 Operators and attendants in amusement, recreation and sport",320,10195,16261,
      673 Cleaners,5770,22378,25656,
        6731 Light duty cleaners,2735,17140,20115,
        6732 Specialized cleaners,520,25226,31128,
"        6733 Janitors, caretakers and building superintendents",2505,29664,30566,
"      674 Other service support and related occupations, n.e.c.",625,21409,23693,
"        6741 Dry cleaning, laundry and related occupations",285,28496,26063,
"        6742 Other service support occupations, n.e.c.",345,13484,21719,
"  7 Trades, transport and equipment operators and related occupations",22065,40969,44776,
"    72 Industrial, electrical and construction trades",10250,43209,47585,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",1230,55824,56717,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",110,84181,89593,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",225,71798,70454,
"        7203 Contractors and supervisors, pipefitting trades",70,75160,67269,
"        7204 Contractors and supervisors, carpentry trades",335,44714,43553,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",490,43941,50798,
"      723 Machining, metal forming, shaping and erecting trades",1260,59280,56147,
        7231 Machinists and machining and tooling inspectors,200,63864,57687,
        7232 Tool and die makers,25,0,0,
        7233 Sheet metal workers,310,59655,56705,
