"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatoon,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        3223 Dental technologists, technicians and laboratory assistants",55,40127,58888,
      323 Other technical occupations in health care,1480,43437,47136,
        3231 Opticians,135,42626,42628,
        3232 Practitioners of natural healing,45,22660,30428,
        3233 Licensed practical nurses,525,56748,54816,
        3234 Paramedical occupations,200,70602,76907,
        3236 Massage therapists,445,26730,29994,
        3237 Other technical occupations in therapy and assessment,120,34870,38896,
    34 Assisting occupations in support of health services,3310,36414,36883,
      341 Assisting occupations in support of health services,3305,36414,36883,
        3411 Dental assistants,335,46034,44538,
"        3413 Nurse aides, orderlies and patient service associates",2445,34586,35625,
        3414 Other assisting occupations in support of health services,530,38952,37899,
"  4 Occupations in education, law and social, community and government services",20855,46476,55273,
    40 Professional occupations in education services,8230,62881,64206,
      401 University professors and post-secondary assistants,2790,41368,68112,
        4011 University professors and lecturers,1315,123431,116596,
        4012 Post-secondary teaching and research assistants,1465,13826,24630,
      402 College and other vocational instructors,865,73683,69181,
        4021 College and other vocational instructors,865,73683,69181,
      403 Secondary and elementary school teachers and educational counsellors,4575,66577,60885,
        4031 Secondary school teachers,1480,73000,65489,
        4032 Elementary school and kindergarten teachers,2865,63315,58362,
        4033 Educational counsellors,230,65966,62655,
"    41 Professional occupations in law and social, community and government services",4545,59245,65644,
"      411 Judges, lawyers and Quebec notaries",795,105633,108433,
        4111 Judges,45,269823,231746,
        4112 Lawyers and Quebec notaries,745,101894,100890,
      415 Social and community service professionals,1800,55235,53638,
        4151 Psychologists,165,67154,64951,
        4152 Social workers,710,58211,56124,
