"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Yukon [1],,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        3012 Registered nurses and registered psychiatric nurses,310,81536,81755,
    31 Professional occupations in health (except nursing),290,82551,105669,
"      311 Physicians, dentists and veterinarians",110,70131,120757,
        3111 Specialist physicians,25,0,0,
        3112 General practitioners and family physicians,45,105094,131404,
        3113 Dentists,30,111586,97200,
        3114 Veterinarians,15,0,0,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",50,57334,119665,
        3121 Optometrists,25,0,0,
        3122 Chiropractors,0,0,0,
        3124 Allied primary health practitioners,15,0,0,
        3125 Other professional occupations in health diagnosing and treating,15,0,0,
"      313 Pharmacists, dietitians and nutritionists",35,122045,110140,
        3131 Pharmacists,30,0,128182,
        3132 Dietitians and nutritionists,10,0,0,
      314 Therapy and assessment professionals,90,75475,77130,
        3141 Audiologists and speech-language pathologists,15,0,0,
        3142 Physiotherapists,25,0,84823,
        3143 Occupational therapists,25,0,0,
        3144 Other professional occupations in therapy and assessment,30,0,75838,
    32 Technical occupations in health,315,57909,57398,
      321 Medical technologists and technicians (except dental health),80,56533,58565,
        3211 Medical laboratory technologists,20,0,0,
        3212 Medical laboratory technicians and pathologists' assistants,10,0,0,
        3213 Animal health technologists and veterinary technicians,0,0,0,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",10,0,0,
        3215 Medical radiation technologists,20,0,0,
        3216 Medical sonographers,10,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,
        3219 Other medical technologists and technicians (except dental health),15,0,0,
      322 Technical occupations in dental health care,25,0,0,
        3221 Denturists,0,0,0,
        3222 Dental hygienists and dental therapists,15,0,0,
"        3223 Dental technologists, technicians and laboratory assistants",10,0,0,
      323 Other technical occupations in health care,210,56607,55782,
        3231 Opticians,0,0,0,
        3232 Practitioners of natural healing,10,0,0,
        3233 Licensed practical nurses,70,77934,65472,
        3234 Paramedical occupations,70,88171,72221,
        3236 Massage therapists,50,23142,30511,
        3237 Other technical occupations in therapy and assessment,10,0,0,
    34 Assisting occupations in support of health services,320,51796,47442,
      341 Assisting occupations in support of health services,315,51796,47442,
        3411 Dental assistants,40,34830,40018,
"        3413 Nurse aides, orderlies and patient service associates",245,53945,48303,
        3414 Other assisting occupations in support of health services,35,55254,49422,
"  4 Occupations in education, law and social, community and government services",3805,64971,63476,
    40 Professional occupations in education services,955,76042,67667,
      401 University professors and post-secondary assistants,40,32054,35535,
        4011 University professors and lecturers,10,0,0,
        4012 Post-secondary teaching and research assistants,25,32004,30951,
      402 College and other vocational instructors,175,71157,70569,
        4021 College and other vocational instructors,175,71157,70569,
      403 Secondary and elementary school teachers and educational counsellors,745,79715,68600,
        4031 Secondary school teachers,245,88371,74184,
        4032 Elementary school and kindergarten teachers,435,74129,64467,
        4033 Educational counsellors,60,78753,75842,
"    41 Professional occupations in law and social, community and government services",1270,75624,73527,
"      411 Judges, lawyers and Quebec notaries",160,116816,104495,
        4111 Judges,10,0,0,
        4112 Lawyers and Quebec notaries,155,117128,105239,
      415 Social and community service professionals,355,70256,66475,
        4151 Psychologists,45,76282,71237,
        4152 Social workers,175,83929,72089,
"        4153 Family, marriage and other related counsellors",75,48354,53529,
        4154 Professional occupations in religion,40,64692,55905,
        4155 Probation and parole officers and related occupations,15,0,0,
        4156 Employment counsellors,15,0,74999,
"      416 Policy and program researchers, consultants and officers",750,72570,70210,
"        4161 Natural and applied science policy researchers, consultants and program officers",190,69149,66435,
        4162 Economists and economic policy researchers and analysts,30,87941,87084,
        4163 Business development officers and marketing researchers and consultants,75,62035,51437,
"        4164 Social policy researchers, consultants and program officers",130,72330,66183,
"        4165 Health policy researchers, consultants and program officers",75,80813,76116,
"        4166 Education policy researchers, consultants and program officers",70,88270,81199,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",30,35516,44725,
        4168 Program officers unique to government,95,82519,71019,
"        4169 Other professional occupations in social science, n.e.c.",45,94040,111204,
"    42 Paraprofessional occupations in legal, social, community and education services",780,41216,46124,
"      421 Paraprofessional occupations in legal, social, community and education services",780,41216,46124,
        4211 Paralegal and related occupations,20,0,0,
        4212 Social and community service workers,455,54445,53495,
        4214 Early childhood educators and assistants,250,28106,30293,
        4215 Instructors of persons with disabilities,20,0,0,
        4216 Other instructors,35,11669,33465,
        4217 Other religious occupations,10,0,0,
    43 Occupations in front-line public protection services,245,110055,102923,
      431 Occupations in front-line public protection services,245,110055,102923,
        4311 Police officers (except commissioned),150,116160,113578,
        4312 Firefighters,80,91724,91286,
        4313 Non-commissioned ranks of the Canadian Armed Forces,10,0,0,
"    44 Care providers and educational, legal and public protection support occupations",555,39816,40376,
      441 Home care providers and educational support occupations,455,29034,32719,
        4411 Home child care providers,70,13728,14414,
"        4412 Home support workers, housekeepers and related occupations",170,26204,34571,
        4413 Elementary and secondary school teacher assistants,215,41162,37547,
      442 Legal and public protection support occupations,100,77948,75403,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,65,78370,78883,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",25,79426,71307,
"  5 Occupations in art, culture, recreation and sport",805,23415,34638,
    51 Professional occupations in art and culture,320,34445,40529,
"      511 Librarians, archivists, conservators and curators",65,57776,54488,
        5111 Librarians,25,30049,44727,
        5112 Conservators and curators,30,0,0,
        5113 Archivists,15,0,69854,
"      512 Writing, translating and related communications professionals",100,57695,53214,
        5121 Authors and writers,35,43035,44055,
        5122 Editors,15,0,0,
        5123 Journalists,25,0,0,
"        5125 Translators, terminologists and interpreters",25,44204,49609,
      513 Creative and performing artists,155,7128,26325,
"        5131 Producers, directors, choreographers and related occupations",35,38872,62451,
"        5132 Conductors, composers and arrangers",10,0,0,
        5133 Musicians and singers,20,0,0,
        5134 Dancers,20,0,0,
        5135 Actors and comedians,0,0,0,
"        5136 Painters, sculptors and other visual artists",70,5660,15852,
"    52 Technical occupations in art, culture, recreation and sport",480,19535,30725,
"      521 Technical occupations in libraries, public archives, museums and art galleries",95,17119,24989,
        5211 Library and public archive technicians,10,0,0,
        5212 Technical occupations related to museums and art galleries,90,17076,25282,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",70,37925,37423,
        5221 Photographers,15,0,0,
        5222 Film and video camera operators,10,0,0,
        5223 Graphic arts technicians,0,0,0,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,15,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",10,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",10,0,0,
"      523 Announcers and other performers, n.e.c.",25,0,0,
        5231 Announcers and other broadcasters,15,0,0,
"        5232 Other performers, n.e.c.",0,0,0,
      524 Creative designers and craftspersons,145,32603,36498,
        5241 Graphic designers and illustrators,90,37840,38343,
        5242 Interior designers and interior decorators,10,0,0,
"        5243 Theatre, fashion, exhibit and other creative designers",10,0,0,
        5244 Artisans and craftspersons,35,49419,40570,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",155,10447,23545,
        5251 Athletes,0,0,0,
        5252 Coaches,10,0,0,
        5253 Sports officials and referees,0,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",150,8957,21760,
  6 Sales and service occupations,4100,23265,28747,
