"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = New Brunswick / Nouveau-Brunswick,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6341 Hairstylists and barbers,2570,12353,15356,
"        6342 Tailors, dressmakers, furriers and milliners",260,11631,16798,
        6343 Shoe repairers and shoemakers,25,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",55,25032,24226,
        6345 Upholsterers,85,13212,13395,
        6346 Funeral directors and embalmers,155,44103,43261,
    64 Sales representatives and salespersons - wholesale and retail trade,15870,19409,26117,
      641 Sales and account representatives - wholesale trade (non-technical),1915,48032,51578,
        6411 Sales and account representatives - wholesale trade (non-technical),1910,48032,51578,
      642 Retail salespersons,13955,16945,22623,
        6421 Retail salespersons,13950,16945,22623,
    65 Service representatives and other customer and personal services occupations,21405,20108,23292,
      651 Occupations in food and beverage service,5020,11887,13321,
        6511 MaÓtres d'hÙtel and hosts/hostesses,400,6625,10083,
        6512 Bartenders,650,15554,16263,
        6513 Food and beverage servers,3965,11879,13162,
      652 Occupations in travel and accommodation,1600,26814,28822,
        6521 Travel counsellors,435,25690,25064,
        6522 Pursers and flight attendants,80,48453,43085,
        6523 Airline ticket and service agents,325,54867,43871,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",100,46700,42388,
        6525 Hotel front desk clerks,655,18385,20064,
      653 Tourism and amusement services occupations,510,11662,18434,
        6531 Tour and travel guides,175,7273,7467,
        6532 Outdoor sport and recreational guides,215,13029,15506,
        6533 Casino occupations,120,34705,39949,
      654 Security guards and related security service occupations,2345,23178,26924,
        6541 Security guards and related security service occupations,2345,23178,26924,
      655 Customer and information services representatives,10300,26806,27909,
        6551 Customer services representatives - financial institutions,1805,29427,30460,
        6552 Other customer and information services representatives,8490,26090,27367,
      656 Other occupations in personal service,1640,12751,15709,
"        6561 Image, social and other personal consultants",65,12047,21750,
"        6562 Estheticians, electrologists and related occupations",1095,12883,15657,
        6563 Pet groomers and animal care workers,425,10693,13785,
        6564 Other personal service occupations,50,23166,25207,
    66 Sales support occupations,15335,11067,13988,
      661 Cashiers,10140,9562,11875,
        6611 Cashiers,10135,9562,11875,
      662 Other sales support and related occupations,5195,15594,18112,
        6621 Service station attendants,535,13018,16992,
"        6622 Store shelf stockers, clerks and order fillers",3830,15731,17060,
        6623 Other sales related occupations,830,16055,23688,
"    67 Service support and other service occupations, n.e.c.",23220,15739,19038,
"      671 Food counter attendants, kitchen helpers and related support occupations",8595,11067,13674,
"        6711 Food counter attendants, kitchen helpers and related support occupations",8595,11067,13674,
"      672 Support occupations in accommodation, travel and amusement services",865,8923,16468,
"        6721 Support occupations in accommodation, travel and facilities set-up services",105,15565,16765,
"        6722 Operators and attendants in amusement, recreation and sport",765,8662,16429,
      673 Cleaners,12740,20648,22690,
        6731 Light duty cleaners,5955,16643,18462,
        6732 Specialized cleaners,1050,22166,22972,
"        6733 Janitors, caretakers and building superintendents",5740,25419,27028,
"      674 Other service support and related occupations, n.e.c.",1020,20751,20823,
"        6741 Dry cleaning, laundry and related occupations",575,25186,24224,
"        6742 Other service support occupations, n.e.c.",440,14207,16355,
"  7 Trades, transport and equipment operators and related occupations",62795,35817,41331,
"    72 Industrial, electrical and construction trades",20050,36007,43348,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",1850,49516,56464,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",260,72633,78698,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",340,65241,69836,
"        7203 Contractors and supervisors, pipefitting trades",165,66043,79011,
"        7204 Contractors and supervisors, carpentry trades",370,41695,44473,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",715,41682,42971,
