"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Oshawa,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4012 Post-secondary teaching and research assistants,520,11092,18579,
      402 College and other vocational instructors,1040,66172,64720,
        4021 College and other vocational instructors,1040,66172,64720,
      403 Secondary and elementary school teachers and educational counsellors,7190,78257,68389,
        4031 Secondary school teachers,2235,81331,71624,
        4032 Elementary school and kindergarten teachers,4725,78138,67742,
        4033 Educational counsellors,230,55425,50246,
"    41 Professional occupations in law and social, community and government services",4050,63797,73343,
"      411 Judges, lawyers and Quebec notaries",450,89247,149877,
        4111 Judges,20,0,0,
        4112 Lawyers and Quebec notaries,435,87549,149642,
      415 Social and community service professionals,1565,59299,57242,
        4151 Psychologists,100,55022,56187,
        4152 Social workers,705,58502,58145,
"        4153 Family, marriage and other related counsellors",285,57301,53989,
        4154 Professional occupations in religion,290,59060,55394,
        4155 Probation and parole officers and related occupations,65,75695,76234,
        4156 Employment counsellors,125,51814,55116,
"      416 Policy and program researchers, consultants and officers",2035,66139,68670,
"        4161 Natural and applied science policy researchers, consultants and program officers",155,65669,69469,
        4162 Economists and economic policy researchers and analysts,200,86932,96270,
        4163 Business development officers and marketing researchers and consultants,630,70444,78663,
"        4164 Social policy researchers, consultants and program officers",150,72706,74083,
"        4165 Health policy researchers, consultants and program officers",230,57231,58878,
"        4166 Education policy researchers, consultants and program officers",235,70298,67695,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",150,56730,46865,
        4168 Program officers unique to government,215,38675,43910,
"        4169 Other professional occupations in social science, n.e.c.",70,47389,45792,
"    42 Paraprofessional occupations in legal, social, community and education services",4935,34980,37939,
"      421 Paraprofessional occupations in legal, social, community and education services",4935,34980,37939,
        4211 Paralegal and related occupations,715,53564,55458,
        4212 Social and community service workers,1695,45102,44705,
        4214 Early childhood educators and assistants,2080,27912,28965,
        4215 Instructors of persons with disabilities,110,37816,38913,
        4216 Other instructors,290,7260,21159,
        4217 Other religious occupations,55,0,0,
    43 Occupations in front-line public protection services,2885,103763,100815,
      431 Occupations in front-line public protection services,2885,103763,100815,
        4311 Police officers (except commissioned),1920,106300,104293,
        4312 Firefighters,830,103589,103018,
        4313 Non-commissioned ranks of the Canadian Armed Forces,135,33192,38071,
"    44 Care providers and educational, legal and public protection support occupations",4180,22413,26336,
      441 Home care providers and educational support occupations,3780,19577,21885,
        4411 Home child care providers,1015,8178,11794,
"        4412 Home support workers, housekeepers and related occupations",920,21842,23014,
        4413 Elementary and secondary school teacher assistants,1845,34020,26890,
      442 Legal and public protection support occupations,400,68046,68418,
        4421 Sheriffs and bailiffs,25,0,55344,
        4422 Correctional service officers,165,72210,73279,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",205,66280,66232,
"  5 Occupations in art, culture, recreation and sport",5380,17073,31086,
    51 Professional occupations in art and culture,1515,22017,35607,
"      511 Librarians, archivists, conservators and curators",105,58662,50416,
        5111 Librarians,75,63140,56349,
        5112 Conservators and curators,20,0,0,
        5113 Archivists,15,0,0,
"      512 Writing, translating and related communications professionals",545,46903,51378,
        5121 Authors and writers,235,33993,51460,
        5122 Editors,200,49280,52382,
        5123 Journalists,85,46948,51926,
"        5125 Translators, terminologists and interpreters",15,0,0,
      513 Creative and performing artists,865,9479,23877,
"        5131 Producers, directors, choreographers and related occupations",195,56937,51851,
"        5132 Conductors, composers and arrangers",15,0,0,
        5133 Musicians and singers,295,8715,16446,
        5134 Dancers,105,5489,8721,
        5135 Actors and comedians,130,7939,19887,
"        5136 Painters, sculptors and other visual artists",120,5718,14068,
"    52 Technical occupations in art, culture, recreation and sport",3860,15462,29307,
"      521 Technical occupations in libraries, public archives, museums and art galleries",125,26422,33723,
        5211 Library and public archive technicians,75,41962,40238,
        5212 Technical occupations related to museums and art galleries,50,13094,23858,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",640,32394,43482,
        5221 Photographers,160,9343,21345,
        5222 Film and video camera operators,50,23421,37864,
        5223 Graphic arts technicians,45,20696,24390,
        5224 Broadcast technicians,20,0,0,
        5225 Audio and video recording technicians,125,70692,59848,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",165,58702,56809,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",70,22391,40288,
"      523 Announcers and other performers, n.e.c.",120,21916,33004,
        5231 Announcers and other broadcasters,60,41033,58657,
"        5232 Other performers, n.e.c.",65,8545,11305,
      524 Creative designers and craftspersons,1120,31878,39091,
        5241 Graphic designers and illustrators,645,39186,43904,
        5242 Interior designers and interior decorators,290,28372,36245,
"        5243 Theatre, fashion, exhibit and other creative designers",85,30741,36387,
        5244 Artisans and craftspersons,100,13396,18934,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",1855,8252,17987,
        5251 Athletes,15,0,0,
        5252 Coaches,125,32153,35364,
        5253 Sports officials and referees,60,3121,5400,
"        5254 Program leaders and instructors in recreation, sport and fitness",1655,7475,12760,
  6 Sales and service occupations,47695,18058,28295,
    62 Retail sales supervisors and specialized sales occupations,4945,45100,58392,
      621 Retail sales supervisors,765,29367,37275,
        6211 Retail sales supervisors,765,29367,37275,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,1510,65175,73923,
        6221 Technical sales specialists - wholesale trade,1045,77847,89041,
        6222 Retail and wholesale buyers,465,28348,40004,
"      623 Insurance, real estate and financial sales occupations",2670,44249,55687,
        6231 Insurance agents and brokers,775,46981,56928,
        6232 Real estate agents and salespersons,1190,30018,50802,
        6235 Financial sales representatives,705,52265,62594,
    63 Service supervisors and specialized service occupations,5230,20830,26163,
      631 Service supervisors,1175,38196,44404,
        6311 Food service supervisors,465,22535,28089,
        6312 Executive housekeepers,15,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",55,43468,43472,
        6314 Customer and information services supervisors,245,52535,61435,
        6315 Cleaning supervisors,185,55965,60748,
        6316 Other services supervisors,210,43951,48632,
      632 Chefs and cooks,2145,15707,18810,
        6321 Chefs,370,25764,28609,
        6322 Cooks,1775,13615,16769,
      633 Butchers and bakers,530,21135,23150,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",80,36923,35051,
        6332 Bakers,445,19587,20958,
      634 Specialized occupations in personal and customer services,1385,18509,23241,
        6341 Hairstylists and barbers,1135,16998,20289,
"        6342 Tailors, dressmakers, furriers and milliners",65,18449,15832,
        6343 Shoe repairers and shoemakers,10,0,0,
