"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatchewan,,,,
Global non-response rate (GNR) =   6.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",170,41764,44866,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",95,13838,22547,
"      523 Announcers and other performers, n.e.c.",390,33485,41816,
        5231 Announcers and other broadcasters,280,48920,51835,
"        5232 Other performers, n.e.c.",110,15463,16612,
      524 Creative designers and craftspersons,1760,29296,32522,
        5241 Graphic designers and illustrators,810,38631,38308,
        5242 Interior designers and interior decorators,425,30284,33161,
"        5243 Theatre, fashion, exhibit and other creative designers",160,20899,24043,
        5244 Artisans and craftspersons,360,15620,22979,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",3550,9683,26413,
        5251 Athletes,95,0,0,
        5252 Coaches,265,28344,45011,
        5253 Sports officials and referees,125,3388,11933,
"        5254 Program leaders and instructors in recreation, sport and fitness",3065,9018,15933,
  6 Sales and service occupations,128625,20813,27622,
    62 Retail sales supervisors and specialized sales occupations,10495,45892,57111,
      621 Retail sales supervisors,2135,31443,35272,
        6211 Retail sales supervisors,2135,31443,35272,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,2900,61582,72343,
        6221 Technical sales specialists - wholesale trade,2125,73379,85728,
        6222 Retail and wholesale buyers,775,27444,35735,
"      623 Insurance, real estate and financial sales occupations",5460,48516,57560,
        6231 Insurance agents and brokers,1980,48213,64390,
        6232 Real estate agents and salespersons,1350,43083,51836,
        6235 Financial sales representatives,2130,50043,54843,
    63 Service supervisors and specialized service occupations,17810,24920,27094,
      631 Service supervisors,3020,31353,37045,
        6311 Food service supervisors,1685,27918,29561,
        6312 Executive housekeepers,170,29627,31142,
"        6313 Accommodation, travel, tourism and related services supervisors",195,41612,45176,
        6314 Customer and information services supervisors,165,61861,71488,
        6315 Cleaning supervisors,355,45151,50229,
        6316 Other services supervisors,455,39455,40791,
      632 Chefs and cooks,9085,23293,24636,
        6321 Chefs,1055,33431,35580,
        6322 Cooks,8035,22179,23203,
      633 Butchers and bakers,1725,29348,28464,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",535,37118,33424,
        6332 Bakers,1190,26654,26247,
      634 Specialized occupations in personal and customer services,3970,20339,24550,
        6341 Hairstylists and barbers,3165,19617,23168,
"        6342 Tailors, dressmakers, furriers and milliners",300,18493,23244,
        6343 Shoe repairers and shoemakers,35,16972,23399,
"        6344 Jewellers, jewellery and watch repairers and related occupations",105,19208,23209,
        6345 Upholsterers,105,25306,27758,
        6346 Funeral directors and embalmers,255,45693,42643,
    64 Sales representatives and salespersons - wholesale and retail trade,22775,21022,32228,
      641 Sales and account representatives - wholesale trade (non-technical),2605,57463,64051,
        6411 Sales and account representatives - wholesale trade (non-technical),2605,57463,64051,
      642 Retail salespersons,20165,18561,28115,
        6421 Retail salespersons,20165,18561,28115,
    65 Service representatives and other customer and personal services occupations,24955,19796,25025,
      651 Occupations in food and beverage service,10120,10980,13671,
        6511 MaÓtres d'hÙtel and hosts/hostesses,975,4857,8415,
        6512 Bartenders,1490,14650,16389,
        6513 Food and beverage servers,7655,11158,13813,
      652 Occupations in travel and accommodation,1600,25565,29146,
        6521 Travel counsellors,370,32298,34986,
        6522 Pursers and flight attendants,60,37548,41869,
        6523 Airline ticket and service agents,200,37558,41632,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",95,36526,36386,
        6525 Hotel front desk clerks,875,20476,22170,
      653 Tourism and amusement services occupations,795,29812,32999,
        6531 Tour and travel guides,70,9500,11171,
        6532 Outdoor sport and recreational guides,160,12904,18046,
        6533 Casino occupations,570,39270,39734,
      654 Security guards and related security service occupations,3330,29051,32989,
        6541 Security guards and related security service occupations,3325,29051,32989,
      655 Customer and information services representatives,6980,36098,36849,
        6551 Customer services representatives - financial institutions,2300,32123,31753,
        6552 Other customer and information services representatives,4675,38533,39355,
      656 Other occupations in personal service,2130,18208,21733,
"        6561 Image, social and other personal consultants",70,22875,25445,
"        6562 Estheticians, electrologists and related occupations",1430,19167,22431,
        6563 Pet groomers and animal care workers,575,16466,20541,
        6564 Other personal service occupations,60,6940,11981,
    66 Sales support occupations,18340,12136,16431,
      661 Cashiers,10185,11083,15095,
        6611 Cashiers,10185,11083,15095,
      662 Other sales support and related occupations,8155,13876,18102,
        6621 Service station attendants,1940,11793,15513,
"        6622 Store shelf stockers, clerks and order fillers",5425,15335,19164,
        6623 Other sales related occupations,790,8802,17172,
"    67 Service support and other service occupations, n.e.c.",34245,19323,23680,
"      671 Food counter attendants, kitchen helpers and related support occupations",11950,12751,16655,
"        6711 Food counter attendants, kitchen helpers and related support occupations",11950,12751,16655,
"      672 Support occupations in accommodation, travel and amusement services",1160,10754,19160,
"        6721 Support occupations in accommodation, travel and facilities set-up services",130,8764,17897,
"        6722 Operators and attendants in amusement, recreation and sport",1035,10813,19316,
      673 Cleaners,19415,25004,28482,
        6731 Light duty cleaners,7655,20256,22380,
        6732 Specialized cleaners,2055,26214,28355,
"        6733 Janitors, caretakers and building superintendents",9705,31313,33323,
"      674 Other service support and related occupations, n.e.c.",1715,17262,21342,
"        6741 Dry cleaning, laundry and related occupations",815,25684,25923,
"        6742 Other service support occupations, n.e.c.",905,9693,17236,
"  7 Trades, transport and equipment operators and related occupations",100430,49086,55276,
"    72 Industrial, electrical and construction trades",35285,52349,60487,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",3625,64651,84901,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",675,78285,85106,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",510,99841,123550,
"        7203 Contractors and supervisors, pipefitting trades",250,91311,96031,
"        7204 Contractors and supervisors, carpentry trades",735,55411,55494,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",1455,46732,84225,
