"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Lethbridge,,,,
Global non-response rate (GNR) =   6.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        5123 Journalists,25,0,0,
"        5125 Translators, terminologists and interpreters",10,0,0,
      513 Creative and performing artists,275,12024,18921,
"        5131 Producers, directors, choreographers and related occupations",50,24678,30394,
"        5132 Conductors, composers and arrangers",0,0,0,
        5133 Musicians and singers,125,8730,16688,
        5134 Dancers,35,12587,20753,
        5135 Actors and comedians,10,0,0,
"        5136 Painters, sculptors and other visual artists",45,9963,10617,
"    52 Technical occupations in art, culture, recreation and sport",880,19706,26048,
"      521 Technical occupations in libraries, public archives, museums and art galleries",95,15955,24334,
        5211 Library and public archive technicians,50,38274,36941,
        5212 Technical occupations related to museums and art galleries,45,9156,9883,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",80,31333,32267,
        5221 Photographers,45,20482,19781,
        5222 Film and video camera operators,10,0,0,
        5223 Graphic arts technicians,0,0,0,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,0,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",10,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",10,0,0,
"      523 Announcers and other performers, n.e.c.",40,25822,25440,
        5231 Announcers and other broadcasters,15,0,0,
"        5232 Other performers, n.e.c.",20,0,0,
      524 Creative designers and craftspersons,230,30003,31382,
        5241 Graphic designers and illustrators,100,34476,34370,
        5242 Interior designers and interior decorators,70,30078,32432,
"        5243 Theatre, fashion, exhibit and other creative designers",10,0,0,
        5244 Artisans and craftspersons,40,22592,18408,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",435,14626,22524,
        5251 Athletes,0,0,0,
        5252 Coaches,50,59827,52100,
        5253 Sports officials and referees,10,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",380,13617,17727,
  6 Sales and service occupations,15060,17518,24996,
    62 Retail sales supervisors and specialized sales occupations,1300,43532,50035,
      621 Retail sales supervisors,225,28002,31188,
        6211 Retail sales supervisors,225,28002,31188,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,370,40705,47426,
        6221 Technical sales specialists - wholesale trade,195,65828,63420,
        6222 Retail and wholesale buyers,170,23231,28839,
"      623 Insurance, real estate and financial sales occupations",705,48931,57427,
        6231 Insurance agents and brokers,290,51235,61286,
        6232 Real estate agents and salespersons,235,33038,48189,
        6235 Financial sales representatives,175,55646,63565,
    63 Service supervisors and specialized service occupations,2185,22451,26559,
      631 Service supervisors,485,27305,32150,
        6311 Food service supervisors,305,20209,23193,
        6312 Executive housekeepers,25,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",10,0,0,
        6314 Customer and information services supervisors,25,0,0,
        6315 Cleaning supervisors,65,49655,50812,
        6316 Other services supervisors,50,49078,62180,
      632 Chefs and cooks,1015,20117,23782,
        6321 Chefs,135,31837,36405,
        6322 Cooks,885,18690,21880,
      633 Butchers and bakers,205,24282,33955,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",25,0,48725,
        6332 Bakers,180,23105,31776,
      634 Specialized occupations in personal and customer services,480,19844,23610,
        6341 Hairstylists and barbers,405,18997,21622,
"        6342 Tailors, dressmakers, furriers and milliners",35,0,0,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,15,0,0,
        6346 Funeral directors and embalmers,15,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,3110,17298,27512,
      641 Sales and account representatives - wholesale trade (non-technical),250,55256,63342,
        6411 Sales and account representatives - wholesale trade (non-technical),250,55256,63342,
      642 Retail salespersons,2865,15649,24417,
        6421 Retail salespersons,2860,15649,24417,
    65 Service representatives and other customer and personal services occupations,2765,17385,23038,
      651 Occupations in food and beverage service,1215,12627,15222,
        6511 Maîtres d'hôtel and hosts/hostesses,95,5813,6905,
        6512 Bartenders,175,12971,17070,
        6513 Food and beverage servers,945,13036,15689,
      652 Occupations in travel and accommodation,115,20362,25545,
        6521 Travel counsellors,35,17113,31119,
        6522 Pursers and flight attendants,10,0,0,
        6523 Airline ticket and service agents,0,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,75,19884,19281,
      653 Tourism and amusement services occupations,80,18813,22502,
        6531 Tour and travel guides,20,0,0,
        6532 Outdoor sport and recreational guides,0,0,0,
        6533 Casino occupations,55,25693,27149,
      654 Security guards and related security service occupations,300,30090,31298,
        6541 Security guards and related security service occupations,295,30090,31298,
      655 Customer and information services representatives,775,31451,33250,
        6551 Customer services representatives - financial institutions,210,31642,32804,
        6552 Other customer and information services representatives,565,30808,33418,
      656 Other occupations in personal service,285,16909,19016,
"        6561 Image, social and other personal consultants",0,0,0,
"        6562 Estheticians, electrologists and related occupations",185,16859,17680,
        6563 Pet groomers and animal care workers,80,16958,20677,
        6564 Other personal service occupations,10,0,0,
    66 Sales support occupations,1925,12500,16715,
