"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Newfoundland and Labrador / Terre-Neuve-et-Labrador,,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2121 Biologists and related scientists,275,75376,73510,
        2122 Forestry professionals,40,76431,79771,
"        2123 Agricultural representatives, consultants and specialists",45,62288,58329,
"      213 Civil, mechanical, electrical and chemical engineers",2250,100618,119901,
        2131 Civil engineers,940,93984,123961,
        2132 Mechanical engineers,675,105185,121994,
        2133 Electrical and electronics engineers,525,106117,111362,
        2134 Chemical engineers,100,106213,112170,
      214 Other engineers,1085,103974,123451,
        2141 Industrial and manufacturing engineers,85,47731,85394,
        2142 Metallurgical and materials engineers,25,0,0,
        2143 Mining engineers,75,97748,88594,
        2144 Geological engineers,60,76873,83428,
        2145 Petroleum engineers,425,135046,167984,
        2146 Aerospace engineers,10,0,0,
        2147 Computer engineers (except software engineers and designers),140,77353,75399,
"        2148 Other professional engineers, n.e.c.",270,87822,102721,
"      215 Architects, urban planners and land surveyors",450,72169,78159,
        2151 Architects,60,59567,75566,
        2152 Landscape architects,10,0,0,
        2153 Urban and land use planners,85,72455,84045,
        2154 Land surveyors,295,71647,77495,
"      216 Mathematicians, statisticians and actuaries",95,62144,54769,
"        2161 Mathematicians, statisticians and actuaries",95,62144,54769,
      217 Computer and information systems professionals,1950,71881,73314,
        2171 Information systems analysts and consultants,970,78076,81427,
        2172 Database analysts and data administrators,140,67678,68009,
        2173 Software engineers and designers,190,65709,93483,
        2174 Computer programmers and interactive media developers,560,63918,58586,
        2175 Web designers and developers,80,29989,38573,
    22 Technical occupations related to natural and applied sciences,10810,67878,76955,
      221 Technical occupations in physical sciences,670,65400,74087,
        2211 Chemical technologists and technicians,215,56790,63991,
        2212 Geological and mineral technologists and technicians,455,71737,78856,
      222 Technical occupations in life sciences,1270,31309,42456,
        2221 Biological technologists and technicians,265,29565,45362,
        2222 Agricultural and fish products inspectors,170,25586,49698,
        2223 Forestry technologists and technicians,95,41024,44049,
