"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Alberta [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        3111 Specialist physicians,4525,139418,212903,
        3112 General practitioners and family physicians,6240,101473,131209,
        3113 Dentists,2035,119911,156781,
        3114 Veterinarians,1170,81277,81144,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",2270,60342,69771,
        3121 Optometrists,575,53387,65983,
        3122 Chiropractors,820,53598,64557,
        3124 Allied primary health practitioners,610,81818,84251,
        3125 Other professional occupations in health diagnosing and treating,270,49232,60914,
"      313 Pharmacists, dietitians and nutritionists",6180,86231,81427,
        3131 Pharmacists,4780,92841,85764,
        3132 Dietitians and nutritionists,1400,69981,66581,
      314 Therapy and assessment professionals,7540,67872,65671,
        3141 Audiologists and speech-language pathologists,1400,72059,69819,
        3142 Physiotherapists,2625,70931,68039,
        3143 Occupational therapists,2060,75949,70379,
        3144 Other professional occupations in therapy and assessment,1460,48345,50809,
    32 Technical occupations in health,43270,49581,53514,
      321 Medical technologists and technicians (except dental health),17540,53760,57683,
        3211 Medical laboratory technologists,2405,81359,77056,
        3212 Medical laboratory technicians and pathologists' assistants,3360,50036,50557,
        3213 Animal health technologists and veterinary technicians,2130,32868,32933,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",1700,82883,79669,
        3215 Medical radiation technologists,2510,78531,75640,
        3216 Medical sonographers,885,84268,79821,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",245,70904,66289,
        3219 Other medical technologists and technicians (except dental health),4310,37206,40511,
      322 Technical occupations in dental health care,3820,65331,65554,
        3221 Denturists,245,64184,62114,
        3222 Dental hygienists and dental therapists,2820,71657,69200,
"        3223 Dental technologists, technicians and laboratory assistants",755,48486,53036,
      323 Other technical occupations in health care,21910,45363,48076,
        3231 Opticians,1330,45292,46718,
        3232 Practitioners of natural healing,995,16948,25443,
        3233 Licensed practical nurses,8650,51262,50037,
        3234 Paramedical occupations,4455,75499,75438,
        3236 Massage therapists,4955,24420,27746,
