"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Abbotsford - Mission,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",125,82663,84170,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",150,65921,68054,
"        7203 Contractors and supervisors, pipefitting trades",35,77431,137148,
"        7204 Contractors and supervisors, carpentry trades",165,45741,46333,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",295,42694,50346,
"      723 Machining, metal forming, shaping and erecting trades",1175,55236,56111,
        7231 Machinists and machining and tooling inspectors,155,57020,55826,
        7232 Tool and die makers,20,0,0,
        7233 Sheet metal workers,160,59990,58537,
        7234 Boilermakers,30,0,67381,
        7235 Structural metal and platework fabricators and fitters,140,73489,65519,
        7236 Ironworkers,120,44829,57467,
        7237 Welders and related machine operators,545,52056,52649,
      724 Electrical trades and electrical power line and telecommunications workers,1050,57835,62329,
        7241 Electricians (except industrial and power system),700,41580,48647,
        7242 Industrial electricians,110,78351,72232,
        7243 Power system electricians,30,0,90141,
        7244 Electrical power line and cable workers,60,142925,159317,
