"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kingston,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      441 Home care providers and educational support occupations,1485,16704,20239,
        4411 Home child care providers,360,7998,12783,
"        4412 Home support workers, housekeepers and related occupations",435,21362,23533,
        4413 Elementary and secondary school teacher assistants,690,23784,22040,
      442 Legal and public protection support occupations,910,80869,76896,
        4421 Sheriffs and bailiffs,0,0,0,
        4422 Correctional service officers,830,81645,79866,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",70,52908,45790,
"  5 Occupations in art, culture, recreation and sport",2370,10954,21757,
    51 Professional occupations in art and culture,765,12169,24419,
"      511 Librarians, archivists, conservators and curators",65,71471,67452,
        5111 Librarians,30,0,0,
        5112 Conservators and curators,25,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",255,15709,27722,
        5121 Authors and writers,115,9303,21165,
        5122 Editors,95,23111,30597,
        5123 Journalists,15,0,0,
"        5125 Translators, terminologists and interpreters",30,0,0,
      513 Creative and performing artists,435,8570,15992,
"        5131 Producers, directors, choreographers and related occupations",45,17880,29993,
"        5132 Conductors, composers and arrangers",10,0,0,
        5133 Musicians and singers,170,9175,14139,
        5134 Dancers,30,0,0,
        5135 Actors and comedians,55,1861,6363,
"        5136 Painters, sculptors and other visual artists",135,6567,15270,
"    52 Technical occupations in art, culture, recreation and sport",1610,10940,20495,
"      521 Technical occupations in libraries, public archives, museums and art galleries",145,34301,35016,
        5211 Library and public archive technicians,90,46590,52052,
        5212 Technical occupations related to museums and art galleries,55,7361,7580,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",195,16401,23655,
        5221 Photographers,95,11920,20849,
        5222 Film and video camera operators,20,0,0,
        5223 Graphic arts technicians,15,0,0,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,35,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",25,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",10,0,0,
"      523 Announcers and other performers, n.e.c.",50,34224,38256,
        5231 Announcers and other broadcasters,30,0,0,
"        5232 Other performers, n.e.c.",15,0,0,
      524 Creative designers and craftspersons,355,20276,23098,
        5241 Graphic designers and illustrators,165,25887,26982,
        5242 Interior designers and interior decorators,50,30316,29803,
"        5243 Theatre, fashion, exhibit and other creative designers",40,0,0,
        5244 Artisans and craftspersons,95,10039,14357,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",865,6529,15291,
        5251 Athletes,15,0,0,
        5252 Coaches,60,33374,37179,
        5253 Sports officials and referees,15,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",775,5980,14153,
  6 Sales and service occupations,20995,16855,22919,
    62 Retail sales supervisors and specialized sales occupations,1510,37360,45586,
      621 Retail sales supervisors,350,27928,28336,
        6211 Retail sales supervisors,350,27928,28336,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,420,46525,52843,
        6221 Technical sales specialists - wholesale trade,245,55172,65046,
        6222 Retail and wholesale buyers,175,17653,35765,
"      623 Insurance, real estate and financial sales occupations",735,39932,49580,
        6231 Insurance agents and brokers,170,51316,59188,
        6232 Real estate agents and salespersons,390,26799,44140,
        6235 Financial sales representatives,180,45883,52343,
    63 Service supervisors and specialized service occupations,3125,20273,23949,
      631 Service supervisors,590,27111,30308,
        6311 Food service supervisors,325,21986,24614,
        6312 Executive housekeepers,25,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",25,0,0,
        6314 Customer and information services supervisors,55,42319,44522,
        6315 Cleaning supervisors,50,35156,39743,
