"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      217 Computer and information systems professionals,33250,81348,83379,
        2171 Information systems analysts and consultants,13255,81742,82233,
        2172 Database analysts and data administrators,2100,80773,78107,
        2173 Software engineers and designers,6035,99088,103560,
        2174 Computer programmers and interactive media developers,10060,80149,79066,
        2175 Web designers and developers,1805,56766,54430,
    22 Technical occupations related to natural and applied sciences,23245,60623,62039,
      221 Technical occupations in physical sciences,980,58393,56584,
        2211 Chemical technologists and technicians,800,59833,57564,
        2212 Geological and mineral technologists and technicians,180,45024,52282,
      222 Technical occupations in life sciences,1325,33279,40508,
        2221 Biological technologists and technicians,395,41725,43552,
        2222 Agricultural and fish products inspectors,80,72926,68537,
        2223 Forestry technologists and technicians,85,44431,38706,
        2224 Conservation and fishery officers,135,71886,72791,
        2225 Landscape and horticulture technicians and specialists,630,23625,28383,
"      223 Technical occupations in civil, mechanical and industrial engineering",2545,53535,57284,
        2231 Civil engineering technologists and technicians,760,50931,54632,
        2232 Mechanical engineering technologists and technicians,585,61105,60081,
        2233 Industrial engineering and manufacturing technologists and technicians,460,51485,58506,
        2234 Construction estimators,740,56813,57052,
      224 Technical occupations in electronics and electrical engineering,4455,55540,58894,
        2241 Electrical and electronics engineering technologists and technicians,2035,67698,66933,
        2242 Electronic service technicians (household and business equipment),2075,46140,48084,
        2243 Industrial instrument technicians and mechanics,100,78130,75534,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",240,80725,76876,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",2185,55939,55760,
        2251 Architectural technologists and technicians,550,55002,55741,
        2252 Industrial designers,280,46288,56590,
        2253 Drafting technologists and technicians,625,50304,52024,
        2254 Land survey technologists and technicians,140,43426,49815,
        2255 Technical occupations in geomatics and meteorology,590,66331,60733,
      226 Other technical inspectors and regulatory officers,2150,70095,68248,
        2261 Non-destructive testers and inspection technicians,30,68961,70839,
        2262 Engineering inspectors and regulatory officers,335,84622,81920,
        2263 Inspectors in public and environmental health and occupational health and safety,1285,71081,67594,
        2264 Construction inspectors,500,54935,60708,
