"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Calgary,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      313 Pharmacists, dietitians and nutritionists",1940,87528,81321,
        3131 Pharmacists,1500,94086,87676,
        3132 Dietitians and nutritionists,445,59538,59906,
      314 Therapy and assessment professionals,2705,67492,63805,
        3141 Audiologists and speech-language pathologists,465,77518,72509,
        3142 Physiotherapists,1025,69004,64431,
        3143 Occupational therapists,710,72986,70199,
        3144 Other professional occupations in therapy and assessment,510,43852,45668,
    32 Technical occupations in health,14955,50314,54327,
      321 Medical technologists and technicians (except dental health),6305,56991,59833,
        3211 Medical laboratory technologists,840,80402,79660,
        3212 Medical laboratory technicians and pathologists' assistants,1260,54301,53434,
        3213 Animal health technologists and veterinary technicians,710,28130,31004,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",655,90017,85455,
        3215 Medical radiation technologists,800,83951,80348,
        3216 Medical sonographers,375,85885,81598,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",145,67952,63951,
        3219 Other medical technologists and technicians (except dental health),1530,37877,40157,
      322 Technical occupations in dental health care,1640,62767,62652,
        3221 Denturists,45,33797,41108,
        3222 Dental hygienists and dental therapists,1160,74742,67469,
"        3223 Dental technologists, technicians and laboratory assistants",435,49255,52199,
      323 Other technical occupations in health care,7005,44791,47418,
        3231 Opticians,385,48008,46616,
        3232 Practitioners of natural healing,450,17647,27521,
        3233 Licensed practical nurses,2635,49148,48521,
        3234 Paramedical occupations,1415,76743,77201,
        3236 Massage therapists,1690,23987,28589,
        3237 Other technical occupations in therapy and assessment,435,38473,38186,
    34 Assisting occupations in support of health services,11475,39551,39105,
      341 Assisting occupations in support of health services,11480,39551,39105,
        3411 Dental assistants,1790,48327,45044,
"        3413 Nurse aides, orderlies and patient service associates",7770,39030,38734,
        3414 Other assisting occupations in support of health services,1920,33181,35072,
"  4 Occupations in education, law and social, community and government services",81325,50187,69174,
    40 Professional occupations in education services,25880,67731,64096,
      401 University professors and post-secondary assistants,6320,28094,54115,
        4011 University professors and lecturers,2900,90160,88438,
        4012 Post-secondary teaching and research assistants,3420,10125,25005,
      402 College and other vocational instructors,2895,63281,65890,
        4021 College and other vocational instructors,2895,63281,65890,
      403 Secondary and elementary school teachers and educational counsellors,16665,74564,67569,
        4031 Secondary school teachers,5015,83391,71909,
        4032 Elementary school and kindergarten teachers,10670,73779,66414,
        4033 Educational counsellors,980,56936,57943,
"    41 Professional occupations in law and social, community and government services",22990,75844,116421,
"      411 Judges, lawyers and Quebec notaries",5040,139363,237890,
        4111 Judges,95,315771,281743,
        4112 Lawyers and Quebec notaries,4945,136633,237034,
      415 Social and community service professionals,6605,59237,63429,
        4151 Psychologists,1215,66345,72428,
        4152 Social workers,2435,63983,65556,
"        4153 Family, marriage and other related counsellors",1110,50756,60702,
        4154 Professional occupations in religion,1210,51347,54261,
        4155 Probation and parole officers and related occupations,165,82961,73422,
        4156 Employment counsellors,480,52445,55938,
"      416 Policy and program researchers, consultants and officers",11345,75670,93306,
"        4161 Natural and applied science policy researchers, consultants and program officers",1990,91331,102268,
        4162 Economists and economic policy researchers and analysts,960,108254,136018,
        4163 Business development officers and marketing researchers and consultants,4205,78986,105746,
"        4164 Social policy researchers, consultants and program officers",900,64589,70831,
"        4165 Health policy researchers, consultants and program officers",1215,70479,74615,
"        4166 Education policy researchers, consultants and program officers",920,58680,64869,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",375,48092,51123,
        4168 Program officers unique to government,490,40756,56136,
"        4169 Other professional occupations in social science, n.e.c.",300,60955,66006,
"    42 Paraprofessional occupations in legal, social, community and education services",13195,31372,36280,
"      421 Paraprofessional occupations in legal, social, community and education services",13195,31372,36280,
        4211 Paralegal and related occupations,1190,60591,64314,
        4212 Social and community service workers,4920,41707,43120,
        4214 Early childhood educators and assistants,4970,24780,26337,
        4215 Instructors of persons with disabilities,295,34201,35922,
        4216 Other instructors,1530,11775,24695,
        4217 Other religious occupations,285,25370,36952,
    43 Occupations in front-line public protection services,4360,102349,96795,
      431 Occupations in front-line public protection services,4360,102349,96795,
        4311 Police officers (except commissioned),2760,107182,102169,
        4312 Firefighters,1200,102475,100623,
        4313 Non-commissioned ranks of the Canadian Armed Forces,400,47110,48116,
"    44 Care providers and educational, legal and public protection support occupations",14900,22210,26140,
      441 Home care providers and educational support occupations,13995,20997,23133,
        4411 Home child care providers,6435,17140,19419,
"        4412 Home support workers, housekeepers and related occupations",3075,25819,29103,
        4413 Elementary and secondary school teacher assistants,4490,23027,24364,
      442 Legal and public protection support occupations,905,75573,72744,
        4421 Sheriffs and bailiffs,190,79527,73825,
        4422 Correctional service officers,430,77240,72527,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",290,55972,72360,
"  5 Occupations in art, culture, recreation and sport",20595,21466,34174,
    51 Professional occupations in art and culture,6085,23280,34212,
