"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Manitoba,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        5111 Librarians,240,50798,51807,
        5112 Conservators and curators,70,60194,47866,
        5113 Archivists,70,48748,45805,
"      512 Writing, translating and related communications professionals",1795,32121,34221,
        5121 Authors and writers,665,25014,28287,
        5122 Editors,375,32074,36071,
        5123 Journalists,385,43968,45697,
"        5125 Translators, terminologists and interpreters",365,27819,31105,
      513 Creative and performing artists,3095,12012,19842,
"        5131 Producers, directors, choreographers and related occupations",535,38124,40998,
"        5132 Conductors, composers and arrangers",120,11907,24814,
        5133 Musicians and singers,1295,11072,15287,
        5134 Dancers,365,10620,16772,
        5135 Actors and comedians,290,2685,8125,
"        5136 Painters, sculptors and other visual artists",490,8685,16692,
"    52 Technical occupations in art, culture, recreation and sport",9440,19821,26391,
"      521 Technical occupations in libraries, public archives, museums and art galleries",955,24676,25861,
        5211 Library and public archive technicians,635,31187,30758,
        5212 Technical occupations related to museums and art galleries,325,10643,16249,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1440,28972,33278,
        5221 Photographers,460,14751,22721,
        5222 Film and video camera operators,125,37140,40193,
        5223 Graphic arts technicians,125,27609,31358,
        5224 Broadcast technicians,50,51561,47446,
        5225 Audio and video recording technicians,190,39448,39003,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",305,38498,43490,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",190,26924,29761,
"      523 Announcers and other performers, n.e.c.",400,14210,34528,
        5231 Announcers and other broadcasters,245,28498,49267,
"        5232 Other performers, n.e.c.",150,7081,10311,
      524 Creative designers and craftspersons,2910,33957,34419,
        5241 Graphic designers and illustrators,1565,36235,35609,
        5242 Interior designers and interior decorators,590,39303,41748,
"        5243 Theatre, fashion, exhibit and other creative designers",275,32486,34106,
        5244 Artisans and craftspersons,440,16680,20618,
"        5245 Patternmakers - textile, leather and fur products",30,0,0,
"      525 Athletes, coaches, referees and related occupations",3730,10280,16739,
        5251 Athletes,40,13427,22138,
        5252 Coaches,170,35703,44194,
        5253 Sports officials and referees,160,2345,10356,
"        5254 Program leaders and instructors in recreation, sport and fitness",3370,10279,15619,
  6 Sales and service occupations,147590,18702,25210,
    62 Retail sales supervisors and specialized sales occupations,13000,40369,50388,
      621 Retail sales supervisors,2450,30089,34679,
        6211 Retail sales supervisors,2450,30089,34679,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,3820,47695,60114,
        6221 Technical sales specialists - wholesale trade,2440,63753,73876,
        6222 Retail and wholesale buyers,1385,28122,35816,
"      623 Insurance, real estate and financial sales occupations",6725,41618,50583,
        6231 Insurance agents and brokers,2705,41556,50502,
        6232 Real estate agents and salespersons,1805,35949,55347,
        6235 Financial sales representatives,2215,43218,46786,
    63 Service supervisors and specialized service occupations,20395,20401,23953,
      631 Service supervisors,3670,26501,32969,
        6311 Food service supervisors,1845,20092,24310,
        6312 Executive housekeepers,145,27753,28469,
"        6313 Accommodation, travel, tourism and related services supervisors",130,52033,51893,
        6314 Customer and information services supervisors,465,45136,47346,
        6315 Cleaning supervisors,535,44775,45527,
        6316 Other services supervisors,550,30170,34238,
      632 Chefs and cooks,10190,17706,20594,
        6321 Chefs,1560,26584,29743,
        6322 Cooks,8630,16503,18938,
      633 Butchers and bakers,2110,22945,24963,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",605,32144,30334,
        6332 Bakers,1510,20218,22819,
      634 Specialized occupations in personal and customer services,4425,20207,23728,
        6341 Hairstylists and barbers,3340,18840,21180,
"        6342 Tailors, dressmakers, furriers and milliners",510,22091,22308,
        6343 Shoe repairers and shoemakers,20,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",85,20013,27501,
        6345 Upholsterers,210,33972,32351,
        6346 Funeral directors and embalmers,250,50772,51299,
    64 Sales representatives and salespersons - wholesale and retail trade,26115,20271,29455,
      641 Sales and account representatives - wholesale trade (non-technical),3775,53499,60578,
        6411 Sales and account representatives - wholesale trade (non-technical),3775,53499,60578,
      642 Retail salespersons,22340,16972,24194,
        6421 Retail salespersons,22340,16972,24194,
    65 Service representatives and other customer and personal services occupations,31705,18677,23678,
      651 Occupations in food and beverage service,11580,11338,12981,
        6511 MaÓtres d'hÙtel and hosts/hostesses,1035,6884,8288,
        6512 Bartenders,1720,15719,17034,
        6513 Food and beverage servers,8825,11208,12741,
      652 Occupations in travel and accommodation,2300,28418,34166,
        6521 Travel counsellors,560,31076,39933,
        6522 Pursers and flight attendants,325,40132,42698,
        6523 Airline ticket and service agents,505,39173,38955,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",115,44279,42591,
        6525 Hotel front desk clerks,795,22071,22382,
      653 Tourism and amusement services occupations,915,31050,29301,
        6531 Tour and travel guides,80,14001,19778,
        6532 Outdoor sport and recreational guides,215,10793,14293,
        6533 Casino occupations,620,37494,35845,
      654 Security guards and related security service occupations,4645,26856,30392,
        6541 Security guards and related security service occupations,4645,26856,30392,
      655 Customer and information services representatives,9965,30155,31284,
        6551 Customer services representatives - financial institutions,2650,28501,28357,
        6552 Other customer and information services representatives,7310,31060,32346,
      656 Other occupations in personal service,2300,15610,18298,
"        6561 Image, social and other personal consultants",95,13217,18152,
"        6562 Estheticians, electrologists and related occupations",1580,17602,18967,
        6563 Pet groomers and animal care workers,570,10464,17037,
        6564 Other personal service occupations,55,10841,12186,
    66 Sales support occupations,19180,12211,15729,
      661 Cashiers,10670,10934,14018,
        6611 Cashiers,10665,10934,14018,
      662 Other sales support and related occupations,8510,13607,17874,
        6621 Service station attendants,1555,11439,14246,
"        6622 Store shelf stockers, clerks and order fillers",5740,15379,19029,
        6623 Other sales related occupations,1220,8261,17072,
"    67 Service support and other service occupations, n.e.c.",37190,15880,20317,
"      671 Food counter attendants, kitchen helpers and related support occupations",13830,10374,13690,
"        6711 Food counter attendants, kitchen helpers and related support occupations",13830,10374,13690,
"      672 Support occupations in accommodation, travel and amusement services",1450,8243,16573,
"        6721 Support occupations in accommodation, travel and facilities set-up services",245,21607,25205,
"        6722 Operators and attendants in amusement, recreation and sport",1210,7150,14854,
      673 Cleaners,19975,21867,24823,
        6731 Light duty cleaners,8730,17822,20197,
        6732 Specialized cleaners,2170,20063,23489,
"        6733 Janitors, caretakers and building superintendents",9080,27251,29589,
"      674 Other service support and related occupations, n.e.c.",1930,21559,23990,
"        6741 Dry cleaning, laundry and related occupations",970,28310,29461,
"        6742 Other service support occupations, n.e.c.",960,12480,18463,
"  7 Trades, transport and equipment operators and related occupations",104220,41173,45580,
"    72 Industrial, electrical and construction trades",33805,44812,49791,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",3835,54844,62117,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",585,62804,69921,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",655,81955,85836,
"        7203 Contractors and supervisors, pipefitting trades",200,83332,84807,
"        7204 Contractors and supervisors, carpentry trades",750,43529,46408,
