"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Barrie,,,,
Global non-response rate (GNR) =   4.1 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
    62 Retail sales supervisors and specialized sales occupations,2620,41042,52775,
      621 Retail sales supervisors,460,29175,44876,
        6211 Retail sales supervisors,460,29175,44876,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,810,54714,65502,
        6221 Technical sales specialists - wholesale trade,575,68889,78252,
        6222 Retail and wholesale buyers,235,27372,33695,
"      623 Insurance, real estate and financial sales occupations",1350,42283,47869,
        6231 Insurance agents and brokers,300,42907,45607,
        6232 Real estate agents and salespersons,710,39567,48358,
        6235 Financial sales representatives,350,45794,48814,
    63 Service supervisors and specialized service occupations,3135,19719,23059,
      631 Service supervisors,630,29257,36374,
        6311 Food service supervisors,280,21878,22974,
        6312 Executive housekeepers,20,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",45,65345,63569,
        6314 Customer and information services supervisors,100,32371,46926,
        6315 Cleaning supervisors,80,36623,40221,
        6316 Other services supervisors,100,38985,43376,
      632 Chefs and cooks,1435,16708,19690,
        6321 Chefs,405,24915,26237,
        6322 Cooks,1030,15577,17112,
      633 Butchers and bakers,285,18953,21587,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",25,0,0,
        6332 Bakers,255,18079,20571,
      634 Specialized occupations in personal and customer services,790,16280,19103,
        6341 Hairstylists and barbers,645,17146,18940,
"        6342 Tailors, dressmakers, furriers and milliners",95,10732,13487,
        6343 Shoe repairers and shoemakers,10,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,10,0,0,
        6346 Funeral directors and embalmers,20,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,6225,19229,29713,
      641 Sales and account representatives - wholesale trade (non-technical),1000,54012,57671,
        6411 Sales and account representatives - wholesale trade (non-technical),1005,54012,57671,
      642 Retail salespersons,5220,16746,24335,
        6421 Retail salespersons,5225,16746,24335,
    65 Service representatives and other customer and personal services occupations,5790,18979,24828,
      651 Occupations in food and beverage service,1735,10634,12798,
