"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Toronto,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
    40 Professional occupations in education services,124120,61068,60433,
      401 University professors and post-secondary assistants,25045,18519,50831,
        4011 University professors and lecturers,10480,89392,95926,
        4012 Post-secondary teaching and research assistants,14570,9522,18388,
      402 College and other vocational instructors,13460,48505,54834,
        4021 College and other vocational instructors,13465,48505,54834,
      403 Secondary and elementary school teachers and educational counsellors,85615,69905,64122,
        4031 Secondary school teachers,27410,77668,67982,
        4032 Elementary school and kindergarten teachers,54920,67444,62867,
        4033 Educational counsellors,3290,51583,52920,
"    41 Professional occupations in law and social, community and government services",100670,64282,94384,
"      411 Judges, lawyers and Quebec notaries",25795,117819,179027,
        4111 Judges,395,288063,229911,
        4112 Lawyers and Quebec notaries,25405,116960,178239,
      415 Social and community service professionals,22695,52255,54665,
        4151 Psychologists,3805,50347,61077,
        4152 Social workers,8910,60924,59841,
"        4153 Family, marriage and other related counsellors",2610,42815,43646,
        4154 Professional occupations in religion,4655,45711,48766,
        4155 Probation and parole officers and related occupations,535,75843,67316,
        4156 Employment counsellors,2175,45336,44989,
"      416 Policy and program researchers, consultants and officers",52180,59235,69811,
"        4161 Natural and applied science policy researchers, consultants and program officers",3690,69952,72731,
        4162 Economists and economic policy researchers and analysts,5300,83718,111895,
        4163 Business development officers and marketing researchers and consultants,20280,54125,71185,
"        4164 Social policy researchers, consultants and program officers",5530,59166,58440,
"        4165 Health policy researchers, consultants and program officers",7950,60813,65544,
"        4166 Education policy researchers, consultants and program officers",4090,54959,56557,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",1785,44200,47680,
        4168 Program officers unique to government,2520,46632,49054,
"        4169 Other professional occupations in social science, n.e.c.",1045,45190,51486,
"    42 Paraprofessional occupations in legal, social, community and education services",65560,30842,33873,
"      421 Paraprofessional occupations in legal, social, community and education services",65560,30842,33873,
        4211 Paralegal and related occupations,8675,47945,50473,
        4212 Social and community service workers,17550,42317,42385,
        4214 Early childhood educators and assistants,29795,27741,27954,
        4215 Instructors of persons with disabilities,1415,44647,43356,
        4216 Other instructors,6760,8356,15244,
        4217 Other religious occupations,1370,21528,30609,
    43 Occupations in front-line public protection services,12805,101667,95218,
      431 Occupations in front-line public protection services,12805,101667,95218,
        4311 Police officers (except commissioned),7845,107866,105378,
        4312 Firefighters,3565,98278,95314,
        4313 Non-commissioned ranks of the Canadian Armed Forces,1395,26906,37823,
"    44 Care providers and educational, legal and public protection support occupations",57065,20329,24744,
      441 Home care providers and educational support occupations,53915,19020,22096,
        4411 Home child care providers,19540,15490,17743,
"        4412 Home support workers, housekeepers and related occupations",15575,24505,26869,
        4413 Elementary and secondary school teacher assistants,18805,17373,22665,
      442 Legal and public protection support occupations,3150,71632,70080,
        4421 Sheriffs and bailiffs,240,24812,33794,
        4422 Correctional service officers,1065,76593,75378,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",1850,71573,71734,
