"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (partie du Québec / Quebec part),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      313 Pharmacists, dietitians and nutritionists",385,88696,85489,
        3131 Pharmacists,250,111951,101619,
        3132 Dietitians and nutritionists,130,55813,54656,
      314 Therapy and assessment professionals,635,57725,52532,
        3141 Audiologists and speech-language pathologists,95,61119,58515,
        3142 Physiotherapists,230,57992,56586,
        3143 Occupational therapists,210,61927,57920,
        3144 Other professional occupations in therapy and assessment,95,9326,25065,
    32 Technical occupations in health,3275,40630,41086,
      321 Medical technologists and technicians (except dental health),1415,41104,41849,
        3211 Medical laboratory technologists,145,62514,59888,
        3212 Medical laboratory technicians and pathologists' assistants,160,46740,42240,
        3213 Animal health technologists and veterinary technicians,120,30874,29905,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",160,63394,61522,
        3215 Medical radiation technologists,205,55250,53713,
        3216 Medical sonographers,15,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",25,0,59745,
        3219 Other medical technologists and technicians (except dental health),590,29169,28645,
      322 Technical occupations in dental health care,405,50612,50534,
        3221 Denturists,30,0,0,
        3222 Dental hygienists and dental therapists,325,50534,48354,
"        3223 Dental technologists, technicians and laboratory assistants",50,44398,44950,
      323 Other technical occupations in health care,1450,36344,37678,
        3231 Opticians,40,39604,45305,
        3232 Practitioners of natural healing,35,0,0,
        3233 Licensed practical nurses,685,40182,40594,
        3234 Paramedical occupations,235,58487,65730,
        3236 Massage therapists,340,13792,16064,
        3237 Other technical occupations in therapy and assessment,105,30330,32434,
    34 Assisting occupations in support of health services,2530,30567,30840,
      341 Assisting occupations in support of health services,2530,30567,30840,
        3411 Dental assistants,285,31532,29204,
"        3413 Nurse aides, orderlies and patient service associates",1900,29820,30569,
        3414 Other assisting occupations in support of health services,350,34835,33672,
"  4 Occupations in education, law and social, community and government services",27675,51920,55356,
    40 Professional occupations in education services,8425,56245,54050,
      401 University professors and post-secondary assistants,1400,31700,53621,
        4011 University professors and lecturers,670,88283,85998,
        4012 Post-secondary teaching and research assistants,730,11341,23872,
      402 College and other vocational instructors,1490,56251,52671,
        4021 College and other vocational instructors,1490,56251,52671,
      403 Secondary and elementary school teachers and educational counsellors,5535,59009,54528,
        4031 Secondary school teachers,2030,63390,57904,
        4032 Elementary school and kindergarten teachers,3240,55886,51695,
        4033 Educational counsellors,265,59862,63305,
"    41 Professional occupations in law and social, community and government services",8965,70471,74534,
"      411 Judges, lawyers and Quebec notaries",1135,90858,98325,
        4111 Judges,25,0,208277,
        4112 Lawyers and Quebec notaries,1110,89168,95791,
      415 Social and community service professionals,1585,55919,55171,
        4151 Psychologists,330,60331,60648,
        4152 Social workers,625,60931,58193,
"        4153 Family, marriage and other related counsellors",350,49478,48681,
        4154 Professional occupations in religion,95,34088,36629,
        4155 Probation and parole officers and related occupations,50,69232,64739,
        4156 Employment counsellors,125,51022,53972,
"      416 Policy and program researchers, consultants and officers",6250,72559,75108,
"        4161 Natural and applied science policy researchers, consultants and program officers",795,77883,76076,
        4162 Economists and economic policy researchers and analysts,750,83526,108064,
        4163 Business development officers and marketing researchers and consultants,490,61278,59497,
"        4164 Social policy researchers, consultants and program officers",1720,70883,70593,
"        4165 Health policy researchers, consultants and program officers",450,73063,71722,
"        4166 Education policy researchers, consultants and program officers",360,67790,63924,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",120,69172,60246,
        4168 Program officers unique to government,1430,70411,73608,
"        4169 Other professional occupations in social science, n.e.c.",135,70971,69569,
"    42 Paraprofessional occupations in legal, social, community and education services",6160,28007,30297,
"      421 Paraprofessional occupations in legal, social, community and education services",6160,28007,30297,
        4211 Paralegal and related occupations,265,56248,54902,
        4212 Social and community service workers,1220,38235,38685,
        4214 Early childhood educators and assistants,4025,24036,25481,
        4215 Instructors of persons with disabilities,370,38001,38586,
        4216 Other instructors,175,19134,25264,
        4217 Other religious occupations,100,28542,33453,
    43 Occupations in front-line public protection services,2050,83930,79818,
      431 Occupations in front-line public protection services,2045,83930,79818,
