"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = British Columbia / Colombie-Britannique [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        3413 Nurse aides, orderlies and patient service associates",31920,34972,34332,
        3414 Other assisting occupations in support of health services,5030,32665,32688,
"  4 Occupations in education, law and social, community and government services",272335,40723,50790,
    40 Professional occupations in education services,86210,56943,56567,
      401 University professors and post-secondary assistants,20470,36177,55769,
        4011 University professors and lecturers,10630,88811,88152,
        4012 Post-secondary teaching and research assistants,9835,10623,20770,
      402 College and other vocational instructors,12010,54413,56275,
        4021 College and other vocational instructors,12010,54413,56275,
      403 Secondary and elementary school teachers and educational counsellors,53735,61442,56937,
        4031 Secondary school teachers,18820,69087,61097,
        4032 Elementary school and kindergarten teachers,31235,58943,55057,
        4033 Educational counsellors,3680,51022,51609,
"    41 Professional occupations in law and social, community and government services",64540,53530,66351,
"      411 Judges, lawyers and Quebec notaries",12250,99555,125742,
        4111 Judges,365,250105,235047,
        4112 Lawyers and Quebec notaries,11885,97124,122405,
      415 Social and community service professionals,22015,47877,48379,
        4151 Psychologists,2485,44650,51702,
        4152 Social workers,6555,56309,53480,
"        4153 Family, marriage and other related counsellors",4820,41355,42796,
        4154 Professional occupations in religion,4745,43327,44651,
        4155 Probation and parole officers and related occupations,1035,70112,63707,
        4156 Employment counsellors,2375,43757,42916,
"      416 Policy and program researchers, consultants and officers",30280,50017,55394,
"        4161 Natural and applied science policy researchers, consultants and program officers",3590,66548,70291,
        4162 Economists and economic policy researchers and analysts,1550,71191,73703,
        4163 Business development officers and marketing researchers and consultants,8830,45486,57290,
"        4164 Social policy researchers, consultants and program officers",3965,51979,53160,
"        4165 Health policy researchers, consultants and program officers",3960,54795,56340,
"        4166 Education policy researchers, consultants and program officers",3355,41236,45064,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",1750,43823,43951,
        4168 Program officers unique to government,2240,38136,41556,
"        4169 Other professional occupations in social science, n.e.c.",1045,44263,47932,
"    42 Paraprofessional occupations in legal, social, community and education services",53280,28458,30428,
"      421 Paraprofessional occupations in legal, social, community and education services",53285,28458,30428,
        4211 Paralegal and related occupations,3895,53737,52324,
        4212 Social and community service workers,23455,34620,34637,
        4214 Early childhood educators and assistants,17290,22541,23746,
        4215 Instructors of persons with disabilities,1300,24149,30188,
        4216 Other instructors,6195,11616,20808,
        4217 Other religious occupations,1150,18170,22917,
    43 Occupations in front-line public protection services,19080,94651,89872,
      431 Occupations in front-line public protection services,19075,94651,89872,
        4311 Police officers (except commissioned),10155,100150,97756,
        4312 Firefighters,4840,103238,96069,
        4313 Non-commissioned ranks of the Canadian Armed Forces,4085,69129,62913,
"    44 Care providers and educational, legal and public protection support occupations",49220,23928,27157,
      441 Home care providers and educational support occupations,44005,21835,22942,
        4411 Home child care providers,11895,12004,15428,
"        4412 Home support workers, housekeepers and related occupations",13215,23167,25529,
        4413 Elementary and secondary school teacher assistants,18900,27477,25863,
      442 Legal and public protection support occupations,5210,65307,62748,
        4421 Sheriffs and bailiffs,550,61049,56599,
        4422 Correctional service officers,3290,67778,65368,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",1370,58434,58954,
"  5 Occupations in art, culture, recreation and sport",91460,20772,33315,
    51 Professional occupations in art and culture,30765,18293,32972,
"      511 Librarians, archivists, conservators and curators",1935,56851,53914,
        5111 Librarians,1435,61886,58605,
        5112 Conservators and curators,325,31657,38417,
        5113 Archivists,175,34768,44295,
"      512 Writing, translating and related communications professionals",9715,23070,34018,
        5121 Authors and writers,4300,17935,31474,
        5122 Editors,2400,28266,36149,
        5123 Journalists,1400,41594,44326,
"        5125 Translators, terminologists and interpreters",1620,17961,28710,
      513 Creative and performing artists,19115,14698,30319,
"        5131 Producers, directors, choreographers and related occupations",4060,44039,57308,
"        5132 Conductors, composers and arrangers",550,20593,29368,
        5133 Musicians and singers,5670,12396,25822,
        5134 Dancers,1610,13463,17230,
        5135 Actors and comedians,3115,9508,18275,
"        5136 Painters, sculptors and other visual artists",4095,11945,24254,
"    52 Technical occupations in art, culture, recreation and sport",60695,22103,33489,
"      521 Technical occupations in libraries, public archives, museums and art galleries",1985,26198,28906,
        5211 Library and public archive technicians,1060,39030,37337,
        5212 Technical occupations related to museums and art galleries,925,12799,19271,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",14590,35269,45182,
        5221 Photographers,2915,13405,20290,
        5222 Film and video camera operators,990,31272,40208,
        5223 Graphic arts technicians,930,57046,71115,
        5224 Broadcast technicians,160,53807,50725,
        5225 Audio and video recording technicians,2560,48221,58509,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3675,46295,52607,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",3375,34483,42542,
"      523 Announcers and other performers, n.e.c.",1885,21132,37033,
        5231 Announcers and other broadcasters,750,40156,55129,
"        5232 Other performers, n.e.c.",1140,14727,25132,
      524 Creative designers and craftspersons,20145,29702,37959,
        5241 Graphic designers and illustrators,10540,36417,42374,
        5242 Interior designers and interior decorators,4035,28972,36233,
"        5243 Theatre, fashion, exhibit and other creative designers",2550,30227,40615,
        5244 Artisans and craftspersons,2900,11805,20530,
"        5245 Patternmakers - textile, leather and fur products",125,35911,71794,
"      525 Athletes, coaches, referees and related occupations",22080,12613,21792,
        5251 Athletes,520,20244,116515,
        5252 Coaches,1995,25042,36364,
        5253 Sports officials and referees,605,2509,9627,
"        5254 Program leaders and instructors in recreation, sport and fitness",18960,12057,18039,
  6 Sales and service occupations,608705,18933,26802,
    62 Retail sales supervisors and specialized sales occupations,58410,42344,55032,
      621 Retail sales supervisors,8805,32276,36149,
        6211 Retail sales supervisors,8805,32276,36149,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,14285,53553,67032,
        6221 Technical sales specialists - wholesale trade,9585,67558,81361,
        6222 Retail and wholesale buyers,4700,29211,37793,
"      623 Insurance, real estate and financial sales occupations",35315,42371,54886,
        6231 Insurance agents and brokers,10605,41885,51225,
        6232 Real estate agents and salespersons,16160,35958,54769,
        6235 Financial sales representatives,8555,48342,59647,
    63 Service supervisors and specialized service occupations,87370,22654,26121,
      631 Service supervisors,12850,28952,34192,
        6311 Food service supervisors,6420,22791,24776,
        6312 Executive housekeepers,860,41117,40173,
"        6313 Accommodation, travel, tourism and related services supervisors",1030,43808,42278,
        6314 Customer and information services supervisors,1120,52563,55585,
        6315 Cleaning supervisors,1330,36502,40727,
        6316 Other services supervisors,2090,36370,40993,
      632 Chefs and cooks,47460,22087,24817,
        6321 Chefs,13080,29633,33015,
        6322 Cooks,34375,19448,21697,
      633 Butchers and bakers,9135,25906,28846,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",2320,35650,35927,
        6332 Bakers,6810,23559,26431,
      634 Specialized occupations in personal and customer services,17925,18322,22398,
        6341 Hairstylists and barbers,13430,17715,21162,
"        6342 Tailors, dressmakers, furriers and milliners",2410,19472,21478,
        6343 Shoe repairers and shoemakers,200,17043,22049,
"        6344 Jewellers, jewellery and watch repairers and related occupations",740,16945,21651,
        6345 Upholsterers,650,26847,29272,
        6346 Funeral directors and embalmers,500,50803,52385,
    64 Sales representatives and salespersons - wholesale and retail trade,116315,19086,29723,
      641 Sales and account representatives - wholesale trade (non-technical),15980,50028,58677,
        6411 Sales and account representatives - wholesale trade (non-technical),15980,50028,58677,
      642 Retail salespersons,100340,16880,25112,
        6421 Retail salespersons,100340,16880,25112,
    65 Service representatives and other customer and personal services occupations,132960,18808,24570,
      651 Occupations in food and beverage service,50785,11909,14278,
        6511 MaÓtres d'hÙtel and hosts/hostesses,5460,6094,8489,
        6512 Bartenders,5760,16077,17886,
        6513 Food and beverage servers,39570,12170,14551,
      652 Occupations in travel and accommodation,14895,31341,33843,
        6521 Travel counsellors,4515,28136,30260,
        6522 Pursers and flight attendants,2880,51535,48395,
        6523 Airline ticket and service agents,2420,33848,36404,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",655,42297,37528,
        6525 Hotel front desk clerks,4425,25246,26072,
      653 Tourism and amusement services occupations,5135,26215,28992,
        6531 Tour and travel guides,995,13771,16965,
        6532 Outdoor sport and recreational guides,1610,21369,26123,
        6533 Casino occupations,2530,35995,35552,
      654 Security guards and related security service occupations,16045,26972,30409,
        6541 Security guards and related security service occupations,16045,26972,30409,
      655 Customer and information services representatives,32520,32642,34866,
        6551 Customer services representatives - financial institutions,9170,29648,32538,
        6552 Other customer and information services representatives,23345,33989,35780,
      656 Other occupations in personal service,13590,15532,19671,
"        6561 Image, social and other personal consultants",440,15527,31217,
"        6562 Estheticians, electrologists and related occupations",8680,17306,20955,
        6563 Pet groomers and animal care workers,3945,12532,15988,
        6564 Other personal service occupations,530,10780,16467,
    66 Sales support occupations,73260,12345,17110,
      661 Cashiers,44195,11094,15200,
        6611 Cashiers,44195,11094,15200,
      662 Other sales support and related occupations,29065,14990,20014,
        6621 Service station attendants,2045,13897,18989,
"        6622 Store shelf stockers, clerks and order fillers",22965,15819,20190,
        6623 Other sales related occupations,4055,9915,19535,
"    67 Service support and other service occupations, n.e.c.",140395,14622,20231,
"      671 Food counter attendants, kitchen helpers and related support occupations",58920,9958,13798,
"        6711 Food counter attendants, kitchen helpers and related support occupations",58925,9958,13798,
"      672 Support occupations in accommodation, travel and amusement services",6110,11254,19639,
"        6721 Support occupations in accommodation, travel and facilities set-up services",1235,25526,30502,
"        6722 Operators and attendants in amusement, recreation and sport",4875,9092,16887,
      673 Cleaners,68855,21112,25472,
        6731 Light duty cleaners,30795,16028,19931,
        6732 Specialized cleaners,6175,21156,24822,
"        6733 Janitors, caretakers and building superintendents",31880,27478,30951,
"      674 Other service support and related occupations, n.e.c.",6515,20683,23569,
"        6741 Dry cleaning, laundry and related occupations",2945,26285,26169,
"        6742 Other service support occupations, n.e.c.",3565,14801,21424,
"  7 Trades, transport and equipment operators and related occupations",361600,44647,50331,
"    72 Industrial, electrical and construction trades",131770,44424,50837,
