"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = London,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        3125 Other professional occupations in health diagnosing and treating,60,26601,38663,
"      313 Pharmacists, dietitians and nutritionists",795,77940,73806,
        3131 Pharmacists,545,93248,83496,
        3132 Dietitians and nutritionists,255,56291,53170,
      314 Therapy and assessment professionals,1110,62454,60407,
        3141 Audiologists and speech-language pathologists,250,69803,72657,
        3142 Physiotherapists,395,67966,63473,
        3143 Occupational therapists,285,69006,61850,
        3144 Other professional occupations in therapy and assessment,180,29485,34226,
    32 Technical occupations in health,5530,46047,48013,
      321 Medical technologists and technicians (except dental health),2645,46362,48798,
        3211 Medical laboratory technologists,360,76415,67688,
        3212 Medical laboratory technicians and pathologists' assistants,370,38850,39813,
        3213 Animal health technologists and veterinary technicians,255,29804,29326,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",260,83078,71316,
        3215 Medical radiation technologists,385,72262,65179,
        3216 Medical sonographers,125,60339,59365,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",45,57982,46250,
        3219 Other medical technologists and technicians (except dental health),845,32498,34960,
      322 Technical occupations in dental health care,485,49977,55365,
        3221 Denturists,30,0,0,
        3222 Dental hygienists and dental therapists,395,47016,46332,
"        3223 Dental technologists, technicians and laboratory assistants",60,62275,79082,
      323 Other technical occupations in health care,2405,44409,45669,
        3231 Opticians,115,39165,39054,
        3232 Practitioners of natural healing,90,12463,18802,
        3233 Licensed practical nurses,1175,50071,47254,
        3234 Paramedical occupations,390,84005,81024,
        3236 Massage therapists,475,21198,24042,
        3237 Other technical occupations in therapy and assessment,160,32202,32026,
    34 Assisting occupations in support of health services,5055,36059,34033,
      341 Assisting occupations in support of health services,5055,36059,34033,
        3411 Dental assistants,535,33457,32843,
"        3413 Nurse aides, orderlies and patient service associates",3950,36518,34153,
        3414 Other assisting occupations in support of health services,565,35677,34322,
"  4 Occupations in education, law and social, community and government services",33175,44706,54073,
    40 Professional occupations in education services,13880,60816,61122,
      401 University professors and post-secondary assistants,4675,27961,56595,
        4011 University professors and lecturers,2265,99026,95356,
        4012 Post-secondary teaching and research assistants,2415,14146,20222,
      402 College and other vocational instructors,1345,61430,58563,
        4021 College and other vocational instructors,1350,61430,58563,
      403 Secondary and elementary school teachers and educational counsellors,7860,71299,64255,
        4031 Secondary school teachers,2595,79443,66640,
        4032 Elementary school and kindergarten teachers,4915,68891,63384,
        4033 Educational counsellors,345,62217,58713,
"    41 Professional occupations in law and social, community and government services",6725,57089,67665,
"      411 Judges, lawyers and Quebec notaries",1165,101289,130562,
        4111 Judges,55,305303,276252,
        4112 Lawyers and Quebec notaries,1105,99278,123222,
      415 Social and community service professionals,2770,53946,54753,
        4151 Psychologists,340,59031,66658,
        4152 Social workers,1045,61773,59406,
"        4153 Family, marriage and other related counsellors",445,47672,45816,
        4154 Professional occupations in religion,665,45446,48198,
        4155 Probation and parole officers and related occupations,40,75869,74962,
        4156 Employment counsellors,235,41617,48564,
"      416 Policy and program researchers, consultants and officers",2785,52147,54228,
"        4161 Natural and applied science policy researchers, consultants and program officers",165,78828,69490,
        4162 Economists and economic policy researchers and analysts,80,79820,89154,
        4163 Business development officers and marketing researchers and consultants,855,52080,56310,
"        4164 Social policy researchers, consultants and program officers",270,50660,50919,
"        4165 Health policy researchers, consultants and program officers",595,55768,54302,
"        4166 Education policy researchers, consultants and program officers",360,58706,60984,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",135,27319,35249,
        4168 Program officers unique to government,220,1210,32030,
"        4169 Other professional occupations in social science, n.e.c.",110,44649,43025,
"    42 Paraprofessional occupations in legal, social, community and education services",6175,33296,33451,
"      421 Paraprofessional occupations in legal, social, community and education services",6175,33296,33451,
        4211 Paralegal and related occupations,745,41125,41053,
        4212 Social and community service workers,2700,42401,40880,
        4214 Early childhood educators and assistants,2140,24535,23922,
        4215 Instructors of persons with disabilities,85,43255,47720,
        4216 Other instructors,380,9205,19347,
        4217 Other religious occupations,120,17446,23382,
    43 Occupations in front-line public protection services,1935,97357,87333,
      431 Occupations in front-line public protection services,1940,97357,87333,
        4311 Police officers (except commissioned),1165,98800,96663,
        4312 Firefighters,395,105541,100244,
        4313 Non-commissioned ranks of the Canadian Armed Forces,375,41390,44911,
"    44 Care providers and educational, legal and public protection support occupations",4460,21946,25725,
      441 Home care providers and educational support occupations,4105,19547,22782,
        4411 Home child care providers,1060,10634,13750,
"        4412 Home support workers, housekeepers and related occupations",1385,21607,23376,
        4413 Elementary and secondary school teacher assistants,1670,31394,28012,
      442 Legal and public protection support occupations,350,66995,60292,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,190,73454,68078,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",150,41394,51151,
"  5 Occupations in art, culture, recreation and sport",6710,14889,27421,
    51 Professional occupations in art and culture,2105,16918,28547,
"      511 Librarians, archivists, conservators and curators",265,67734,60651,
        5111 Librarians,205,70347,61451,
