"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Vancouver [1],,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        6711 Food counter attendants, kitchen helpers and related support occupations",31305,10159,14060,
"      672 Support occupations in accommodation, travel and amusement services",3130,11299,20524,
"        6721 Support occupations in accommodation, travel and facilities set-up services",810,26988,32512,
"        6722 Operators and attendants in amusement, recreation and sport",2320,8416,16338,
      673 Cleaners,31250,24456,27734,
        6731 Light duty cleaners,13745,19590,22144,
        6732 Specialized cleaners,2740,21523,24995,
"        6733 Janitors, caretakers and building superintendents",14765,30800,33446,
"      674 Other service support and related occupations, n.e.c.",3765,21839,24639,
"        6741 Dry cleaning, laundry and related occupations",1565,25491,25906,
"        6742 Other service support occupations, n.e.c.",2205,16014,23741,
"  7 Trades, transport and equipment operators and related occupations",165445,41977,47505,
"    72 Industrial, electrical and construction trades",61300,43462,48924,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",7645,55742,62277,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",775,79443,78549,
