"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Trois-Rivières,,,,
Global non-response rate (GNR) =   3.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        3213 Animal health technologists and veterinary technicians,90,23465,21031,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",130,50668,49428,
        3215 Medical radiation technologists,145,49755,43399,
        3216 Medical sonographers,0,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",10,0,0,
        3219 Other medical technologists and technicians (except dental health),385,28369,27815,
      322 Technical occupations in dental health care,200,37684,52747,
        3221 Denturists,15,0,0,
        3222 Dental hygienists and dental therapists,165,37607,35764,
"        3223 Dental technologists, technicians and laboratory assistants",15,0,0,
      323 Other technical occupations in health care,860,39795,35890,
        3231 Opticians,30,0,43235,
        3232 Practitioners of natural healing,20,0,0,
        3233 Licensed practical nurses,430,42791,40000,
        3234 Paramedical occupations,135,58304,55190,
        3236 Massage therapists,180,9509,11944,
        3237 Other technical occupations in therapy and assessment,55,29456,30715,
    34 Assisting occupations in support of health services,1820,25029,27601,
      341 Assisting occupations in support of health services,1825,25029,27601,
        3411 Dental assistants,85,26863,32581,
"        3413 Nurse aides, orderlies and patient service associates",1570,23270,26357,
        3414 Other assisting occupations in support of health services,170,33895,36814,
"  4 Occupations in education, law and social, community and government services",9710,41433,47016,
    40 Professional occupations in education services,3765,62280,57257,
      401 University professors and post-secondary assistants,855,49648,61344,
        4011 University professors and lecturers,470,99563,90487,
        4012 Post-secondary teaching and research assistants,385,11212,25461,
      402 College and other vocational instructors,760,65690,58125,
        4021 College and other vocational instructors,755,65690,58125,
      403 Secondary and elementary school teachers and educational counsellors,2150,62947,55326,
        4031 Secondary school teachers,895,68191,59381,
        4032 Elementary school and kindergarten teachers,1090,58415,51682,
        4033 Educational counsellors,175,61322,57261,
"    41 Professional occupations in law and social, community and government services",1715,51532,54498,
"      411 Judges, lawyers and Quebec notaries",190,73650,93974,
        4111 Judges,20,0,0,
        4112 Lawyers and Quebec notaries,175,68515,79175,
      415 Social and community service professionals,845,50281,49773,
        4151 Psychologists,270,54549,52307,
        4152 Social workers,245,50742,49943,
"        4153 Family, marriage and other related counsellors",220,57922,51176,
        4154 Professional occupations in religion,25,0,0,
        4155 Probation and parole officers and related occupations,15,0,0,
        4156 Employment counsellors,65,35244,36583,
"      416 Policy and program researchers, consultants and officers",680,49730,49155,
"        4161 Natural and applied science policy researchers, consultants and program officers",50,28710,43908,
        4162 Economists and economic policy researchers and analysts,30,0,0,
        4163 Business development officers and marketing researchers and consultants,135,40970,42631,
"        4164 Social policy researchers, consultants and program officers",110,51563,47427,
"        4165 Health policy researchers, consultants and program officers",80,66365,61819,
"        4166 Education policy researchers, consultants and program officers",95,69167,66799,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",60,61871,73646,
