"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Halifax,,,,
Global non-response rate (GNR) =   4.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",115,25035,28216,
"      523 Announcers and other performers, n.e.c.",155,28606,37154,
        5231 Announcers and other broadcasters,100,31185,38527,
"        5232 Other performers, n.e.c.",55,13309,34864,
      524 Creative designers and craftspersons,1255,23923,29517,
        5241 Graphic designers and illustrators,720,30696,34613,
        5242 Interior designers and interior decorators,195,26794,34396,
"        5243 Theatre, fashion, exhibit and other creative designers",115,14557,19463,
        5244 Artisans and craftspersons,230,8793,14439,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",2165,6299,14030,
        5251 Athletes,30,0,0,
        5252 Coaches,165,25273,43890,
        5253 Sports officials and referees,35,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",1935,5803,11076,
  6 Sales and service occupations,56395,18471,24716,
    62 Retail sales supervisors and specialized sales occupations,5470,39585,48895,
      621 Retail sales supervisors,965,26370,31104,
        6211 Retail sales supervisors,965,26370,31104,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,1660,52853,63480,
        6221 Technical sales specialists - wholesale trade,1120,64403,76796,
        6222 Retail and wholesale buyers,535,27340,35607,
"      623 Insurance, real estate and financial sales occupations",2845,39905,46434,
        6231 Insurance agents and brokers,995,42306,50049,
        6232 Real estate agents and salespersons,805,22601,34861,
        6235 Financial sales representatives,1045,43786,51933,
    63 Service supervisors and specialized service occupations,7175,22447,25527,
      631 Service supervisors,1395,27379,32414,
        6311 Food service supervisors,600,20382,21814,
        6312 Executive housekeepers,65,37372,35158,
"        6313 Accommodation, travel, tourism and related services supervisors",80,38445,37766,
        6314 Customer and information services supervisors,245,45722,48398,
        6315 Cleaning supervisors,140,34373,38125,
        6316 Other services supervisors,275,30258,36310,
      632 Chefs and cooks,3470,22407,25048,
        6321 Chefs,720,33539,33348,
        6322 Cooks,2745,20216,22869,
      633 Butchers and bakers,650,19757,20352,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",145,26107,25728,
        6332 Bakers,505,17786,18781,
      634 Specialized occupations in personal and customer services,1660,20040,22758,
        6341 Hairstylists and barbers,1385,19743,21041,
"        6342 Tailors, dressmakers, furriers and milliners",155,23525,22348,
        6343 Shoe repairers and shoemakers,15,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",35,27956,23244,
        6345 Upholsterers,25,0,0,
        6346 Funeral directors and embalmers,45,46932,77712,
    64 Sales representatives and salespersons - wholesale and retail trade,10555,16882,27147,
      641 Sales and account representatives - wholesale trade (non-technical),1485,50759,56154,
        6411 Sales and account representatives - wholesale trade (non-technical),1485,50759,56154,
      642 Retail salespersons,9065,14181,22393,
        6421 Retail salespersons,9070,14181,22393,
    65 Service representatives and other customer and personal services occupations,13305,20204,24010,
      651 Occupations in food and beverage service,3835,12517,14219,
        6511 Maîtres d'hôtel and hosts/hostesses,330,7782,9364,
        6512 Bartenders,615,15751,16308,
        6513 Food and beverage servers,2880,12387,14332,
      652 Occupations in travel and accommodation,1150,29096,32559,
        6521 Travel counsellors,325,34359,32141,
        6522 Pursers and flight attendants,210,53118,48976,
        6523 Airline ticket and service agents,275,32268,36352,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,325,15164,19414,
      653 Tourism and amusement services occupations,205,16546,23927,
        6531 Tour and travel guides,75,7744,8333,
        6532 Outdoor sport and recreational guides,20,0,0,
        6533 Casino occupations,115,30588,35445,
      654 Security guards and related security service occupations,2250,25140,28104,
        6541 Security guards and related security service occupations,2245,25140,28104,
      655 Customer and information services representatives,4950,25953,28584,
        6551 Customer services representatives - financial institutions,1170,28240,28443,
        6552 Other customer and information services representatives,3785,25443,28628,
      656 Other occupations in personal service,920,13692,19527,
"        6561 Image, social and other personal consultants",20,0,0,
"        6562 Estheticians, electrologists and related occupations",580,15620,18914,
        6563 Pet groomers and animal care workers,285,10394,18810,
        6564 Other personal service occupations,35,0,0,
    66 Sales support occupations,7400,10584,13878,
      661 Cashiers,4690,9274,11433,
        6611 Cashiers,4690,9274,11433,
      662 Other sales support and related occupations,2715,14630,18109,
        6621 Service station attendants,180,13487,17286,
"        6622 Store shelf stockers, clerks and order fillers",2010,15222,17146,
        6623 Other sales related occupations,525,12498,22093,
"    67 Service support and other service occupations, n.e.c.",12490,15288,18781,
"      671 Food counter attendants, kitchen helpers and related support occupations",5235,10286,13316,
"        6711 Food counter attendants, kitchen helpers and related support occupations",5235,10286,13316,
"      672 Support occupations in accommodation, travel and amusement services",535,9525,16518,
"        6721 Support occupations in accommodation, travel and facilities set-up services",120,23069,30669,
"        6722 Operators and attendants in amusement, recreation and sport",410,8274,12242,
      673 Cleaners,6105,21587,23517,
        6731 Light duty cleaners,3270,18033,19006,
        6732 Specialized cleaners,480,24305,24260,
"        6733 Janitors, caretakers and building superintendents",2355,28794,29638,
"      674 Other service support and related occupations, n.e.c.",615,17706,20291,
"        6741 Dry cleaning, laundry and related occupations",160,26064,27061,
"        6742 Other service support occupations, n.e.c.",450,10523,17911,
"  7 Trades, transport and equipment operators and related occupations",26145,39555,43270,
"    72 Industrial, electrical and construction trades",9340,42124,46903,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",855,57961,57203,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",115,71234,72468,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",130,74562,75093,
"        7203 Contractors and supervisors, pipefitting trades",75,74005,93802,
"        7204 Contractors and supervisors, carpentry trades",195,38558,44196,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",345,43209,45091,
"      723 Machining, metal forming, shaping and erecting trades",1635,54834,55829,
        7231 Machinists and machining and tooling inspectors,285,58071,58760,
        7232 Tool and die makers,10,0,0,
        7233 Sheet metal workers,225,49412,48978,
        7234 Boilermakers,15,0,0,
