"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Hamilton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2262 Engineering inspectors and regulatory officers,115,69418,67790,
        2263 Inspectors in public and environmental health and occupational health and safety,660,72183,64068,
        2264 Construction inspectors,410,64421,63041,
      227 Transportation officers and controllers,630,122472,135791,
"        2271 Air pilots, flight engineers and flying instructors",425,131295,143926,
        2272 Air traffic controllers and related occupations,130,146409,139909,
"        2273 Deck officers, water transport",40,45019,68147,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,25,0,0,
      228 Technical occupations in computer and information systems,2395,59625,61166,
        2281 Computer network technicians,1325,65606,64230,
        2282 User support technicians,960,52783,57290,
        2283 Information systems testing technicians,110,66074,58300,
  3 Health occupations,29295,50427,58904,
    30 Professional occupations in nursing,7455,71463,67680,
      301 Professional occupations in nursing,7455,71463,67680,
        3011 Nursing co-ordinators and supervisors,395,62103,62953,
        3012 Registered nurses and registered psychiatric nurses,7055,71743,67947,
    31 Professional occupations in health (except nursing),6650,70094,88055,
"      311 Physicians, dentists and veterinarians",3350,78942,114205,
        3111 Specialist physicians,1330,85956,124917,
        3112 General practitioners and family physicians,1420,74442,108525,
        3113 Dentists,395,88337,122669,
        3114 Veterinarians,195,70699,65082,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",670,71418,70833,
        3121 Optometrists,110,85356,92939,
        3122 Chiropractors,200,42401,51650,
        3124 Allied primary health practitioners,260,83075,79986,
        3125 Other professional occupations in health diagnosing and treating,100,61996,61437,
"      313 Pharmacists, dietitians and nutritionists",925,70149,71924,
        3131 Pharmacists,630,90781,84209,
        3132 Dietitians and nutritionists,295,46639,46091,
      314 Therapy and assessment professionals,1705,51409,52241,
        3141 Audiologists and speech-language pathologists,230,66762,67122,
        3142 Physiotherapists,590,58003,56972,
        3143 Occupational therapists,395,59864,59333,
        3144 Other professional occupations in therapy and assessment,485,35149,33663,
    32 Technical occupations in health,7940,45365,47580,
      321 Medical technologists and technicians (except dental health),3480,45460,49233,
        3211 Medical laboratory technologists,485,80355,69428,
        3212 Medical laboratory technicians and pathologists' assistants,435,44201,42406,
        3213 Animal health technologists and veterinary technicians,355,30840,30515,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",240,81612,71901,
        3215 Medical radiation technologists,560,72552,68884,
        3216 Medical sonographers,195,60184,59412,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",155,37957,39397,
        3219 Other medical technologists and technicians (except dental health),1050,31394,32930,
      322 Technical occupations in dental health care,1065,46406,45839,
        3221 Denturists,50,19452,32450,
        3222 Dental hygienists and dental therapists,855,47673,46157,
"        3223 Dental technologists, technicians and laboratory assistants",165,46558,48158,
      323 Other technical occupations in health care,3400,45062,46433,
        3231 Opticians,140,58113,51704,
        3232 Practitioners of natural healing,120,12000,22590,
        3233 Licensed practical nurses,1600,49516,46614,
        3234 Paramedical occupations,550,89341,80146,
        3236 Massage therapists,675,25930,26266,
        3237 Other technical occupations in therapy and assessment,320,36678,36951,
    34 Assisting occupations in support of health services,7255,35555,35569,
      341 Assisting occupations in support of health services,7250,35555,35569,
        3411 Dental assistants,840,33593,35765,
"        3413 Nurse aides, orderlies and patient service associates",5580,36652,35984,
        3414 Other assisting occupations in support of health services,835,29548,32606,
"  4 Occupations in education, law and social, community and government services",48700,49806,59961,
    40 Professional occupations in education services,20535,66005,63235,
      401 University professors and post-secondary assistants,4230,23489,54090,
        4011 University professors and lecturers,1785,97970,98195,
        4012 Post-secondary teaching and research assistants,2440,11064,21766,
      402 College and other vocational instructors,1735,58094,60298,
        4021 College and other vocational instructors,1735,58094,60298,
      403 Secondary and elementary school teachers and educational counsellors,14570,72818,66238,
        4031 Secondary school teachers,4900,81750,72414,
        4032 Elementary school and kindergarten teachers,9280,68748,63340,
        4033 Educational counsellors,385,56042,57572,
"    41 Professional occupations in law and social, community and government services",9840,58838,81868,
"      411 Judges, lawyers and Quebec notaries",1500,105149,204222,
        4111 Judges,35,305419,252369,
        4112 Lawyers and Quebec notaries,1465,102670,203097,
      415 Social and community service professionals,3655,54999,56075,
        4151 Psychologists,445,48553,54219,
        4152 Social workers,1575,66396,63861,
"        4153 Family, marriage and other related counsellors",475,44521,42257,
        4154 Professional occupations in religion,715,47358,48876,
        4155 Probation and parole officers and related occupations,130,75847,73963,
        4156 Employment counsellors,300,53694,49076,
"      416 Policy and program researchers, consultants and officers",4685,55868,62833,
"        4161 Natural and applied science policy researchers, consultants and program officers",420,60968,62978,
        4162 Economists and economic policy researchers and analysts,250,91599,105270,
        4163 Business development officers and marketing researchers and consultants,1605,55652,67511,
"        4164 Social policy researchers, consultants and program officers",395,60342,57200,
"        4165 Health policy researchers, consultants and program officers",930,54843,60645,
"        4166 Education policy researchers, consultants and program officers",460,52516,54140,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",260,50767,48352,
        4168 Program officers unique to government,260,44317,41991,
"        4169 Other professional occupations in social science, n.e.c.",115,44583,56914,
"    42 Paraprofessional occupations in legal, social, community and education services",7960,32376,34571,
"      421 Paraprofessional occupations in legal, social, community and education services",7960,32376,34571,
        4211 Paralegal and related occupations,730,51934,52261,
        4212 Social and community service workers,2700,41198,41977,
        4214 Early childhood educators and assistants,3575,26083,26927,
        4215 Instructors of persons with disabilities,195,43410,45687,
        4216 Other instructors,510,8558,20543,
        4217 Other religious occupations,250,20405,32197,
    43 Occupations in front-line public protection services,3435,103707,98369,
      431 Occupations in front-line public protection services,3435,103707,98369,
        4311 Police officers (except commissioned),2145,105984,102464,
        4312 Firefighters,1040,104390,104443,
        4313 Non-commissioned ranks of the Canadian Armed Forces,245,33881,36092,
"    44 Care providers and educational, legal and public protection support occupations",6935,26863,29334,
      441 Home care providers and educational support occupations,6175,23674,24617,
        4411 Home child care providers,1555,10538,13302,
"        4412 Home support workers, housekeepers and related occupations",1890,25282,26921,
        4413 Elementary and secondary school teacher assistants,2730,35595,29469,
      442 Legal and public protection support occupations,760,71994,67826,
        4421 Sheriffs and bailiffs,45,19428,33730,
        4422 Correctional service officers,370,76587,78557,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",340,69471,60499,
"  5 Occupations in art, culture, recreation and sport",11610,17857,30307,
    51 Professional occupations in art and culture,3570,17072,32634,
"      511 Librarians, archivists, conservators and curators",290,67724,63399,
        5111 Librarians,230,68015,65492,
        5112 Conservators and curators,55,51983,52425,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",1155,29475,41171,
        5121 Authors and writers,535,18361,32018,
        5122 Editors,320,50712,45936,
        5123 Journalists,165,67955,75140,
"        5125 Translators, terminologists and interpreters",135,20395,24505,
      513 Creative and performing artists,2130,11525,23802,
"        5131 Producers, directors, choreographers and related occupations",455,54021,55891,
"        5132 Conductors, composers and arrangers",60,20811,32030,
        5133 Musicians and singers,860,10241,14548,
        5134 Dancers,200,7858,9311,
        5135 Actors and comedians,205,6747,11038,
"        5136 Painters, sculptors and other visual artists",350,7207,19048,
"    52 Technical occupations in art, culture, recreation and sport",8035,18132,29271,
"      521 Technical occupations in libraries, public archives, museums and art galleries",320,35059,37069,
        5211 Library and public archive technicians,210,41092,44191,
        5212 Technical occupations related to museums and art galleries,115,21362,23954,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1500,33569,39589,
        5221 Photographers,375,12810,20045,
        5222 Film and video camera operators,180,43505,44182,
        5223 Graphic arts technicians,115,49894,60022,
        5224 Broadcast technicians,90,50339,55692,
        5225 Audio and video recording technicians,250,44549,46403,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",265,41658,44516,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",225,31584,38404,
"      523 Announcers and other performers, n.e.c.",160,12554,30047,
        5231 Announcers and other broadcasters,60,31375,45957,
"        5232 Other performers, n.e.c.",100,9219,20664,
      524 Creative designers and craftspersons,2470,30309,36561,
        5241 Graphic designers and illustrators,1345,34119,38605,
        5242 Interior designers and interior decorators,525,34406,41534,
"        5243 Theatre, fashion, exhibit and other creative designers",240,30085,33604,
        5244 Artisans and craftspersons,350,14577,23608,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",3580,8831,19204,
        5251 Athletes,115,31357,51316,
        5252 Coaches,255,25647,38856,
        5253 Sports officials and referees,125,3789,18963,
"        5254 Program leaders and instructors in recreation, sport and fitness",3090,8262,16400,
  6 Sales and service occupations,94330,17438,28211,
    62 Retail sales supervisors and specialized sales occupations,10420,46827,61597,
      621 Retail sales supervisors,1435,28400,35847,
        6211 Retail sales supervisors,1435,28400,35847,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,3510,63930,77569,
        6221 Technical sales specialists - wholesale trade,2555,79023,91365,
        6222 Retail and wholesale buyers,955,30292,40734,
"      623 Insurance, real estate and financial sales occupations",5475,45491,58098,
        6231 Insurance agents and brokers,1465,50754,63747,
        6232 Real estate agents and salespersons,2445,33654,52412,
