"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Sherbrooke,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4112 Lawyers and Quebec notaries,515,59985,69206,
      415 Social and community service professionals,1210,50583,47911,
        4151 Psychologists,275,53337,53509,
        4152 Social workers,470,56400,51652,
"        4153 Family, marriage and other related counsellors",285,48739,41697,
        4154 Professional occupations in religion,85,31715,35075,
        4155 Probation and parole officers and related occupations,15,0,0,
        4156 Employment counsellors,75,41648,42014,
"      416 Policy and program researchers, consultants and officers",1045,52664,50607,
"        4161 Natural and applied science policy researchers, consultants and program officers",110,44851,46784,
        4162 Economists and economic policy researchers and analysts,35,64365,74123,
        4163 Business development officers and marketing researchers and consultants,175,31652,39476,
"        4164 Social policy researchers, consultants and program officers",130,56934,53460,
"        4165 Health policy researchers, consultants and program officers",175,53215,56882,
"        4166 Education policy researchers, consultants and program officers",240,68649,63412,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",50,37532,40176,
        4168 Program officers unique to government,105,18630,27393,
"        4169 Other professional occupations in social science, n.e.c.",25,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",3915,27957,28738,
"      421 Paraprofessional occupations in legal, social, community and education services",3910,27957,28738,
        4211 Paralegal and related occupations,130,31774,33342,
        4212 Social and community service workers,800,34352,34182,
        4214 Early childhood educators and assistants,2310,25443,25114,
        4215 Instructors of persons with disabilities,450,40596,38164,
        4216 Other instructors,125,19176,20619,
        4217 Other religious occupations,105,29328,30544,
    43 Occupations in front-line public protection services,865,70609,64274,
      431 Occupations in front-line public protection services,860,70609,64274,
        4311 Police officers (except commissioned),455,87864,81425,
        4312 Firefighters,180,70330,68614,
        4313 Non-commissioned ranks of the Canadian Armed Forces,230,18623,26633,
"    44 Care providers and educational, legal and public protection support occupations",1365,16911,24091,
      441 Home care providers and educational support occupations,1195,15071,17429,
        4411 Home child care providers,265,10531,12455,
"        4412 Home support workers, housekeepers and related occupations",500,15066,17432,
        4413 Elementary and secondary school teacher assistants,430,18118,20551,
      442 Legal and public protection support occupations,175,63496,69680,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,115,65825,76858,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",50,55064,53669,
"  5 Occupations in art, culture, recreation and sport",3070,13389,22404,
    51 Professional occupations in art and culture,950,18041,27132,
"      511 Librarians, archivists, conservators and curators",55,56953,55720,
        5111 Librarians,40,66895,58445,
        5112 Conservators and curators,0,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",430,24917,28882,
        5121 Authors and writers,110,15510,27784,
        5122 Editors,95,13530,25313,
        5123 Journalists,85,32376,36800,
"        5125 Translators, terminologists and interpreters",135,25311,27192,
      513 Creative and performing artists,465,13143,21985,
"        5131 Producers, directors, choreographers and related occupations",120,37728,43345,
"        5132 Conductors, composers and arrangers",0,0,0,
        5133 Musicians and singers,160,11527,14987,
        5134 Dancers,40,10561,16769,
        5135 Actors and comedians,50,5820,8574,
"        5136 Painters, sculptors and other visual artists",90,13141,14020,
"    52 Technical occupations in art, culture, recreation and sport",2115,11655,20283,
"      521 Technical occupations in libraries, public archives, museums and art galleries",75,17156,20022,
        5211 Library and public archive technicians,15,0,0,
        5212 Technical occupations related to museums and art galleries,55,15885,14437,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",335,19668,24841,
        5221 Photographers,100,12767,22500,
        5222 Film and video camera operators,45,41947,39694,
        5223 Graphic arts technicians,70,22917,18985,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,40,18989,21993,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",50,17010,21127,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",15,0,0,
"      523 Announcers and other performers, n.e.c.",45,0,0,
        5231 Announcers and other broadcasters,25,0,0,
"        5232 Other performers, n.e.c.",20,0,0,
      524 Creative designers and craftspersons,590,25860,29855,
        5241 Graphic designers and illustrators,220,27828,31181,
        5242 Interior designers and interior decorators,165,18289,23005,
"        5243 Theatre, fashion, exhibit and other creative designers",140,42160,41350,
        5244 Artisans and craftspersons,65,18842,17815,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",1080,5938,13629,
        5251 Athletes,15,0,0,
        5252 Coaches,95,19458,39517,
        5253 Sports officials and referees,55,1511,2695,
"        5254 Program leaders and instructors in recreation, sport and fitness",905,5753,10944,
  6 Sales and service occupations,26590,16080,21264,
    62 Retail sales supervisors and specialized sales occupations,1455,37111,43668,
      621 Retail sales supervisors,350,20659,25212,
        6211 Retail sales supervisors,355,20659,25212,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,460,52919,61849,
        6221 Technical sales specialists - wholesale trade,295,68143,75614,
        6222 Retail and wholesale buyers,165,35678,36808,
"      623 Insurance, real estate and financial sales occupations",645,39630,40786,
        6231 Insurance agents and brokers,295,42512,44747,
        6232 Real estate agents and salespersons,210,26934,31009,
        6235 Financial sales representatives,135,40012,47483,
    63 Service supervisors and specialized service occupations,3840,17443,20498,
      631 Service supervisors,455,21835,29457,
        6311 Food service supervisors,225,18114,20733,
        6312 Executive housekeepers,10,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",10,0,0,
        6314 Customer and information services supervisors,85,40061,40716,
        6315 Cleaning supervisors,70,49355,50369,
        6316 Other services supervisors,55,0,0,
      632 Chefs and cooks,2025,17600,19632,
        6321 Chefs,140,24693,27578,
        6322 Cooks,1885,17258,19042,
      633 Butchers and bakers,395,26105,25115,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",195,29336,27906,
        6332 Bakers,205,19584,22425,
      634 Specialized occupations in personal and customer services,965,14747,16175,
        6341 Hairstylists and barbers,775,14334,15205,
"        6342 Tailors, dressmakers, furriers and milliners",90,18700,17279,
        6343 Shoe repairers and shoemakers,15,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",25,0,0,
        6345 Upholsterers,40,29171,25154,
        6346 Funeral directors and embalmers,15,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,4630,17224,25030,
      641 Sales and account representatives - wholesale trade (non-technical),625,46419,49156,
        6411 Sales and account representatives - wholesale trade (non-technical),625,46419,49156,
      642 Retail salespersons,4005,15174,21267,
        6421 Retail salespersons,4005,15174,21267,
    65 Service representatives and other customer and personal services occupations,5390,18935,21749,
      651 Occupations in food and beverage service,2040,16093,17943,
        6511 Maîtres d'hôtel and hosts/hostesses,80,4435,9299,
        6512 Bartenders,235,14226,17296,
        6513 Food and beverage servers,1725,16798,18441,
      652 Occupations in travel and accommodation,185,23450,22467,
        6521 Travel counsellors,75,25714,23392,
        6522 Pursers and flight attendants,10,0,0,
        6523 Airline ticket and service agents,0,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,100,20828,20932,
      653 Tourism and amusement services occupations,80,6909,12512,
        6531 Tour and travel guides,60,6090,9609,
        6532 Outdoor sport and recreational guides,15,0,0,
        6533 Casino occupations,0,0,0,
      654 Security guards and related security service occupations,685,22935,28217,
        6541 Security guards and related security service occupations,685,22935,28217,
      655 Customer and information services representatives,1780,24473,25359,
        6551 Customer services representatives - financial institutions,315,32687,28070,
        6552 Other customer and information services representatives,1465,23440,24771,
      656 Other occupations in personal service,620,15503,17764,
"        6561 Image, social and other personal consultants",25,0,0,
"        6562 Estheticians, electrologists and related occupations",410,17935,19040,
        6563 Pet groomers and animal care workers,155,12641,17753,
        6564 Other personal service occupations,25,0,0,
    66 Sales support occupations,4900,11727,14846,
      661 Cashiers,2850,10274,12049,
        6611 Cashiers,2850,10274,12049,
      662 Other sales support and related occupations,2050,14298,18732,
        6621 Service station attendants,60,9363,11321,
"        6622 Store shelf stockers, clerks and order fillers",1415,13583,16365,
        6623 Other sales related occupations,580,17570,25253,
"    67 Service support and other service occupations, n.e.c.",6370,13936,18394,
"      671 Food counter attendants, kitchen helpers and related support occupations",2415,9344,12724,
"        6711 Food counter attendants, kitchen helpers and related support occupations",2420,9344,12724,
"      672 Support occupations in accommodation, travel and amusement services",210,12569,19899,
"        6721 Support occupations in accommodation, travel and facilities set-up services",15,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",190,12579,20604,
      673 Cleaners,3430,18756,21681,
        6731 Light duty cleaners,1930,16244,19247,
        6732 Specialized cleaners,315,18641,21276,
"        6733 Janitors, caretakers and building superintendents",1190,25559,25735,
"      674 Other service support and related occupations, n.e.c.",315,23587,25045,
"        6741 Dry cleaning, laundry and related occupations",100,29236,30493,
"        6742 Other service support occupations, n.e.c.",215,14749,22544,
"  7 Trades, transport and equipment operators and related occupations",14150,37700,39452,
"    72 Industrial, electrical and construction trades",5280,40510,42342,
