"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Thunder Bay,,,,
Global non-response rate (GNR) =   5.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2255 Technical occupations in geomatics and meteorology,65,52031,45116,
      226 Other technical inspectors and regulatory officers,265,63466,65120,
        2261 Non-destructive testers and inspection technicians,40,59869,67755,
        2262 Engineering inspectors and regulatory officers,30,89688,65853,
        2263 Inspectors in public and environmental health and occupational health and safety,110,84598,68976,
        2264 Construction inspectors,85,57900,58354,
      227 Transportation officers and controllers,255,61328,67724,
"        2271 Air pilots, flight engineers and flying instructors",185,57672,65776,
        2272 Air traffic controllers and related occupations,25,0,0,
"        2273 Deck officers, water transport",25,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,15,0,0,
      228 Technical occupations in computer and information systems,220,58662,55784,
        2281 Computer network technicians,145,58758,57245,
        2282 User support technicians,75,56812,54734,
        2283 Information systems testing technicians,10,0,0,
  3 Health occupations,6090,52998,59550,
    30 Professional occupations in nursing,1880,66709,65524,
      301 Professional occupations in nursing,1875,66709,65524,
        3011 Nursing co-ordinators and supervisors,85,65072,68566,
        3012 Registered nurses and registered psychiatric nurses,1790,66817,65377,
    31 Professional occupations in health (except nursing),1095,87965,101939,
"      311 Physicians, dentists and veterinarians",425,136739,139097,
        3111 Specialist physicians,140,140656,182001,
        3112 General practitioners and family physicians,200,119791,122580,
        3113 Dentists,60,121509,116954,
        3114 Veterinarians,25,0,76592,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",150,91810,84636,
        3121 Optometrists,10,0,0,
        3122 Chiropractors,35,68817,70180,
        3124 Allied primary health practitioners,90,104332,92303,
        3125 Other professional occupations in health diagnosing and treating,15,0,0,
"      313 Pharmacists, dietitians and nutritionists",180,102564,96776,
        3131 Pharmacists,135,111224,111283,
        3132 Dietitians and nutritionists,40,47799,48324,
      314 Therapy and assessment professionals,345,65813,66194,
        3141 Audiologists and speech-language pathologists,40,73526,68351,
        3142 Physiotherapists,125,81573,74000,
        3143 Occupational therapists,90,77475,85423,
        3144 Other professional occupations in therapy and assessment,90,39612,34376,
    32 Technical occupations in health,1585,48343,49652,
      321 Medical technologists and technicians (except dental health),660,45972,47564,
        3211 Medical laboratory technologists,100,65697,63771,
