"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kitchener - Cambridge - Waterloo,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        3011 Nursing co-ordinators and supervisors,220,63805,62509,
        3012 Registered nurses and registered psychiatric nurses,3500,66351,63516,
    31 Professional occupations in health (except nursing),2920,67339,92928,
"      311 Physicians, dentists and veterinarians",1180,90070,144157,
        3111 Specialist physicians,315,103125,247905,
        3112 General practitioners and family physicians,570,89829,113387,
        3113 Dentists,165,96463,108808,
        3114 Veterinarians,130,75821,69121,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",455,63652,61245,
        3121 Optometrists,140,65736,70729,
        3122 Chiropractors,150,40595,44083,
        3124 Allied primary health practitioners,100,85881,82242,
        3125 Other professional occupations in health diagnosing and treating,65,46422,47754,
"      313 Pharmacists, dietitians and nutritionists",555,60029,64786,
        3131 Pharmacists,395,77864,74372,
        3132 Dietitians and nutritionists,160,32560,41146,
      314 Therapy and assessment professionals,730,49449,51446,
        3141 Audiologists and speech-language pathologists,120,73623,65362,
        3142 Physiotherapists,275,65441,58559,
        3143 Occupational therapists,135,51753,47474,
        3144 Other professional occupations in therapy and assessment,200,36480,35640,
    32 Technical occupations in health,4560,39541,43138,
      321 Medical technologists and technicians (except dental health),1705,40282,45183,
        3211 Medical laboratory technologists,170,71097,64254,
        3212 Medical laboratory technicians and pathologists' assistants,235,37773,38442,
        3213 Animal health technologists and veterinary technicians,290,32806,35099,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",110,68986,61073,
        3215 Medical radiation technologists,190,76803,70208,
        3216 Medical sonographers,80,70324,69627,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",30,0,56593,
        3219 Other medical technologists and technicians (except dental health),595,28857,32338,
      322 Technical occupations in dental health care,525,45574,46691,
        3221 Denturists,30,0,49738,
        3222 Dental hygienists and dental therapists,400,45682,44547,
"        3223 Dental technologists, technicians and laboratory assistants",95,42288,54795,
      323 Other technical occupations in health care,2330,36810,40841,
        3231 Opticians,120,51036,50866,
        3232 Practitioners of natural healing,95,14095,24583,
        3233 Licensed practical nurses,995,41903,39283,
        3234 Paramedical occupations,300,85153,80014,
        3236 Massage therapists,545,22762,27042,
        3237 Other technical occupations in therapy and assessment,270,30619,31669,
    34 Assisting occupations in support of health services,4620,31671,30998,
      341 Assisting occupations in support of health services,4620,31671,30998,
        3411 Dental assistants,440,34866,34247,
"        3413 Nurse aides, orderlies and patient service associates",3675,31291,30477,
        3414 Other assisting occupations in support of health services,505,31336,31933,
"  4 Occupations in education, law and social, community and government services",31795,44841,54120,
    40 Professional occupations in education services,13150,63913,63205,
      401 University professors and post-secondary assistants,4420,33111,60930,
        4011 University professors and lecturers,2120,109547,105955,
        4012 Post-secondary teaching and research assistants,2300,10106,19488,
      402 College and other vocational instructors,1105,55223,56099,
        4021 College and other vocational instructors,1105,55223,56099,
      403 Secondary and elementary school teachers and educational counsellors,7620,73436,65557,
        4031 Secondary school teachers,2400,84685,70794,
        4032 Elementary school and kindergarten teachers,4870,71173,63859,
        4033 Educational counsellors,350,55641,53106,
"    41 Professional occupations in law and social, community and government services",5960,56448,65380,
"      411 Judges, lawyers and Quebec notaries",730,92570,109362,
        4111 Judges,20,0,0,
        4112 Lawyers and Quebec notaries,710,91561,105033,
      415 Social and community service professionals,2440,52198,52234,
        4151 Psychologists,250,48044,58419,
        4152 Social workers,950,60855,58916,
"        4153 Family, marriage and other related counsellors",350,41669,38897,
        4154 Professional occupations in religion,615,47554,47596,
        4155 Probation and parole officers and related occupations,75,76000,71750,
        4156 Employment counsellors,200,44133,43002,
"      416 Policy and program researchers, consultants and officers",2785,56439,65362,
"        4161 Natural and applied science policy researchers, consultants and program officers",255,69204,69369,
        4162 Economists and economic policy researchers and analysts,145,70100,66247,
        4163 Business development officers and marketing researchers and consultants,1140,56959,66259,
"        4164 Social policy researchers, consultants and program officers",225,58601,57946,
"        4165 Health policy researchers, consultants and program officers",320,58791,105271,
"        4166 Education policy researchers, consultants and program officers",335,53290,52773,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",145,39734,47042,
        4168 Program officers unique to government,155,5862,28399,
"        4169 Other professional occupations in social science, n.e.c.",65,56580,57351,
"    42 Paraprofessional occupations in legal, social, community and education services",5700,32998,33778,
"      421 Paraprofessional occupations in legal, social, community and education services",5705,32998,33778,
        4211 Paralegal and related occupations,490,43586,47263,
        4212 Social and community service workers,2475,39527,39510,
        4214 Early childhood educators and assistants,2015,28899,27257,
        4215 Instructors of persons with disabilities,65,24797,29923,
        4216 Other instructors,495,11562,21474,
        4217 Other religious occupations,165,18139,26080,
    43 Occupations in front-line public protection services,1855,99836,93084,
      431 Occupations in front-line public protection services,1855,99836,93084,
        4311 Police officers (except commissioned),1125,101121,97302,
        4312 Firefighters,600,101672,98383,
        4313 Non-commissioned ranks of the Canadian Armed Forces,135,25107,34609,
"    44 Care providers and educational, legal and public protection support occupations",5120,21064,26191,
      441 Home care providers and educational support occupations,4610,18434,21550,
        4411 Home child care providers,1530,10519,13438,
"        4412 Home support workers, housekeepers and related occupations",1210,22392,25144,
        4413 Elementary and secondary school teacher assistants,1870,26959,25854,
      442 Legal and public protection support occupations,510,73284,68202,
        4421 Sheriffs and bailiffs,45,71029,51561,
        4422 Correctional service officers,305,80781,78776,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",160,52770,52439,
"  5 Occupations in art, culture, recreation and sport",7525,16478,31479,
    51 Professional occupations in art and culture,2590,21562,33086,
"      511 Librarians, archivists, conservators and curators",240,53677,51530,
        5111 Librarians,200,56068,53275,
        5112 Conservators and curators,30,0,50146,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",960,35236,41729,
        5121 Authors and writers,465,40171,46312,
        5122 Editors,175,35801,36438,
        5123 Journalists,145,34173,45501,
"        5125 Translators, terminologists and interpreters",170,20750,31330,
      513 Creative and performing artists,1395,15052,23992,
"        5131 Producers, directors, choreographers and related occupations",230,36769,49151,
"        5132 Conductors, composers and arrangers",60,15642,18672,
        5133 Musicians and singers,560,16891,22271,
        5134 Dancers,190,9075,16026,
        5135 Actors and comedians,125,6174,12414,
"        5136 Painters, sculptors and other visual artists",220,7290,17144,
"    52 Technical occupations in art, culture, recreation and sport",4935,14100,30636,
"      521 Technical occupations in libraries, public archives, museums and art galleries",235,26009,32059,
        5211 Library and public archive technicians,130,40549,41715,
        5212 Technical occupations related to museums and art galleries,105,18322,20531,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",685,15720,30000,
        5221 Photographers,305,8132,18542,
        5222 Film and video camera operators,80,10306,21730,
        5223 Graphic arts technicians,20,0,0,
        5224 Broadcast technicians,25,0,0,
        5225 Audio and video recording technicians,100,12602,26175,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",115,37682,48096,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",45,41534,39493,
"      523 Announcers and other performers, n.e.c.",200,15436,29037,
        5231 Announcers and other broadcasters,95,40208,48195,
"        5232 Other performers, n.e.c.",100,9646,10781,
      524 Creative designers and craftspersons,1500,31408,38875,
        5241 Graphic designers and illustrators,755,41133,47061,
        5242 Interior designers and interior decorators,380,27076,36777,
"        5243 Theatre, fashion, exhibit and other creative designers",140,19401,25837,
        5244 Artisans and craftspersons,210,19023,22032,
"        5245 Patternmakers - textile, leather and fur products",15,0,0,
"      525 Athletes, coaches, referees and related occupations",2315,7470,25469,
        5251 Athletes,10,0,0,
        5252 Coaches,140,33661,42365,
        5253 Sports officials and referees,95,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",2080,7160,11903,
  6 Sales and service occupations,65045,17583,26731,
    62 Retail sales supervisors and specialized sales occupations,7095,46203,57724,
      621 Retail sales supervisors,1075,28122,33938,
        6211 Retail sales supervisors,1075,28122,33938,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,2165,60123,67449,
        6221 Technical sales specialists - wholesale trade,1580,68285,76446,
        6222 Retail and wholesale buyers,585,36178,43214,
"      623 Insurance, real estate and financial sales occupations",3865,45615,58879,
        6231 Insurance agents and brokers,1525,49985,62072,
        6232 Real estate agents and salespersons,1515,35616,53893,
        6235 Financial sales representatives,820,46080,62139,
    63 Service supervisors and specialized service occupations,7705,20510,24152,
      631 Service supervisors,1615,30370,36154,
        6311 Food service supervisors,760,21977,24643,
        6312 Executive housekeepers,25,0,40033,
"        6313 Accommodation, travel, tourism and related services supervisors",60,32237,47309,
        6314 Customer and information services supervisors,300,46576,49169,
        6315 Cleaning supervisors,265,48840,51912,
        6316 Other services supervisors,200,31884,35693,
      632 Chefs and cooks,3640,16756,20472,
        6321 Chefs,845,29596,31373,
        6322 Cooks,2795,14105,17182,
      633 Butchers and bakers,815,20760,23043,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",155,29551,28595,
        6332 Bakers,660,19705,21744,
      634 Specialized occupations in personal and customer services,1640,17579,21061,
        6341 Hairstylists and barbers,1280,15881,18874,
"        6342 Tailors, dressmakers, furriers and milliners",185,20637,21154,
        6343 Shoe repairers and shoemakers,10,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",70,17645,26508,
        6345 Upholsterers,60,36210,37955,
        6346 Funeral directors and embalmers,40,49284,57057,
    64 Sales representatives and salespersons - wholesale and retail trade,12700,18519,30106,
      641 Sales and account representatives - wholesale trade (non-technical),2025,52412,61964,
        6411 Sales and account representatives - wholesale trade (non-technical),2030,52412,61964,
      642 Retail salespersons,10675,15388,24059,
        6421 Retail salespersons,10675,15388,24059,
    65 Service representatives and other customer and personal services occupations,12990,19129,25101,
      651 Occupations in food and beverage service,4215,9921,12047,
        6511 Maîtres d'hôtel and hosts/hostesses,640,5243,6941,
        6512 Bartenders,505,13321,14215,
        6513 Food and beverage servers,3070,10349,12755,
      652 Occupations in travel and accommodation,620,30742,30951,
        6521 Travel counsellors,285,32077,32674,
        6522 Pursers and flight attendants,115,46906,42979,
        6523 Airline ticket and service agents,80,32464,28511,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",20,0,0,
        6525 Hotel front desk clerks,130,16918,17274,
      653 Tourism and amusement services occupations,115,17518,24531,
        6531 Tour and travel guides,45,12243,15619,
        6532 Outdoor sport and recreational guides,10,0,0,
        6533 Casino occupations,60,34920,33269,
      654 Security guards and related security service occupations,1350,21398,26086,
        6541 Security guards and related security service occupations,1350,21398,26086,
      655 Customer and information services representatives,5445,33658,35603,
        6551 Customer services representatives - financial institutions,1200,29309,29625,
        6552 Other customer and information services representatives,4250,36354,37293,
      656 Other occupations in personal service,1240,15489,19415,
"        6561 Image, social and other personal consultants",40,14532,21312,
"        6562 Estheticians, electrologists and related occupations",800,16493,19862,
        6563 Pet groomers and animal care workers,370,14346,18860,
        6564 Other personal service occupations,30,0,0,
    66 Sales support occupations,8595,10274,14625,
      661 Cashiers,4905,8967,11132,
        6611 Cashiers,4910,8967,11132,
      662 Other sales support and related occupations,3690,13039,19275,
        6621 Service station attendants,160,16047,21576,
"        6622 Store shelf stockers, clerks and order fillers",3130,13443,18959,
        6623 Other sales related occupations,400,10082,20806,
"    67 Service support and other service occupations, n.e.c.",15950,13427,19355,
"      671 Food counter attendants, kitchen helpers and related support occupations",7345,9058,12553,
"        6711 Food counter attendants, kitchen helpers and related support occupations",7345,9058,12553,
"      672 Support occupations in accommodation, travel and amusement services",490,9894,17030,
"        6721 Support occupations in accommodation, travel and facilities set-up services",70,13815,23412,
"        6722 Operators and attendants in amusement, recreation and sport",420,9218,15963,
      673 Cleaners,7510,21427,26242,
        6731 Light duty cleaners,3290,15352,18007,
        6732 Specialized cleaners,715,25959,27707,
"        6733 Janitors, caretakers and building superintendents",3505,32339,33670,
"      674 Other service support and related occupations, n.e.c.",605,13234,18315,
"        6741 Dry cleaning, laundry and related occupations",220,24714,25063,
"        6742 Other service support occupations, n.e.c.",380,7316,14383,
"  7 Trades, transport and equipment operators and related occupations",40500,46119,48122,
"    72 Industrial, electrical and construction trades",14245,51459,53569,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",1535,63461,63790,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",400,72018,75479,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",265,74687,79761,
"        7203 Contractors and supervisors, pipefitting trades",80,92911,95735,
"        7204 Contractors and supervisors, carpentry trades",230,31301,40797,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",560,51855,52864,
"      723 Machining, metal forming, shaping and erecting trades",4695,55529,57561,
        7231 Machinists and machining and tooling inspectors,1410,55035,55110,
