"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Peterborough,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        3223 Dental technologists, technicians and laboratory assistants",0,0,0,
      323 Other technical occupations in health care,820,44704,44915,
        3231 Opticians,55,49808,42191,
        3232 Practitioners of natural healing,20,0,0,
        3233 Licensed practical nurses,425,45423,43620,
        3234 Paramedical occupations,130,84059,75874,
        3236 Massage therapists,95,21473,25559,
        3237 Other technical occupations in therapy and assessment,100,31164,34929,
    34 Assisting occupations in support of health services,1270,30528,29922,
      341 Assisting occupations in support of health services,1265,30528,29922,
        3411 Dental assistants,115,30034,29105,
"        3413 Nurse aides, orderlies and patient service associates",985,30454,29865,
        3414 Other assisting occupations in support of health services,165,32703,30819,
"  4 Occupations in education, law and social, community and government services",8255,46248,54364,
    40 Professional occupations in education services,3075,72110,68059,
      401 University professors and post-secondary assistants,610,38766,70742,
        4011 University professors and lecturers,330,129249,114170,
        4012 Post-secondary teaching and research assistants,290,12417,20968,
      402 College and other vocational instructors,415,61390,60647,
        4021 College and other vocational instructors,415,61390,60647,
      403 Secondary and elementary school teachers and educational counsellors,2055,78013,68755,
        4031 Secondary school teachers,705,84930,73315,
        4032 Elementary school and kindergarten teachers,1235,75727,66929,
        4033 Educational counsellors,110,51108,59857,
"    41 Professional occupations in law and social, community and government services",1625,57389,58919,
"      411 Judges, lawyers and Quebec notaries",170,91070,97140,
        4111 Judges,0,0,0,
        4112 Lawyers and Quebec notaries,160,86987,91633,
      415 Social and community service professionals,755,52196,52354,
        4151 Psychologists,55,49479,54209,
        4152 Social workers,280,63317,62341,
"        4153 Family, marriage and other related counsellors",90,50486,47534,
        4154 Professional occupations in religion,220,37180,42314,
        4155 Probation and parole officers and related occupations,40,68531,62318,
        4156 Employment counsellors,75,45555,43372,
"      416 Policy and program researchers, consultants and officers",700,60204,56695,
"        4161 Natural and applied science policy researchers, consultants and program officers",205,84052,75950,
        4162 Economists and economic policy researchers and analysts,20,0,0,
        4163 Business development officers and marketing researchers and consultants,135,44891,45664,
"        4164 Social policy researchers, consultants and program officers",75,67051,66196,
