"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Regina,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      521 Technical occupations in libraries, public archives, museums and art galleries",135,39299,34508,
        5211 Library and public archive technicians,60,43687,38166,
        5212 Technical occupations related to museums and art galleries,75,23358,31242,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",315,31373,35959,
        5221 Photographers,105,9741,25130,
        5222 Film and video camera operators,45,71681,50802,
        5223 Graphic arts technicians,15,0,0,
        5224 Broadcast technicians,15,0,0,
        5225 Audio and video recording technicians,30,35185,34589,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",70,34224,44381,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",35,16090,17302,
"      523 Announcers and other performers, n.e.c.",110,48084,53592,
        5231 Announcers and other broadcasters,85,63345,64488,
"        5232 Other performers, n.e.c.",30,0,0,
      524 Creative designers and craftspersons,520,36558,35036,
        5241 Graphic designers and illustrators,270,46431,43118,
        5242 Interior designers and interior decorators,110,30230,30610,
"        5243 Theatre, fashion, exhibit and other creative designers",55,22391,29361,
        5244 Artisans and craftspersons,85,9614,18699,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",975,12333,25289,
        5251 Athletes,25,0,0,
        5252 Coaches,70,51755,71730,
        5253 Sports officials and referees,55,0,0,
