"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Greater Sudbury / Grand Sudbury,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4214 Early childhood educators and assistants,780,27058,27439,
        4215 Instructors of persons with disabilities,30,0,0,
        4216 Other instructors,110,8623,24035,
        4217 Other religious occupations,25,23472,29551,
    43 Occupations in front-line public protection services,580,103537,93308,
      431 Occupations in front-line public protection services,580,103537,93308,
        4311 Police officers (except commissioned),365,104080,97637,
        4312 Firefighters,165,109080,95849,
        4313 Non-commissioned ranks of the Canadian Armed Forces,50,59706,50147,
"    44 Care providers and educational, legal and public protection support occupations",1565,18383,25495,
      441 Home care providers and educational support occupations,1410,15482,21753,
        4411 Home child care providers,240,9251,11763,
"        4412 Home support workers, housekeepers and related occupations",560,18034,23111,
        4413 Elementary and secondary school teacher assistants,610,19687,24381,
      442 Legal and public protection support occupations,150,57807,59571,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,85,70534,64042,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",60,55910,52216,
"  5 Occupations in art, culture, recreation and sport",1680,17160,26383,
    51 Professional occupations in art and culture,575,19355,33603,
"      511 Librarians, archivists, conservators and curators",35,75927,81459,
        5111 Librarians,35,76180,89159,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",180,39285,38355,
        5121 Authors and writers,65,36116,30725,
        5122 Editors,30,0,0,
        5123 Journalists,50,49367,49499,
"        5125 Translators, terminologists and interpreters",25,0,0,
      513 Creative and performing artists,365,9966,26514,
"        5131 Producers, directors, choreographers and related occupations",90,56613,50451,
"        5132 Conductors, composers and arrangers",15,0,0,
        5133 Musicians and singers,85,9250,12615,
        5134 Dancers,50,3707,6498,
        5135 Actors and comedians,70,0,0,
"        5136 Painters, sculptors and other visual artists",45,12782,19734,
"    52 Technical occupations in art, culture, recreation and sport",1095,16233,22576,
"      521 Technical occupations in libraries, public archives, museums and art galleries",140,15558,22785,
        5211 Library and public archive technicians,50,41333,38761,
        5212 Technical occupations related to museums and art galleries,85,11479,13391,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",185,22543,28153,
        5221 Photographers,60,0,0,
        5222 Film and video camera operators,15,0,0,
        5223 Graphic arts technicians,0,0,0,
        5224 Broadcast technicians,15,0,0,
        5225 Audio and video recording technicians,0,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",40,22909,36138,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",45,21515,21336,
"      523 Announcers and other performers, n.e.c.",45,0,0,
        5231 Announcers and other broadcasters,30,0,0,
"        5232 Other performers, n.e.c.",15,0,0,
      524 Creative designers and craftspersons,215,20368,27247,
        5241 Graphic designers and illustrators,110,32945,32569,
        5242 Interior designers and interior decorators,40,20431,28901,
"        5243 Theatre, fashion, exhibit and other creative designers",35,0,0,
        5244 Artisans and craftspersons,35,0,0,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",520,12818,18534,
        5251 Athletes,0,0,0,
        5252 Coaches,20,0,0,
        5253 Sports officials and referees,10,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",490,12724,17672,
  6 Sales and service occupations,20300,16969,24465,
    62 Retail sales supervisors and specialized sales occupations,1535,44397,57974,
      621 Retail sales supervisors,290,31215,33082,
        6211 Retail sales supervisors,290,31215,33082,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,560,57244,70913,
        6221 Technical sales specialists - wholesale trade,425,69373,85537,
        6222 Retail and wholesale buyers,130,22310,22558,
"      623 Insurance, real estate and financial sales occupations",690,41936,57857,
        6231 Insurance agents and brokers,250,46892,70391,
        6232 Real estate agents and salespersons,225,37591,49691,
        6235 Financial sales representatives,220,41778,52138,
    63 Service supervisors and specialized service occupations,2540,18787,23030,
      631 Service supervisors,445,25754,31685,
        6311 Food service supervisors,260,20268,27126,
        6312 Executive housekeepers,30,0,40135,
"        6313 Accommodation, travel, tourism and related services supervisors",20,0,0,
        6314 Customer and information services supervisors,25,0,49236,
        6315 Cleaning supervisors,50,23016,30942,
        6316 Other services supervisors,60,42042,38758,
      632 Chefs and cooks,1210,17518,19102,
        6321 Chefs,130,24996,25887,
        6322 Cooks,1075,15968,18259,
      633 Butchers and bakers,335,19590,21059,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",90,31191,28638,
        6332 Bakers,245,18050,18253,
      634 Specialized occupations in personal and customer services,555,16821,25858,
        6341 Hairstylists and barbers,425,15833,19736,
"        6342 Tailors, dressmakers, furriers and milliners",45,16135,16430,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",35,19638,20829,
        6345 Upholsterers,10,0,0,
        6346 Funeral directors and embalmers,30,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,3700,16879,26260,
      641 Sales and account representatives - wholesale trade (non-technical),335,54651,52796,
        6411 Sales and account representatives - wholesale trade (non-technical),340,54651,52796,
      642 Retail salespersons,3360,15259,23600,
        6421 Retail salespersons,3365,15259,23600,
    65 Service representatives and other customer and personal services occupations,3795,17510,23058,
      651 Occupations in food and beverage service,1220,9533,10662,
        6511 Maîtres d'hôtel and hosts/hostesses,105,6380,7827,
        6512 Bartenders,225,12173,11657,
        6513 Food and beverage servers,890,9532,10743,
      652 Occupations in travel and accommodation,210,22951,21779,
        6521 Travel counsellors,65,23092,24172,
        6522 Pursers and flight attendants,0,0,0,
        6523 Airline ticket and service agents,20,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",15,0,0,
        6525 Hotel front desk clerks,110,20794,18506,
      653 Tourism and amusement services occupations,90,23911,27032,
        6531 Tour and travel guides,20,0,0,
        6532 Outdoor sport and recreational guides,10,0,0,
        6533 Casino occupations,70,33939,33323,
      654 Security guards and related security service occupations,415,29143,33727,
        6541 Security guards and related security service occupations,415,29143,33727,
      655 Customer and information services representatives,1500,30362,31282,
        6551 Customer services representatives - financial institutions,290,22345,23154,
        6552 Other customer and information services representatives,1215,32378,33235,
      656 Other occupations in personal service,355,14737,17988,
"        6561 Image, social and other personal consultants",10,0,0,
"        6562 Estheticians, electrologists and related occupations",210,16714,18386,
        6563 Pet groomers and animal care workers,130,14427,15467,
        6564 Other personal service occupations,0,0,0,
    66 Sales support occupations,3135,9906,14366,
      661 Cashiers,1890,8845,11965,
        6611 Cashiers,1895,8845,11965,
      662 Other sales support and related occupations,1245,11981,18020,
        6621 Service station attendants,140,10972,13215,
"        6622 Store shelf stockers, clerks and order fillers",910,12934,16767,
        6623 Other sales related occupations,195,9450,27168,
"    67 Service support and other service occupations, n.e.c.",5595,16313,21351,
"      671 Food counter attendants, kitchen helpers and related support occupations",2330,11207,14294,
"        6711 Food counter attendants, kitchen helpers and related support occupations",2330,11207,14294,
"      672 Support occupations in accommodation, travel and amusement services",195,13185,23635,
"        6721 Support occupations in accommodation, travel and facilities set-up services",15,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",175,11361,24239,
      673 Cleaners,2810,22794,26715,
        6731 Light duty cleaners,1155,17405,20810,
        6732 Specialized cleaners,295,23944,27086,
"        6733 Janitors, caretakers and building superintendents",1355,29195,31678,
"      674 Other service support and related occupations, n.e.c.",265,22080,24949,
"        6741 Dry cleaning, laundry and related occupations",150,30728,26952,
"        6742 Other service support occupations, n.e.c.",120,10898,22387,
"  7 Trades, transport and equipment operators and related occupations",14220,52996,56460,
"    72 Industrial, electrical and construction trades",4240,59354,63786,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",505,69565,78494,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",145,72579,94321,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",85,115782,113223,
"        7203 Contractors and supervisors, pipefitting trades",40,118875,113731,
"        7204 Contractors and supervisors, carpentry trades",90,53970,52126,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",145,42131,49299,
"      723 Machining, metal forming, shaping and erecting trades",1180,67693,71570,
        7231 Machinists and machining and tooling inspectors,260,69278,66961,
        7232 Tool and die makers,10,0,0,
        7233 Sheet metal workers,95,55052,61389,
        7234 Boilermakers,25,0,77136,
