"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ontario [1],,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        3113 Dentists,7955,90397,113188,
        3114 Veterinarians,3645,69879,75417,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",11835,63317,68597,
        3121 Optometrists,2070,73088,84864,
        3122 Chiropractors,3640,49202,57098,
        3124 Allied primary health practitioners,4175,89267,80516,
        3125 Other professional occupations in health diagnosing and treating,1950,36296,47346,
"      313 Pharmacists, dietitians and nutritionists",17605,74288,74965,
        3131 Pharmacists,13205,87452,83144,
        3132 Dietitians and nutritionists,4400,51486,50404,
      314 Therapy and assessment professionals,21685,55514,55623,
        3141 Audiologists and speech-language pathologists,3780,68553,66154,
        3142 Physiotherapists,8625,61459,59236,
        3143 Occupational therapists,5115,62746,58824,
        3144 Other professional occupations in therapy and assessment,4165,33133,34649,
    32 Technical occupations in health,122770,43331,46251,
      321 Medical technologists and technicians (except dental health),53290,44079,47904,
        3211 Medical laboratory technologists,7420,73678,66586,
        3212 Medical laboratory technicians and pathologists' assistants,8065,40708,40802,
        3213 Animal health technologists and veterinary technicians,5965,29354,29728,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",3295,76382,71425,
