"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Belleville,,,,
Global non-response rate (GNR) =   4.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2224 Conservation and fishery officers,25,0,0,
        2225 Landscape and horticulture technicians and specialists,55,23648,22440,
"      223 Technical occupations in civil, mechanical and industrial engineering",290,64308,64616,
        2231 Civil engineering technologists and technicians,50,57789,60414,
        2232 Mechanical engineering technologists and technicians,55,66403,71479,
        2233 Industrial engineering and manufacturing technologists and technicians,150,65608,58514,
        2234 Construction estimators,40,72451,84354,
      224 Technical occupations in electronics and electrical engineering,520,57563,53545,
        2241 Electrical and electronics engineering technologists and technicians,185,59633,61084,
        2242 Electronic service technicians (household and business equipment),140,29999,32373,
        2243 Industrial instrument technicians and mechanics,10,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",190,67067,62016,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",100,32864,34258,
        2251 Architectural technologists and technicians,15,0,0,
        2252 Industrial designers,10,0,0,
        2253 Drafting technologists and technicians,55,19653,30269,
        2254 Land survey technologists and technicians,0,0,0,
        2255 Technical occupations in geomatics and meteorology,15,0,0,
      226 Other technical inspectors and regulatory officers,155,56449,57128,
        2261 Non-destructive testers and inspection technicians,10,0,0,
        2262 Engineering inspectors and regulatory officers,15,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,75,53016,58118,
        2264 Construction inspectors,55,56505,51621,
      227 Transportation officers and controllers,105,81457,97592,
"        2271 Air pilots, flight engineers and flying instructors",40,126054,131716,
        2272 Air traffic controllers and related occupations,45,75170,72888,
"        2273 Deck officers, water transport",15,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,300,33999,44807,
        2281 Computer network technicians,130,59008,49127,
        2282 User support technicians,145,27528,38269,
        2283 Information systems testing technicians,20,0,0,
  3 Health occupations,3625,43328,51498,
    30 Professional occupations in nursing,965,69205,65341,
      301 Professional occupations in nursing,970,69205,65341,
        3011 Nursing co-ordinators and supervisors,65,63627,58663,
        3012 Registered nurses and registered psychiatric nurses,905,69391,65798,
    31 Professional occupations in health (except nursing),445,68770,82159,
"      311 Physicians, dentists and veterinarians",195,80015,98708,
        3111 Specialist physicians,65,89908,109898,
        3112 General practitioners and family physicians,100,68663,96091,
        3113 Dentists,20,0,108531,
        3114 Veterinarians,10,0,0,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",35,50662,68366,
        3121 Optometrists,15,0,0,
        3122 Chiropractors,0,0,0,
        3124 Allied primary health practitioners,15,0,0,
        3125 Other professional occupations in health diagnosing and treating,0,0,0,
"      313 Pharmacists, dietitians and nutritionists",80,94080,91573,
        3131 Pharmacists,65,107921,99001,
        3132 Dietitians and nutritionists,15,0,0,
      314 Therapy and assessment professionals,130,46539,55111,
        3141 Audiologists and speech-language pathologists,10,0,0,
        3142 Physiotherapists,50,52651,60049,
        3143 Occupational therapists,35,69465,65868,
        3144 Other professional occupations in therapy and assessment,35,38240,37862,
    32 Technical occupations in health,1050,43784,45842,
      321 Medical technologists and technicians (except dental health),395,39251,46091,
        3211 Medical laboratory technologists,50,64447,63205,
        3212 Medical laboratory technicians and pathologists' assistants,40,35543,34386,
        3213 Animal health technologists and veterinary technicians,40,27873,25562,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",25,0,72738,
        3215 Medical radiation technologists,45,79252,70150,
        3216 Medical sonographers,25,87198,69396,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",10,0,0,
        3219 Other medical technologists and technicians (except dental health),160,27888,33543,
      322 Technical occupations in dental health care,110,54313,46981,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,95,53197,47807,
"        3223 Dental technologists, technicians and laboratory assistants",10,0,0,
      323 Other technical occupations in health care,535,44145,45420,
        3231 Opticians,15,0,0,
        3232 Practitioners of natural healing,30,0,0,
        3233 Licensed practical nurses,250,41404,39775,
        3234 Paramedical occupations,145,76956,70493,
        3236 Massage therapists,45,16490,18845,
        3237 Other technical occupations in therapy and assessment,50,29049,39227,
    34 Assisting occupations in support of health services,1165,31381,33364,
      341 Assisting occupations in support of health services,1165,31381,33364,
        3411 Dental assistants,175,32517,35256,
"        3413 Nurse aides, orderlies and patient service associates",935,31256,32934,
        3414 Other assisting occupations in support of health services,55,38605,34558,
"  4 Occupations in education, law and social, community and government services",7345,53287,53832,
    40 Professional occupations in education services,1775,68932,61965,
      401 University professors and post-secondary assistants,105,19828,32312,
        4011 University professors and lecturers,15,0,0,
        4012 Post-secondary teaching and research assistants,90,17981,21370,
      402 College and other vocational instructors,235,64884,57022,
        4021 College and other vocational instructors,235,64884,57022,
      403 Secondary and elementary school teachers and educational counsellors,1440,74889,64886,
        4031 Secondary school teachers,515,82422,68907,
        4032 Elementary school and kindergarten teachers,870,71645,63143,
        4033 Educational counsellors,50,50062,54339,
