"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Moncton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        5223 Graphic arts technicians,20,0,0,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,35,32412,34046,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",30,47126,40426,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",20,0,0,
"      523 Announcers and other performers, n.e.c.",35,32008,24723,
        5231 Announcers and other broadcasters,25,0,0,
"        5232 Other performers, n.e.c.",15,0,0,
      524 Creative designers and craftspersons,315,35529,32049,
        5241 Graphic designers and illustrators,195,38448,36682,
        5242 Interior designers and interior decorators,60,18001,21695,
"        5243 Theatre, fashion, exhibit and other creative designers",30,0,0,
        5244 Artisans and craftspersons,30,0,0,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",550,7002,12712,
        5251 Athletes,10,0,0,
        5252 Coaches,35,43886,36339,
        5253 Sports officials and referees,10,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",495,6647,10602,
  6 Sales and service occupations,23015,20202,25276,
    62 Retail sales supervisors and specialized sales occupations,2035,43025,50373,
      621 Retail sales supervisors,430,25256,30287,
        6211 Retail sales supervisors,425,25256,30287,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,535,56666,66885,
        6221 Technical sales specialists - wholesale trade,410,67520,78921,
        6222 Retail and wholesale buyers,125,22689,26930,
"      623 Insurance, real estate and financial sales occupations",1075,43930,50170,
        6231 Insurance agents and brokers,410,44521,53780,
        6232 Real estate agents and salespersons,150,45779,53811,
        6235 Financial sales representatives,515,43538,46253,
    63 Service supervisors and specialized service occupations,2635,21152,24014,
      631 Service supervisors,640,27920,31839,
        6311 Food service supervisors,310,21093,25033,
        6312 Executive housekeepers,15,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",25,0,36263,
        6314 Customer and information services supervisors,175,40558,41223,
        6315 Cleaning supervisors,60,30064,40288,
        6316 Other services supervisors,60,23398,28110,
      632 Chefs and cooks,1100,20438,21492,
        6321 Chefs,145,33799,32459,
        6322 Cooks,950,19869,19825,
      633 Butchers and bakers,250,24648,24675,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",40,36645,36946,
        6332 Bakers,215,20310,22370,
      634 Specialized occupations in personal and customer services,650,16573,20258,
        6341 Hairstylists and barbers,530,15944,18493,
"        6342 Tailors, dressmakers, furriers and milliners",45,9126,12897,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",25,0,0,
        6345 Upholsterers,15,0,0,
        6346 Funeral directors and embalmers,35,51272,49681,
    64 Sales representatives and salespersons - wholesale and retail trade,4200,20060,28844,
      641 Sales and account representatives - wholesale trade (non-technical),585,49431,52171,
        6411 Sales and account representatives - wholesale trade (non-technical),590,49431,52171,
      642 Retail salespersons,3610,17896,25041,
        6421 Retail salespersons,3610,17896,25041,
    65 Service representatives and other customer and personal services occupations,6250,24511,26255,
      651 Occupations in food and beverage service,1165,12699,13740,
        6511 Maîtres d'hôtel and hosts/hostesses,125,6941,11164,
        6512 Bartenders,185,16768,15644,
        6513 Food and beverage servers,855,12719,13714,
      652 Occupations in travel and accommodation,470,29999,30751,
        6521 Travel counsellors,115,29097,27173,
        6522 Pursers and flight attendants,50,42936,41656,
        6523 Airline ticket and service agents,70,36025,37034,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",55,46684,44277,
        6525 Hotel front desk clerks,190,24478,24184,
      653 Tourism and amusement services occupations,110,34780,37784,
        6531 Tour and travel guides,25,0,0,
        6532 Outdoor sport and recreational guides,0,0,0,
        6533 Casino occupations,85,35782,43436,
      654 Security guards and related security service occupations,490,24307,28448,
        6541 Security guards and related security service occupations,485,24307,28448,
      655 Customer and information services representatives,3610,29987,29754,
        6551 Customer services representatives - financial institutions,535,34677,33107,
        6552 Other customer and information services representatives,3075,29458,29172,
      656 Other occupations in personal service,395,15913,20059,
"        6561 Image, social and other personal consultants",15,0,0,
"        6562 Estheticians, electrologists and related occupations",270,15079,18004,
        6563 Pet groomers and animal care workers,95,12973,20829,
        6564 Other personal service occupations,15,0,0,
    66 Sales support occupations,3240,11827,14668,
      661 Cashiers,2065,9828,11998,
        6611 Cashiers,2065,9828,11998,
      662 Other sales support and related occupations,1175,16774,19370,
        6621 Service station attendants,75,13672,19644,
"        6622 Store shelf stockers, clerks and order fillers",885,17649,19283,
        6623 Other sales related occupations,210,15242,19637,
"    67 Service support and other service occupations, n.e.c.",4660,15382,17864,
"      671 Food counter attendants, kitchen helpers and related support occupations",1910,10946,13266,
"        6711 Food counter attendants, kitchen helpers and related support occupations",1910,10946,13266,
"      672 Support occupations in accommodation, travel and amusement services",180,8932,16490,
"        6721 Support occupations in accommodation, travel and facilities set-up services",25,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",165,4604,15125,
      673 Cleaners,2330,21002,21626,
        6731 Light duty cleaners,1130,17695,17394,
        6732 Specialized cleaners,190,21726,20005,
"        6733 Janitors, caretakers and building superintendents",1010,25436,26682,
"      674 Other service support and related occupations, n.e.c.",235,20473,19103,
"        6741 Dry cleaning, laundry and related occupations",130,24973,22274,
"        6742 Other service support occupations, n.e.c.",110,9146,15402,
"  7 Trades, transport and equipment operators and related occupations",10395,36930,40611,
"    72 Industrial, electrical and construction trades",2880,36481,41628,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",335,51560,55120,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",70,74014,79942,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",65,59967,62193,
"        7203 Contractors and supervisors, pipefitting trades",30,36289,48982,
"        7204 Contractors and supervisors, carpentry trades",55,41901,48594,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",110,39915,40421,
"      723 Machining, metal forming, shaping and erecting trades",510,44054,47982,
        7231 Machinists and machining and tooling inspectors,140,44257,44767,
        7232 Tool and die makers,0,0,0,
        7233 Sheet metal workers,70,35922,37393,
        7234 Boilermakers,15,0,0,
        7235 Structural metal and platework fabricators and fitters,35,37774,42801,
        7236 Ironworkers,35,59859,61323,
        7237 Welders and related machine operators,220,42978,48725,
      724 Electrical trades and electrical power line and telecommunications workers,665,46366,49761,
        7241 Electricians (except industrial and power system),300,33360,40483,
        7242 Industrial electricians,80,58130,58680,
