"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = St. John's,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      227 Transportation officers and controllers,790,101066,113552,
"        2271 Air pilots, flight engineers and flying instructors",165,90779,105773,
        2272 Air traffic controllers and related occupations,50,70121,83219,
"        2273 Deck officers, water transport",350,111522,120790,
"        2274 Engineer officers, water transport",225,108549,114115,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,880,63332,63516,
        2281 Computer network technicians,565,64015,64940,
        2282 User support technicians,290,61873,61466,
        2283 Information systems testing technicians,25,0,0,
  3 Health occupations,9410,62420,71470,
    30 Professional occupations in nursing,3050,78652,69326,
      301 Professional occupations in nursing,3050,78652,69326,
        3011 Nursing co-ordinators and supervisors,145,83919,73881,
        3012 Registered nurses and registered psychiatric nurses,2905,78151,69099,
    31 Professional occupations in health (except nursing),2200,88652,125512,
"      311 Physicians, dentists and veterinarians",1115,150532,180302,
        3111 Specialist physicians,465,185519,217794,
        3112 General practitioners and family physicians,470,127407,148335,
        3113 Dentists,140,173396,181454,
        3114 Veterinarians,40,106736,116162,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",135,73615,79329,
        3121 Optometrists,20,0,0,
        3122 Chiropractors,45,80567,85893,
        3124 Allied primary health practitioners,50,87225,90195,
        3125 Other professional occupations in health diagnosing and treating,20,0,0,
"      313 Pharmacists, dietitians and nutritionists",440,78075,72784,
        3131 Pharmacists,350,83224,76624,
        3132 Dietitians and nutritionists,90,62646,57672,
      314 Therapy and assessment professionals,510,67914,63079,
        3141 Audiologists and speech-language pathologists,100,86472,74811,
        3142 Physiotherapists,175,72072,73477,
        3143 Occupational therapists,120,74833,67735,
        3144 Other professional occupations in therapy and assessment,110,15878,30858,
    32 Technical occupations in health,2620,52611,52862,
      321 Medical technologists and technicians (except dental health),1210,48569,49412,
        3211 Medical laboratory technologists,190,66068,60490,
        3212 Medical laboratory technicians and pathologists' assistants,230,42723,42170,
        3213 Animal health technologists and veterinary technicians,110,32467,35717,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",105,67481,64838,
        3215 Medical radiation technologists,180,76077,70218,
        3216 Medical sonographers,35,77065,87494,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",30,66087,67173,
        3219 Other medical technologists and technicians (except dental health),340,32835,31350,
      322 Technical occupations in dental health care,155,78508,76514,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,135,79822,81650,
"        3223 Dental technologists, technicians and laboratory assistants",10,0,0,
      323 Other technical occupations in health care,1250,52008,53192,
        3231 Opticians,60,43448,43814,
        3232 Practitioners of natural healing,40,0,0,
        3233 Licensed practical nurses,695,62984,56559,
        3234 Paramedical occupations,185,66276,65373,
        3236 Massage therapists,185,31446,30196,
        3237 Other technical occupations in therapy and assessment,80,40244,67500,
    34 Assisting occupations in support of health services,1545,29526,30337,
      341 Assisting occupations in support of health services,1545,29526,30337,
        3411 Dental assistants,145,37215,35287,
"        3413 Nurse aides, orderlies and patient service associates",1190,26979,29232,
        3414 Other assisting occupations in support of health services,210,34493,33159,
"  4 Occupations in education, law and social, community and government services",15125,49575,56761,
    40 Professional occupations in education services,5485,68864,65416,
      401 University professors and post-secondary assistants,1955,60901,69291,
        4011 University professors and lecturers,1115,103187,107130,
        4012 Post-secondary teaching and research assistants,835,7873,18655,
      402 College and other vocational instructors,660,61350,62685,
        4021 College and other vocational instructors,655,61350,62685,
      403 Secondary and elementary school teachers and educational counsellors,2875,69385,63407,
        4031 Secondary school teachers,945,69361,64351,
        4032 Elementary school and kindergarten teachers,1755,69476,62746,
        4033 Educational counsellors,175,67898,64919,
"    41 Professional occupations in law and social, community and government services",3485,71803,78824,
"      411 Judges, lawyers and Quebec notaries",615,131844,144181,
        4111 Judges,35,306151,273646,
        4112 Lawyers and Quebec notaries,580,127977,136867,
      415 Social and community service professionals,1205,66255,61176,
        4151 Psychologists,150,77272,70906,
        4152 Social workers,645,73843,65116,
"        4153 Family, marriage and other related counsellors",140,55877,53265,
        4154 Professional occupations in religion,140,44093,41929,
        4155 Probation and parole officers and related occupations,25,0,0,
        4156 Employment counsellors,105,62534,58942,
"      416 Policy and program researchers, consultants and officers",1670,68960,67484,
"        4161 Natural and applied science policy researchers, consultants and program officers",270,77688,80741,
        4162 Economists and economic policy researchers and analysts,100,88897,90273,
        4163 Business development officers and marketing researchers and consultants,370,60093,61890,
"        4164 Social policy researchers, consultants and program officers",255,68854,64555,
"        4165 Health policy researchers, consultants and program officers",190,67780,66917,
"        4166 Education policy researchers, consultants and program officers",215,78963,71725,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",60,46805,51037,
        4168 Program officers unique to government,160,55252,48844,
"        4169 Other professional occupations in social science, n.e.c.",50,69577,67942,
"    42 Paraprofessional occupations in legal, social, community and education services",2210,28073,30348,
"      421 Paraprofessional occupations in legal, social, community and education services",2210,28073,30348,
        4211 Paralegal and related occupations,140,31126,32344,
        4212 Social and community service workers,905,37313,37056,
        4214 Early childhood educators and assistants,925,23351,22502,
        4215 Instructors of persons with disabilities,55,29608,31170,
        4216 Other instructors,145,20598,34896,
        4217 Other religious occupations,40,0,0,
    43 Occupations in front-line public protection services,1055,87773,81702,
      431 Occupations in front-line public protection services,1055,87773,81702,
        4311 Police officers (except commissioned),535,96377,91403,
        4312 Firefighters,290,89065,95582,
        4313 Non-commissioned ranks of the Canadian Armed Forces,230,41324,41476,
"    44 Care providers and educational, legal and public protection support occupations",2885,20821,24769,
      441 Home care providers and educational support occupations,2570,17762,19913,
        4411 Home child care providers,665,13013,14592,
"        4412 Home support workers, housekeepers and related occupations",1505,20336,21886,
        4413 Elementary and secondary school teacher assistants,400,22115,21336,
      442 Legal and public protection support occupations,320,65720,63807,
        4421 Sheriffs and bailiffs,40,55982,58452,
        4422 Correctional service officers,190,75226,71386,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",90,56109,50604,
"  5 Occupations in art, culture, recreation and sport",3490,15199,25768,
    51 Professional occupations in art and culture,1215,21298,32477,
"      511 Librarians, archivists, conservators and curators",135,63410,65566,
        5111 Librarians,90,66529,72710,
        5112 Conservators and curators,15,0,0,
        5113 Archivists,25,0,62100,
"      512 Writing, translating and related communications professionals",295,33236,34766,
        5121 Authors and writers,115,25109,34158,
        5122 Editors,65,42958,35525,
        5123 Journalists,70,36135,37013,
"        5125 Translators, terminologists and interpreters",45,33069,31795,
      513 Creative and performing artists,790,15273,25938,
"        5131 Producers, directors, choreographers and related occupations",135,60424,59898,
"        5132 Conductors, composers and arrangers",20,0,0,
        5133 Musicians and singers,360,15234,20957,
        5134 Dancers,70,14913,17454,
        5135 Actors and comedians,100,5168,8497,
"        5136 Painters, sculptors and other visual artists",105,8535,18183,
"    52 Technical occupations in art, culture, recreation and sport",2270,13097,22164,
"      521 Technical occupations in libraries, public archives, museums and art galleries",135,31526,30584,
        5211 Library and public archive technicians,70,41967,38874,
        5212 Technical occupations related to museums and art galleries,60,9967,20488,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",310,30308,39430,
