"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Winnipeg,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        2148 Other professional engineers, n.e.c.",70,68075,64401,
"      215 Architects, urban planners and land surveyors",875,62964,73802,
        2151 Architects,380,66589,75687,
        2152 Landscape architects,80,43041,48804,
        2153 Urban and land use planners,225,63279,72051,
        2154 Land surveyors,190,65748,81985,
"      216 Mathematicians, statisticians and actuaries",325,70218,73292,
"        2161 Mathematicians, statisticians and actuaries",325,70218,73292,
      217 Computer and information systems professionals,6585,69992,69042,
        2171 Information systems analysts and consultants,2955,74023,74171,
        2172 Database analysts and data administrators,435,62101,65474,
        2173 Software engineers and designers,560,77415,74294,
        2174 Computer programmers and interactive media developers,2200,68355,67103,
        2175 Web designers and developers,435,41632,41096,
    22 Technical occupations related to natural and applied sciences,13175,54349,59762,
      221 Technical occupations in physical sciences,600,47679,52712,
        2211 Chemical technologists and technicians,505,44732,45426,
        2212 Geological and mineral technologists and technicians,100,53248,90662,
      222 Technical occupations in life sciences,820,42840,44203,
        2221 Biological technologists and technicians,360,47062,48318,
        2222 Agricultural and fish products inspectors,110,51161,58981,
        2223 Forestry technologists and technicians,50,37793,37820,
        2224 Conservation and fishery officers,40,61606,57503,
        2225 Landscape and horticulture technicians and specialists,265,28576,31874,
"      223 Technical occupations in civil, mechanical and industrial engineering",2275,59864,61779,
        2231 Civil engineering technologists and technicians,700,57843,57804,
        2232 Mechanical engineering technologists and technicians,450,56954,55553,
        2233 Industrial engineering and manufacturing technologists and technicians,585,60633,59534,
        2234 Construction estimators,540,68777,74488,
      224 Technical occupations in electronics and electrical engineering,2950,51905,59889,
        2241 Electrical and electronics engineering technologists and technicians,1010,61141,79951,
        2242 Electronic service technicians (household and business equipment),1535,45130,45225,
        2243 Industrial instrument technicians and mechanics,95,73891,71993,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",305,67870,63731,
