"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Canada [1],,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        4161 Natural and applied science policy researchers, consultants and program officers",27035,71515,73977,
        4162 Economists and economic policy researchers and analysts,18595,79348,95672,
        4163 Business development officers and marketing researchers and consultants,64170,53812,66565,
"        4164 Social policy researchers, consultants and program officers",33860,61759,61756,
"        4165 Health policy researchers, consultants and program officers",33475,61344,63910,
"        4166 Education policy researchers, consultants and program officers",24165,58194,57621,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",10850,42477,45198,
        4168 Program officers unique to government,22215,50946,50747,
"        4169 Other professional occupations in social science, n.e.c.",6260,48651,51223,
"    42 Paraprofessional occupations in legal, social, community and education services",438670,29432,31829,
"      421 Paraprofessional occupations in legal, social, community and education services",438670,29432,31829,
        4211 Paralegal and related occupations,29255,46555,49046,
        4212 Social and community service workers,147310,37755,38503,
        4214 Early childhood educators and assistants,202765,24613,25367,
        4215 Instructors of persons with disabilities,21645,39412,38926,
        4216 Other instructors,29385,11630,21442,
        4217 Other religious occupations,8315,22587,28854,
    43 Occupations in front-line public protection services,160110,87573,83686,
      431 Occupations in front-line public protection services,160110,87573,83686,
        4311 Police officers (except commissioned),78680,99419,95614,
        4312 Firefighters,33735,96989,90736,
        4313 Non-commissioned ranks of the Canadian Armed Forces,47695,64048,59020,
"    44 Care providers and educational, legal and public protection support occupations",352665,22085,26641,
      441 Home care providers and educational support occupations,315100,20014,22084,
        4411 Home child care providers,84855,12688,15766,
"        4412 Home support workers, housekeepers and related occupations",101220,21847,24366,
        4413 Elementary and secondary school teacher assistants,129025,23973,24449,
      442 Legal and public protection support occupations,37560,68379,64866,
        4421 Sheriffs and bailiffs,3065,57336,54701,
        4422 Correctional service officers,24150,72483,69184,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",10345,57488,57799,
"  5 Occupations in art, culture, recreation and sport",568930,18673,30800,
    51 Professional occupations in art and culture,192115,22200,34860,
"      511 Librarians, archivists, conservators and curators",13515,56209,55703,
        5111 Librarians,9570,59726,59020,
        5112 Conservators and curators,1995,49597,48189,
        5113 Archivists,1950,48977,47116,
