"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Prince Edward Island / Œle-du-Prince-…douard,,,,
Global non-response rate (GNR) =   5.6 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      313 Pharmacists, dietitians and nutritionists",210,70869,67981,
        3131 Pharmacists,135,96420,84092,
        3132 Dietitians and nutritionists,70,26234,36432,
      314 Therapy and assessment professionals,225,54349,53184,
        3141 Audiologists and speech-language pathologists,45,49800,52163,
        3142 Physiotherapists,100,61874,65314,
        3143 Occupational therapists,50,39662,43770,
        3144 Other professional occupations in therapy and assessment,25,0,25869,
    32 Technical occupations in health,1565,42197,41630,
      321 Medical technologists and technicians (except dental health),700,41312,41278,
        3211 Medical laboratory technologists,125,57074,57886,
        3212 Medical laboratory technicians and pathologists' assistants,70,41753,38061,
        3213 Animal health technologists and veterinary technicians,110,28474,29272,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",35,65682,57879,
        3215 Medical radiation technologists,90,60986,54915,
        3216 Medical sonographers,20,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",10,0,0,
        3219 Other medical technologists and technicians (except dental health),245,27040,31041,
      322 Technical occupations in dental health care,145,52892,50466,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,130,52826,49915,
"        3223 Dental technologists, technicians and laboratory assistants",10,0,0,
      323 Other technical occupations in health care,725,41301,40230,
        3231 Opticians,40,46032,47534,
        3232 Practitioners of natural healing,25,0,0,
        3233 Licensed practical nurses,420,42653,39497,
        3234 Paramedical occupations,135,57417,52062,
        3236 Massage therapists,65,12077,19732,
        3237 Other technical occupations in therapy and assessment,30,27747,28178,
    34 Assisting occupations in support of health services,1825,30695,29864,
      341 Assisting occupations in support of health services,1825,30695,29864,
        3411 Dental assistants,195,31892,30736,
"        3413 Nurse aides, orderlies and patient service associates",1440,30199,29414,
        3414 Other assisting occupations in support of health services,190,32031,32363,
"  4 Occupations in education, law and social, community and government services",8850,42127,48291,
    40 Professional occupations in education services,3185,63807,57276,
      401 University professors and post-secondary assistants,585,50464,61055,
        4011 University professors and lecturers,285,112057,100041,
        4012 Post-secondary teaching and research assistants,295,9686,23619,
      402 College and other vocational instructors,405,53406,54261,
        4021 College and other vocational instructors,400,53406,54261,
      403 Secondary and elementary school teachers and educational counsellors,2200,66485,56825,
        4031 Secondary school teachers,700,70957,60194,
        4032 Elementary school and kindergarten teachers,1395,63938,55081,
        4033 Educational counsellors,105,75457,57567,
"    41 Professional occupations in law and social, community and government services",1935,55911,60939,
"      411 Judges, lawyers and Quebec notaries",255,89644,125194,
        4111 Judges,20,0,299830,
        4112 Lawyers and Quebec notaries,235,86831,107929,
      415 Social and community service professionals,595,45875,44595,
        4151 Psychologists,55,31703,42680,
        4152 Social workers,205,55021,50098,
"        4153 Family, marriage and other related counsellors",85,56349,47578,
        4154 Professional occupations in religion,165,34555,38193,
        4155 Probation and parole officers and related occupations,20,0,0,
        4156 Employment counsellors,60,38609,33464,
"      416 Policy and program researchers, consultants and officers",1080,56744,54587,
"        4161 Natural and applied science policy researchers, consultants and program officers",100,56553,53918,
        4162 Economists and economic policy researchers and analysts,45,69896,63949,
        4163 Business development officers and marketing researchers and consultants,210,49559,57080,
"        4164 Social policy researchers, consultants and program officers",265,62758,60176,
"        4165 Health policy researchers, consultants and program officers",160,50049,52047,
"        4166 Education policy researchers, consultants and program officers",100,59186,48900,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",45,34721,35666,
        4168 Program officers unique to government,145,71203,55587,
"        4169 Other professional occupations in social science, n.e.c.",20,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1960,28089,30749,
"      421 Paraprofessional occupations in legal, social, community and education services",1965,28089,30749,
        4211 Paralegal and related occupations,90,44017,41520,
        4212 Social and community service workers,950,39122,38831,
        4214 Early childhood educators and assistants,745,20885,21240,
        4215 Instructors of persons with disabilities,50,24132,39440,
        4216 Other instructors,95,11340,14291,
        4217 Other religious occupations,30,0,0,
    43 Occupations in front-line public protection services,430,87143,75796,
      431 Occupations in front-line public protection services,430,87143,75796,
        4311 Police officers (except commissioned),290,92282,84845,
        4312 Firefighters,15,0,0,
        4313 Non-commissioned ranks of the Canadian Armed Forces,125,26213,40163,
"    44 Care providers and educational, legal and public protection support occupations",1340,24478,25564,
      441 Home care providers and educational support occupations,1175,21989,21896,
        4411 Home child care providers,280,7103,10801,
"        4412 Home support workers, housekeepers and related occupations",460,22837,22457,
        4413 Elementary and secondary school teacher assistants,430,32565,28603,
      442 Legal and public protection support occupations,160,52904,52149,
        4421 Sheriffs and bailiffs,25,0,50448,
        4422 Correctional service officers,100,54031,55985,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",40,45791,42562,
"  5 Occupations in art, culture, recreation and sport",1735,13388,24985,
    51 Professional occupations in art and culture,585,17641,27394,
"      511 Librarians, archivists, conservators and curators",60,59791,56941,
        5111 Librarians,50,59857,60583,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",160,31798,30685,
        5121 Authors and writers,60,34120,32937,
        5122 Editors,35,0,28713,
        5123 Journalists,50,31946,31454,
"        5125 Translators, terminologists and interpreters",15,0,0,
      513 Creative and performing artists,380,14468,21635,
"        5131 Producers, directors, choreographers and related occupations",70,38867,44861,
"        5132 Conductors, composers and arrangers",15,0,0,
        5133 Musicians and singers,155,7544,12858,
        5134 Dancers,20,0,0,
        5135 Actors and comedians,30,0,0,
"        5136 Painters, sculptors and other visual artists",80,17995,20827,
"    52 Technical occupations in art, culture, recreation and sport",1145,10709,23746,
"      521 Technical occupations in libraries, public archives, museums and art galleries",140,10500,16520,
        5211 Library and public archive technicians,40,38197,39452,
        5212 Technical occupations related to museums and art galleries,100,7901,8346,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",140,21897,33884,
        5221 Photographers,50,14563,20269,
        5222 Film and video camera operators,15,0,0,
        5223 Graphic arts technicians,25,0,0,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,20,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",20,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",0,0,0,
"      523 Announcers and other performers, n.e.c.",25,0,0,
        5231 Announcers and other broadcasters,10,0,0,
"        5232 Other performers, n.e.c.",10,0,0,
      524 Creative designers and craftspersons,295,27114,34363,
        5241 Graphic designers and illustrators,145,34324,47761,
        5242 Interior designers and interior decorators,30,29846,31648,
"        5243 Theatre, fashion, exhibit and other creative designers",10,0,0,
        5244 Artisans and craftspersons,100,10990,19084,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",550,6083,17707,
        5251 Athletes,30,0,0,
        5252 Coaches,45,0,0,
        5253 Sports officials and referees,20,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",460,5266,9732,
  6 Sales and service occupations,19240,14334,19712,
    62 Retail sales supervisors and specialized sales occupations,1135,32203,38219,
      621 Retail sales supervisors,300,26015,27865,
        6211 Retail sales supervisors,300,26015,27865,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,260,25705,40968,
        6221 Technical sales specialists - wholesale trade,95,50749,55558,
        6222 Retail and wholesale buyers,170,18931,32849,
"      623 Insurance, real estate and financial sales occupations",580,36361,42380,
        6231 Insurance agents and brokers,215,35922,41574,
        6232 Real estate agents and salespersons,200,23879,36447,
        6235 Financial sales representatives,165,47949,50809,
    63 Service supervisors and specialized service occupations,2825,18131,21928,
      631 Service supervisors,530,24523,30056,
        6311 Food service supervisors,250,19703,26028,
        6312 Executive housekeepers,35,28233,26074,
"        6313 Accommodation, travel, tourism and related services supervisors",20,0,0,
        6314 Customer and information services supervisors,85,44055,41192,
        6315 Cleaning supervisors,60,33203,45724,
        6316 Other services supervisors,80,20716,25181,
      632 Chefs and cooks,1450,15514,19353,
        6321 Chefs,260,28961,29929,
        6322 Cooks,1195,13294,17051,
      633 Butchers and bakers,315,20307,22136,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",50,35551,30633,
        6332 Bakers,265,17809,20424,
      634 Specialized occupations in personal and customer services,520,16199,20731,
        6341 Hairstylists and barbers,425,15585,18696,
"        6342 Tailors, dressmakers, furriers and milliners",30,0,0,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",20,0,0,
        6345 Upholsterers,10,0,0,
        6346 Funeral directors and embalmers,30,0,52220,
    64 Sales representatives and salespersons - wholesale and retail trade,3285,15042,22618,
      641 Sales and account representatives - wholesale trade (non-technical),305,50062,52113,
        6411 Sales and account representatives - wholesale trade (non-technical),305,50062,52113,
      642 Retail salespersons,2980,13765,19623,
        6421 Retail salespersons,2980,13765,19623,
    65 Service representatives and other customer and personal services occupations,3700,14291,18322,
      651 Occupations in food and beverage service,1320,10077,11815,
        6511 MaÓtres d'hÙtel and hosts/hostesses,125,7949,8436,
        6512 Bartenders,190,13927,14447,
        6513 Food and beverage servers,1000,10093,11746,
      652 Occupations in travel and accommodation,280,21688,22412,
        6521 Travel counsellors,70,23544,26692,
        6522 Pursers and flight attendants,10,0,0,
        6523 Airline ticket and service agents,10,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",10,0,0,
        6525 Hotel front desk clerks,185,17487,18521,
      653 Tourism and amusement services occupations,100,6867,12138,
        6531 Tour and travel guides,70,4284,8285,
        6532 Outdoor sport and recreational guides,0,0,0,
        6533 Casino occupations,25,0,21670,
      654 Security guards and related security service occupations,425,17642,20460,
        6541 Security guards and related security service occupations,425,17642,20460,
      655 Customer and information services representatives,1275,21155,24602,
        6551 Customer services representatives - financial institutions,285,24961,25050,
        6552 Other customer and information services representatives,995,20690,24473,
      656 Other occupations in personal service,295,11994,15373,
"        6561 Image, social and other personal consultants",10,0,0,
"        6562 Estheticians, electrologists and related occupations",185,12932,13589,
        6563 Pet groomers and animal care workers,95,9802,15263,
        6564 Other personal service occupations,0,0,0,
    66 Sales support occupations,2990,10253,12691,
      661 Cashiers,2045,9206,11332,
        6611 Cashiers,2045,9206,11332,
      662 Other sales support and related occupations,950,13529,15621,
        6621 Service station attendants,130,12589,18894,
"        6622 Store shelf stockers, clerks and order fillers",750,13839,15258,
        6623 Other sales related occupations,65,12204,13423,
"    67 Service support and other service occupations, n.e.c.",5305,12879,17694,
"      671 Food counter attendants, kitchen helpers and related support occupations",1880,8743,13052,
"        6711 Food counter attendants, kitchen helpers and related support occupations",1880,8743,13052,
"      672 Support occupations in accommodation, travel and amusement services",340,7216,12904,
"        6721 Support occupations in accommodation, travel and facilities set-up services",10,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",330,7201,12955,
      673 Cleaners,2840,16541,21335,
        6731 Light duty cleaners,1435,13399,16207,
        6732 Specialized cleaners,180,18622,19993,
"        6733 Janitors, caretakers and building superintendents",1225,24753,27568,
"      674 Other service support and related occupations, n.e.c.",235,11004,17773,
"        6741 Dry cleaning, laundry and related occupations",120,22990,23149,
"        6742 Other service support occupations, n.e.c.",120,6428,12412,
