"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Brantford [1],,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        2222 Agricultural and fish products inspectors,35,69332,60497,
        2223 Forestry technologists and technicians,20,0,0,
        2224 Conservation and fishery officers,0,0,0,
        2225 Landscape and horticulture technicians and specialists,90,36677,37543,
"      223 Technical occupations in civil, mechanical and industrial engineering",315,60535,61908,
        2231 Civil engineering technologists and technicians,55,54033,53279,
        2232 Mechanical engineering technologists and technicians,105,64043,63705,
        2233 Industrial engineering and manufacturing technologists and technicians,85,64660,58735,
        2234 Construction estimators,65,54894,70519,
      224 Technical occupations in electronics and electrical engineering,365,50081,52881,
        2241 Electrical and electronics engineering technologists and technicians,120,62949,63817,
        2242 Electronic service technicians (household and business equipment),215,46913,45575,
        2243 Industrial instrument technicians and mechanics,20,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",195,49771,47639,
        2251 Architectural technologists and technicians,25,0,38332,
        2252 Industrial designers,35,51295,49840,
        2253 Drafting technologists and technicians,115,53730,48929,
        2254 Land survey technologists and technicians,15,0,0,
        2255 Technical occupations in geomatics and meteorology,0,0,0,
      226 Other technical inspectors and regulatory officers,265,66198,67557,
        2261 Non-destructive testers and inspection technicians,50,73644,84110,
        2262 Engineering inspectors and regulatory officers,30,63118,64119,
        2263 Inspectors in public and environmental health and occupational health and safety,115,70198,68504,
        2264 Construction inspectors,65,60112,54463,
      227 Transportation officers and controllers,60,94442,111932,
"        2271 Air pilots, flight engineers and flying instructors",50,91330,106627,
        2272 Air traffic controllers and related occupations,10,0,0,
"        2273 Deck officers, water transport",0,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,360,51741,56463,
        2281 Computer network technicians,210,63749,61060,
        2282 User support technicians,135,45638,51228,
        2283 Information systems testing technicians,10,0,0,
  3 Health occupations,4365,45473,54840,
    30 Professional occupations in nursing,1230,73702,67171,
      301 Professional occupations in nursing,1235,73702,67171,
        3011 Nursing co-ordinators and supervisors,115,82007,75532,
