"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = St. Catharines - Niagara,,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6235 Financial sales representatives,610,44736,48322,
    63 Service supervisors and specialized service occupations,8375,20062,24523,
      631 Service supervisors,1710,30981,36391,
        6311 Food service supervisors,690,24389,26703,
        6312 Executive housekeepers,135,32592,29587,
"        6313 Accommodation, travel, tourism and related services supervisors",300,50629,51997,
        6314 Customer and information services supervisors,125,41289,46712,
        6315 Cleaning supervisors,145,44205,42904,
        6316 Other services supervisors,315,29160,38323,
      632 Chefs and cooks,4380,17650,21859,
        6321 Chefs,905,31011,32852,
        6322 Cooks,3480,15746,18992,
      633 Butchers and bakers,670,17489,22410,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",115,40480,34938,
        6332 Bakers,560,16338,19846,
      634 Specialized occupations in personal and customer services,1605,17115,20032,
        6341 Hairstylists and barbers,1260,17204,19342,
"        6342 Tailors, dressmakers, furriers and milliners",145,21941,22882,
        6343 Shoe repairers and shoemakers,10,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",45,0,0,
        6345 Upholsterers,70,596,10138,
        6346 Funeral directors and embalmers,85,40621,38586,
    64 Sales representatives and salespersons - wholesale and retail trade,10170,16552,25230,
      641 Sales and account representatives - wholesale trade (non-technical),1195,41636,48281,
        6411 Sales and account representatives - wholesale trade (non-technical),1195,41636,48281,
      642 Retail salespersons,8970,15297,22162,
        6421 Retail salespersons,8975,15297,22162,
    65 Service representatives and other customer and personal services occupations,14745,18877,23784,
      651 Occupations in food and beverage service,5580,12491,14186,
        6511 Maîtres d'hôtel and hosts/hostesses,715,7195,8462,
        6512 Bartenders,715,16419,17836,
        6513 Food and beverage servers,4155,12844,14542,
      652 Occupations in travel and accommodation,1120,23777,25108,
        6521 Travel counsellors,270,22494,25841,
        6522 Pursers and flight attendants,80,52845,48590,
        6523 Airline ticket and service agents,25,0,35979,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",35,28301,29399,
        6525 Hotel front desk clerks,705,20949,21536,
      653 Tourism and amusement services occupations,1460,46634,42781,
        6531 Tour and travel guides,160,11177,14937,
        6532 Outdoor sport and recreational guides,20,0,0,
        6533 Casino occupations,1280,48721,46447,
      654 Security guards and related security service occupations,1330,25495,30680,
        6541 Security guards and related security service occupations,1330,25495,30680,
      655 Customer and information services representatives,4315,25739,28350,
        6551 Customer services representatives - financial institutions,940,27964,28154,
        6552 Other customer and information services representatives,3385,25173,28405,
      656 Other occupations in personal service,940,15953,19036,
"        6561 Image, social and other personal consultants",45,28064,24009,
"        6562 Estheticians, electrologists and related occupations",560,15585,18095,
        6563 Pet groomers and animal care workers,325,16642,20322,
        6564 Other personal service occupations,15,0,0,
    66 Sales support occupations,7835,11787,14527,
      661 Cashiers,5005,11058,13593,
        6611 Cashiers,5000,11058,13593,
      662 Other sales support and related occupations,2835,13391,16177,
        6621 Service station attendants,170,18155,19776,
"        6622 Store shelf stockers, clerks and order fillers",2185,14053,16404,
        6623 Other sales related occupations,480,9964,13877,
"    67 Service support and other service occupations, n.e.c.",16425,13927,18384,
"      671 Food counter attendants, kitchen helpers and related support occupations",6760,8931,12620,
"        6711 Food counter attendants, kitchen helpers and related support occupations",6765,8931,12620,
"      672 Support occupations in accommodation, travel and amusement services",910,9523,15593,
"        6721 Support occupations in accommodation, travel and facilities set-up services",100,28672,22340,
"        6722 Operators and attendants in amusement, recreation and sport",805,8690,14712,
      673 Cleaners,7605,19494,23625,
        6731 Light duty cleaners,4095,15793,18512,
        6732 Specialized cleaners,410,17965,25197,
"        6733 Janitors, caretakers and building superintendents",3095,26882,30186,
"      674 Other service support and related occupations, n.e.c.",1155,18495,19825,
"        6741 Dry cleaning, laundry and related occupations",475,22052,22613,
"        6742 Other service support occupations, n.e.c.",680,15041,17893,
"  7 Trades, transport and equipment operators and related occupations",29520,41505,45163,
"    72 Industrial, electrical and construction trades",10205,44608,48568,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",1115,50703,57578,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",255,81437,81104,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",100,93628,84305,
"        7203 Contractors and supervisors, pipefitting trades",65,94533,90039,
"        7204 Contractors and supervisors, carpentry trades",230,28848,37468,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",465,39184,44096,
"      723 Machining, metal forming, shaping and erecting trades",2805,52645,53812,
        7231 Machinists and machining and tooling inspectors,630,56423,57238,
        7232 Tool and die makers,335,76272,75366,
        7233 Sheet metal workers,220,41036,42484,
        7234 Boilermakers,35,74914,75472,
        7235 Structural metal and platework fabricators and fitters,170,54245,55066,
