"","occupation","employment","median.income","mean.income","geography"
"15040","        1522 Storekeepers and partspersons","350","37483","35701","Sherbrooke"
"15159","        1523 Production logistics co-ordinators","165","47459","52574","Sherbrooke"
"15242","        1524 Purchasing and inventory control workers","220","27580","30424","Sherbrooke"
"15340","        1525 Dispatchers","195","41544","41510","Sherbrooke"
"15440","        1526 Transportation route and crew schedulers","20","0","0","Sherbrooke"
"15540","  2 Natural and applied sciences and related occupations","7000","50403","52501","Sherbrooke"
"15640","    21 Professional occupations in natural and applied sciences","3245","59222","61169","Sherbrooke"
"15740","      211 Physical science professionals","145","73170","72075","Sherbrooke"
"15840","        2111 Physicists and astronomers","25","0","88023","Sherbrooke"
"15940","        2112 Chemists","105","72608","72877","Sherbrooke"
"16040","        2113 Geoscientists and oceanographers","0","0","0","Sherbrooke"
"16159","        2114 Meteorologists and climatologists","10","0","0","Sherbrooke"
"16242","        2115 Other professional occupations in physical sciences","10","0","0","Sherbrooke"
"16340","      212 Life science professionals","225","51661","46436","Sherbrooke"
"16440","        2121 Biologists and related scientists","135","43980","41759","Sherbrooke"
"16540","        2122 Forestry professionals","25","0","61942","Sherbrooke"
"16640","        2123 Agricultural representatives, consultants and specialists","60","64354","50317","Sherbrooke"
"16740","      213 Civil, mechanical, electrical and chemical engineers","1105","71421","75622","Sherbrooke"
"16840","        2131 Civil engineers","330","71301","80022","Sherbrooke"
"16940","        2132 Mechanical engineers","450","71015","69970","Sherbrooke"
"17040","        2133 Electrical and electronics engineers","195","68233","69275","Sherbrooke"
"17159","        2134 Chemical engineers","140","74606","92558","Sherbrooke"
"17242","      214 Other engineers","280","64281","66363","Sherbrooke"
"17340","        2141 Industrial and manufacturing engineers","115","73956","71373","Sherbrooke"
"17440","        2142 Metallurgical and materials engineers","10","0","0","Sherbrooke"
"17540","        2143 Mining engineers","10","0","0","Sherbrooke"
"17640","        2144 Geological engineers","10","0","0","Sherbrooke"
"17740","        2145 Petroleum engineers","0","0","0","Sherbrooke"
"17840","        2146 Aerospace engineers","0","0","0","Sherbrooke"
"17940","        2147 Computer engineers (except software engineers and designers)","130","64385","64460","Sherbrooke"
"18040","        2148 Other professional engineers, n.e.c.","10","0","0","Sherbrooke"
"18159","      215 Architects, urban planners and land surveyors","125","57319","60850","Sherbrooke"
"18242","        2151 Architects","60","51159","61007","Sherbrooke"
"18340","        2152 Landscape architects","0","0","0","Sherbrooke"
"18440","        2153 Urban and land use planners","40","57262","62630","Sherbrooke"
"18540","        2154 Land surveyors","30","0","0","Sherbrooke"
"18640","      216 Mathematicians, statisticians and actuaries","35","0","0","Sherbrooke"
"18740","        2161 Mathematicians, statisticians and actuaries","35","0","0","Sherbrooke"
"18840","      217 Computer and information systems professionals","1330","50405","49791","Sherbrooke"
"18940","        2171 Information systems analysts and consultants","440","67831","61407","Sherbrooke"
"19040","        2172 Database analysts and data administrators","75","64513","58490","Sherbrooke"
"19159","        2173 Software engineers and designers","70","68842","69431","Sherbrooke"
"19242","        2174 Computer programmers and interactive media developers","635","41852","41510","Sherbrooke"
"19340","        2175 Web designers and developers","100","27748","30688","Sherbrooke"
"19440","    22 Technical occupations related to natural and applied sciences","3755","43558","45009","Sherbrooke"
"19540","      221 Technical occupations in physical sciences","190","33605","33967","Sherbrooke"
"19640","        2211 Chemical technologists and technicians","155","34369","35029","Sherbrooke"
"19740","        2212 Geological and mineral technologists and technicians","35","0","0","Sherbrooke"
"19840","      222 Technical occupations in life sciences","355","20577","26198","Sherbrooke"
"19940","        2221 Biological technologists and technicians","70","35158","27588","Sherbrooke"
"20040","        2222 Agricultural and fish products inspectors","25","0","0","Sherbrooke"
"20159","        2223 Forestry technologists and technicians","20","0","0","Sherbrooke"
"20242","        2224 Conservation and fishery officers","30","0","0","Sherbrooke"
"20340","        2225 Landscape and horticulture technicians and specialists","210","18876","20815","Sherbrooke"
"20440","      223 Technical occupations in civil, mechanical and industrial engineering","990","46239","48486","Sherbrooke"
"20540","        2231 Civil engineering technologists and technicians","325","43908","45436","Sherbrooke"
"20640","        2232 Mechanical engineering technologists and technicians","320","45966","44344","Sherbrooke"
"20740","        2233 Industrial engineering and manufacturing technologists and technicians","205","50002","54286","Sherbrooke"
"20840","        2234 Construction estimators","140","53926","56841","Sherbrooke"
"20940","      224 Technical occupations in electronics and electrical engineering","645","49780","51000","Sherbrooke"
"21040","        2241 Electrical and electronics engineering technologists and technicians","375","56981","57843","Sherbrooke"
"21159","        2242 Electronic service technicians (household and business equipment)","205","32632","31990","Sherbrooke"
"21242","        2243 Industrial instrument technicians and mechanics","55","75436","74679","Sherbrooke"
"21340","        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","10","0","0","Sherbrooke"
"21440","      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","580","40043","43967","Sherbrooke"
"21540","        2251 Architectural technologists and technicians","40","42428","51857","Sherbrooke"
"21640","        2252 Industrial designers","115","48346","51479","Sherbrooke"
"21740","        2253 Drafting technologists and technicians","270","35977","35453","Sherbrooke"
"21840","        2254 Land survey technologists and technicians","110","42857","48355","Sherbrooke"
"21940","        2255 Technical occupations in geomatics and meteorology","50","60587","56647","Sherbrooke"
"22040","      226 Other technical inspectors and regulatory officers","245","47663","46059","Sherbrooke"
"22159","        2261 Non-destructive testers and inspection technicians","15","0","0","Sherbrooke"
"22242","        2262 Engineering inspectors and regulatory officers","25","0","0","Sherbrooke"
"22340","        2263 Inspectors in public and environmental health and occupational health and safety","110","48215","50592","Sherbrooke"
"22440","        2264 Construction inspectors","90","24815","37357","Sherbrooke"
"22540","      227 Transportation officers and controllers","35","63907","70039","Sherbrooke"
"22640","        2271 Air pilots, flight engineers and flying instructors","20","0","0","Sherbrooke"
"22740","        2272 Air traffic controllers and related occupations","0","0","0","Sherbrooke"
"22840","        2273 Deck officers, water transport","10","0","0","Sherbrooke"
"22940","        2274 Engineer officers, water transport","10","0","0","Sherbrooke"
"23040","        2275 Railway traffic controllers and marine traffic regulators","0","0","0","Sherbrooke"
"23159","      228 Technical occupations in computer and information systems","710","49805","46126","Sherbrooke"
"23242","        2281 Computer network technicians","480","53497","51243","Sherbrooke"
"23340","        2282 User support technicians","195","35569","34022","Sherbrooke"
"23440","        2283 Information systems testing technicians","35","42552","42887","Sherbrooke"
"23540","  3 Health occupations","10055","42821","55197","Sherbrooke"
"23640","    30 Professional occupations in nursing","2440","54927","54655","Sherbrooke"
"23740","      301 Professional occupations in nursing","2440","54927","54655","Sherbrooke"
"23840","        3011 Nursing co-ordinators and supervisors","180","74397","70928","Sherbrooke"
"23940","        3012 Registered nurses and registered psychiatric nurses","2260","53556","53348","Sherbrooke"
"24040","    31 Professional occupations in health (except nursing)","2400","66279","101963","Sherbrooke"
"24159","      311 Physicians, dentists and veterinarians","1270","89227","135640","Sherbrooke"
"24242","        3111 Specialist physicians","560","114713","175892","Sherbrooke"
"24340","        3112 General practitioners and family physicians","560","69744","97475","Sherbrooke"
"24440","        3113 Dentists","105","113965","162652","Sherbrooke"
"24540","        3114 Veterinarians","40","64146","50543","Sherbrooke"
"24640","      312 Optometrists, chiropractors and other health diagnosing and treating professionals","145","40104","52556","Sherbrooke"
"24740","        3121 Optometrists","35","62836","87166","Sherbrooke"
"24840","        3122 Chiropractors","20","0","0","Sherbrooke"
"24940","        3124 Allied primary health practitioners","15","0","0","Sherbrooke"
"25040","        3125 Other professional occupations in health diagnosing and treating","70","22591","29841","Sherbrooke"
"25159","      313 Pharmacists, dietitians and nutritionists","355","96411","108344","Sherbrooke"
"25242","        3131 Pharmacists","275","106524","123872","Sherbrooke"
"25340","        3132 Dietitians and nutritionists","75","58218","49902","Sherbrooke"
"25440","      314 Therapy and assessment professionals","635","41542","42319","Sherbrooke"
"25540","        3141 Audiologists and speech-language pathologists","85","54782","50395","Sherbrooke"
"25640","        3142 Physiotherapists","245","54525","51032","Sherbrooke"
"25740","        3143 Occupational therapists","155","50956","45481","Sherbrooke"
"25840","        3144 Other professional occupations in therapy and assessment","145","14156","19617","Sherbrooke"
"25940","    32 Technical occupations in health","2935","40424","38388","Sherbrooke"
"26040","      321 Medical technologists and technicians (except dental health)","1530","41555","39330","Sherbrooke"
"26159","        3211 Medical laboratory technologists","175","51778","47233","Sherbrooke"
"26242","        3212 Medical laboratory technicians and pathologists' assistants","205","49268","42729","Sherbrooke"
"26340","        3213 Animal health technologists and veterinary technicians","165","27819","35014","Sherbrooke"
"26440","        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","200","54986","53483","Sherbrooke"
"26540","        3215 Medical radiation technologists","245","53340","52866","Sherbrooke"
"26640","        3216 Medical sonographers","10","0","0","Sherbrooke"
"26740","        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.","35","46633","46057","Sherbrooke"
"26840","        3219 Other medical technologists and technicians (except dental health)","500","24006","23903","Sherbrooke"
"26940","      322 Technical occupations in dental health care","170","43749","49676","Sherbrooke"
"27040","        3221 Denturists","15","0","0","Sherbrooke"
"27159","        3222 Dental hygienists and dental therapists","135","43206","43508","Sherbrooke"
"27242","        3223 Dental technologists, technicians and laboratory assistants","20","0","0","Sherbrooke"
"27340","      323 Other technical occupations in health care","1235","37686","35677","Sherbrooke"
"27440","        3231 Opticians","60","40668","33457","Sherbrooke"
"27540","        3232 Practitioners of natural healing","30","0","0","Sherbrooke"
"27640","        3233 Licensed practical nurses","710","42806","39431","Sherbrooke"
"27740","        3234 Paramedical occupations","135","59847","59059","Sherbrooke"
"27840","        3236 Massage therapists","225","11173","11845","Sherbrooke"
"27940","        3237 Other technical occupations in therapy and assessment","75","37121","39049","Sherbrooke"
"28040","    34 Assisting occupations in support of health services","2280","28216","28204","Sherbrooke"
"28159","      341 Assisting occupations in support of health services","2280","28216","28204","Sherbrooke"
"28242","        3411 Dental assistants","125","28630","26282","Sherbrooke"
"28340","        3413 Nurse aides, orderlies and patient service associates","1950","28212","28182","Sherbrooke"
"28440","        3414 Other assisting occupations in support of health services","210","27963","29552","Sherbrooke"
"28540","  4 Occupations in education, law and social, community and government services","15335","41134","46464","Sherbrooke"
"28640","    40 Professional occupations in education services","6385","57007","55862","Sherbrooke"
"28740","      401 University professors and post-secondary assistants","1975","46768","61470","Sherbrooke"
"28840","        4011 University professors and lecturers","1015","102420","96894","Sherbrooke"
"28940","        4012 Post-secondary teaching and research assistants","960","9713","23933","Sherbrooke"
"29040","      402 College and other vocational instructors","920","58978","55354","Sherbrooke"
"29159","        4021 College and other vocational instructors","920","58978","55354","Sherbrooke"
"29242","      403 Secondary and elementary school teachers and educational counsellors","3490","58936","52820","Sherbrooke"
"29340","        4031 Secondary school teachers","1440","62881","56615","Sherbrooke"
"29440","        4032 Elementary school and kindergarten teachers","1745","55093","49486","Sherbrooke"
"29540","        4033 Educational counsellors","305","58023","53978","Sherbrooke"
"29640","    41 Professional occupations in law and social, community and government services","2810","52573","55206","Sherbrooke"
"29740","      411 Judges, lawyers and Quebec notaries","560","61131","79499","Sherbrooke"
"29840","        4111 Judges","45","241513","198738","Sherbrooke"
"29940","        4112 Lawyers and Quebec notaries","515","59985","69206","Sherbrooke"
"30040","      415 Social and community service professionals","1210","50583","47911","Sherbrooke"
"30159","        4151 Psychologists","275","53337","53509","Sherbrooke"
"30242","        4152 Social workers","470","56400","51652","Sherbrooke"
"30340","        4153 Family, marriage and other related counsellors","285","48739","41697","Sherbrooke"
"30440","        4154 Professional occupations in religion","85","31715","35075","Sherbrooke"
"30540","        4155 Probation and parole officers and related occupations","15","0","0","Sherbrooke"
"30640","        4156 Employment counsellors","75","41648","42014","Sherbrooke"
"30740","      416 Policy and program researchers, consultants and officers","1045","52664","50607","Sherbrooke"
"30840","        4161 Natural and applied science policy researchers, consultants and program officers","110","44851","46784","Sherbrooke"
"30940","        4162 Economists and economic policy researchers and analysts","35","64365","74123","Sherbrooke"
"31040","        4163 Business development officers and marketing researchers and consultants","175","31652","39476","Sherbrooke"
"31159","        4164 Social policy researchers, consultants and program officers","130","56934","53460","Sherbrooke"
"31242","        4165 Health policy researchers, consultants and program officers","175","53215","56882","Sherbrooke"
"31340","        4166 Education policy researchers, consultants and program officers","240","68649","63412","Sherbrooke"
"31440","        4167 Recreation, sports and fitness policy researchers, consultants and program officers","50","37532","40176","Sherbrooke"
"31540","        4168 Program officers unique to government","105","18630","27393","Sherbrooke"
"31640","        4169 Other professional occupations in social science, n.e.c.","25","0","0","Sherbrooke"
"31740","    42 Paraprofessional occupations in legal, social, community and education services","3915","27957","28738","Sherbrooke"
"31840","      421 Paraprofessional occupations in legal, social, community and education services","3910","27957","28738","Sherbrooke"
"31940","        4211 Paralegal and related occupations","130","31774","33342","Sherbrooke"
"32040","        4212 Social and community service workers","800","34352","34182","Sherbrooke"
"32159","        4214 Early childhood educators and assistants","2310","25443","25114","Sherbrooke"
"32242","        4215 Instructors of persons with disabilities","450","40596","38164","Sherbrooke"
"32340","        4216 Other instructors","125","19176","20619","Sherbrooke"
"32440","        4217 Other religious occupations","105","29328","30544","Sherbrooke"
"32540","    43 Occupations in front-line public protection services","865","70609","64274","Sherbrooke"
"32640","      431 Occupations in front-line public protection services","860","70609","64274","Sherbrooke"
"32740","        4311 Police officers (except commissioned)","455","87864","81425","Sherbrooke"
"32840","        4312 Firefighters","180","70330","68614","Sherbrooke"
"32940","        4313 Non-commissioned ranks of the Canadian Armed Forces","230","18623","26633","Sherbrooke"
"33040","    44 Care providers and educational, legal and public protection support occupations","1365","16911","24091","Sherbrooke"
"33159","      441 Home care providers and educational support occupations","1195","15071","17429","Sherbrooke"
"33242","        4411 Home child care providers","265","10531","12455","Sherbrooke"
"33340","        4412 Home support workers, housekeepers and related occupations","500","15066","17432","Sherbrooke"
"33440","        4413 Elementary and secondary school teacher assistants","430","18118","20551","Sherbrooke"
"33540","      442 Legal and public protection support occupations","175","63496","69680","Sherbrooke"
"33640","        4421 Sheriffs and bailiffs","10","0","0","Sherbrooke"
"33740","        4422 Correctional service officers","115","65825","76858","Sherbrooke"
"33840","        4423 By-law enforcement and other regulatory officers, n.e.c.","50","55064","53669","Sherbrooke"
"33940","  5 Occupations in art, culture, recreation and sport","3070","13389","22404","Sherbrooke"
"34040","    51 Professional occupations in art and culture","950","18041","27132","Sherbrooke"
"34159","      511 Librarians, archivists, conservators and curators","55","56953","55720","Sherbrooke"
"34242","        5111 Librarians","40","66895","58445","Sherbrooke"
"34340","        5112 Conservators and curators","0","0","0","Sherbrooke"
"34440","        5113 Archivists","10","0","0","Sherbrooke"
"34540","      512 Writing, translating and related communications professionals","430","24917","28882","Sherbrooke"
"34640","        5121 Authors and writers","110","15510","27784","Sherbrooke"
"34740","        5122 Editors","95","13530","25313","Sherbrooke"
"34840","        5123 Journalists","85","32376","36800","Sherbrooke"
"34940","        5125 Translators, terminologists and interpreters","135","25311","27192","Sherbrooke"
"35040","      513 Creative and performing artists","465","13143","21985","Sherbrooke"
"35159","        5131 Producers, directors, choreographers and related occupations","120","37728","43345","Sherbrooke"
"35242","        5132 Conductors, composers and arrangers","0","0","0","Sherbrooke"
"35340","        5133 Musicians and singers","160","11527","14987","Sherbrooke"
"35440","        5134 Dancers","40","10561","16769","Sherbrooke"
"35540","        5135 Actors and comedians","50","5820","8574","Sherbrooke"
"35640","        5136 Painters, sculptors and other visual artists","90","13141","14020","Sherbrooke"
"35740","    52 Technical occupations in art, culture, recreation and sport","2115","11655","20283","Sherbrooke"
"35840","      521 Technical occupations in libraries, public archives, museums and art galleries","75","17156","20022","Sherbrooke"
"35940","        5211 Library and public archive technicians","15","0","0","Sherbrooke"
"36040","        5212 Technical occupations related to museums and art galleries","55","15885","14437","Sherbrooke"
"36159","      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","335","19668","24841","Sherbrooke"
"36242","        5221 Photographers","100","12767","22500","Sherbrooke"
"36340","        5222 Film and video camera operators","45","41947","39694","Sherbrooke"
"36440","        5223 Graphic arts technicians","70","22917","18985","Sherbrooke"
"36540","        5224 Broadcast technicians","10","0","0","Sherbrooke"
"36640","        5225 Audio and video recording technicians","40","18989","21993","Sherbrooke"
"36740","        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","50","17010","21127","Sherbrooke"
"36840","        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts","15","0","0","Sherbrooke"
"36940","      523 Announcers and other performers, n.e.c.","45","0","0","Sherbrooke"
"37040","        5231 Announcers and other broadcasters","25","0","0","Sherbrooke"
"37159","        5232 Other performers, n.e.c.","20","0","0","Sherbrooke"
"37242","      524 Creative designers and craftspersons","590","25860","29855","Sherbrooke"
"37340","        5241 Graphic designers and illustrators","220","27828","31181","Sherbrooke"
"37440","        5242 Interior designers and interior decorators","165","18289","23005","Sherbrooke"
"37540","        5243 Theatre, fashion, exhibit and other creative designers","140","42160","41350","Sherbrooke"
"37640","        5244 Artisans and craftspersons","65","18842","17815","Sherbrooke"
"37740","        5245 Patternmakers - textile, leather and fur products","0","0","0","Sherbrooke"
"37840","      525 Athletes, coaches, referees and related occupations","1080","5938","13629","Sherbrooke"
"37940","        5251 Athletes","15","0","0","Sherbrooke"
"38040","        5252 Coaches","95","19458","39517","Sherbrooke"
"38159","        5253 Sports officials and referees","55","1511","2695","Sherbrooke"
"38242","        5254 Program leaders and instructors in recreation, sport and fitness","905","5753","10944","Sherbrooke"
"38340","  6 Sales and service occupations","26590","16080","21264","Sherbrooke"
"38440","    62 Retail sales supervisors and specialized sales occupations","1455","37111","43668","Sherbrooke"
"38540","      621 Retail sales supervisors","350","20659","25212","Sherbrooke"
"38640","        6211 Retail sales supervisors","355","20659","25212","Sherbrooke"
"38740","      622 Technical sales specialists in wholesale trade and retail and wholesale buyers","460","52919","61849","Sherbrooke"
"38840","        6221 Technical sales specialists - wholesale trade","295","68143","75614","Sherbrooke"
"38940","        6222 Retail and wholesale buyers","165","35678","36808","Sherbrooke"
"39040","      623 Insurance, real estate and financial sales occupations","645","39630","40786","Sherbrooke"
"39159","        6231 Insurance agents and brokers","295","42512","44747","Sherbrooke"
"39242","        6232 Real estate agents and salespersons","210","26934","31009","Sherbrooke"
"39340","        6235 Financial sales representatives","135","40012","47483","Sherbrooke"
"39440","    63 Service supervisors and specialized service occupations","3840","17443","20498","Sherbrooke"
"39540","      631 Service supervisors","455","21835","29457","Sherbrooke"
"39640","        6311 Food service supervisors","225","18114","20733","Sherbrooke"
"39740","        6312 Executive housekeepers","10","0","0","Sherbrooke"
"39840","        6313 Accommodation, travel, tourism and related services supervisors","10","0","0","Sherbrooke"
"39940","        6314 Customer and information services supervisors","85","40061","40716","Sherbrooke"
"40040","        6315 Cleaning supervisors","70","49355","50369","Sherbrooke"
"40159","        6316 Other services supervisors","55","0","0","Sherbrooke"
"40242","      632 Chefs and cooks","2025","17600","19632","Sherbrooke"
"40340","        6321 Chefs","140","24693","27578","Sherbrooke"
"40440","        6322 Cooks","1885","17258","19042","Sherbrooke"
"40540","      633 Butchers and bakers","395","26105","25115","Sherbrooke"
"40640","        6331 Butchers, meat cutters and fishmongers - retail and wholesale","195","29336","27906","Sherbrooke"
"40740","        6332 Bakers","205","19584","22425","Sherbrooke"
"40840","      634 Specialized occupations in personal and customer services","965","14747","16175","Sherbrooke"
"40940","        6341 Hairstylists and barbers","775","14334","15205","Sherbrooke"
"41040","        6342 Tailors, dressmakers, furriers and milliners","90","18700","17279","Sherbrooke"
"41159","        6343 Shoe repairers and shoemakers","15","0","0","Sherbrooke"
"41242","        6344 Jewellers, jewellery and watch repairers and related occupations","25","0","0","Sherbrooke"
"41340","        6345 Upholsterers","40","29171","25154","Sherbrooke"
"41440","        6346 Funeral directors and embalmers","15","0","0","Sherbrooke"
"41540","    64 Sales representatives and salespersons - wholesale and retail trade","4630","17224","25030","Sherbrooke"
"41640","      641 Sales and account representatives - wholesale trade (non-technical)","625","46419","49156","Sherbrooke"
"41740","        6411 Sales and account representatives - wholesale trade (non-technical)","625","46419","49156","Sherbrooke"
"41840","      642 Retail salespersons","4005","15174","21267","Sherbrooke"
"41940","        6421 Retail salespersons","4005","15174","21267","Sherbrooke"
"42040","    65 Service representatives and other customer and personal services occupations","5390","18935","21749","Sherbrooke"
"42159","      651 Occupations in food and beverage service","2040","16093","17943","Sherbrooke"
"42242","        6511 Maîtres d'hôtel and hosts/hostesses","80","4435","9299","Sherbrooke"
"42340","        6512 Bartenders","235","14226","17296","Sherbrooke"
"42440","        6513 Food and beverage servers","1725","16798","18441","Sherbrooke"
"42540","      652 Occupations in travel and accommodation","185","23450","22467","Sherbrooke"
"42640","        6521 Travel counsellors","75","25714","23392","Sherbrooke"
"42740","        6522 Pursers and flight attendants","10","0","0","Sherbrooke"
"42840","        6523 Airline ticket and service agents","0","0","0","Sherbrooke"
"42940","        6524 Ground and water transport ticket agents, cargo service representatives and related clerks","0","0","0","Sherbrooke"
"43040","        6525 Hotel front desk clerks","100","20828","20932","Sherbrooke"
"43159","      653 Tourism and amusement services occupations","80","6909","12512","Sherbrooke"
"43242","        6531 Tour and travel guides","60","6090","9609","Sherbrooke"
"43340","        6532 Outdoor sport and recreational guides","15","0","0","Sherbrooke"
"43440","        6533 Casino occupations","0","0","0","Sherbrooke"
"43540","      654 Security guards and related security service occupations","685","22935","28217","Sherbrooke"
"43640","        6541 Security guards and related security service occupations","685","22935","28217","Sherbrooke"
"43740","      655 Customer and information services representatives","1780","24473","25359","Sherbrooke"
"43840","        6551 Customer services representatives - financial institutions","315","32687","28070","Sherbrooke"
"43940","        6552 Other customer and information services representatives","1465","23440","24771","Sherbrooke"
"44040","      656 Other occupations in personal service","620","15503","17764","Sherbrooke"
"44159","        6561 Image, social and other personal consultants","25","0","0","Sherbrooke"
"44242","        6562 Estheticians, electrologists and related occupations","410","17935","19040","Sherbrooke"
"44340","        6563 Pet groomers and animal care workers","155","12641","17753","Sherbrooke"
"44440","        6564 Other personal service occupations","25","0","0","Sherbrooke"
"44540","    66 Sales support occupations","4900","11727","14846","Sherbrooke"
"44640","      661 Cashiers","2850","10274","12049","Sherbrooke"
"44740","        6611 Cashiers","2850","10274","12049","Sherbrooke"
"44840","      662 Other sales support and related occupations","2050","14298","18732","Sherbrooke"
"44940","        6621 Service station attendants","60","9363","11321","Sherbrooke"
"45040","        6622 Store shelf stockers, clerks and order fillers","1415","13583","16365","Sherbrooke"
"45159","        6623 Other sales related occupations","580","17570","25253","Sherbrooke"
"45242","    67 Service support and other service occupations, n.e.c.","6370","13936","18394","Sherbrooke"
"45340","      671 Food counter attendants, kitchen helpers and related support occupations","2415","9344","12724","Sherbrooke"
"45440","        6711 Food counter attendants, kitchen helpers and related support occupations","2420","9344","12724","Sherbrooke"
"45540","      672 Support occupations in accommodation, travel and amusement services","210","12569","19899","Sherbrooke"
"45640","        6721 Support occupations in accommodation, travel and facilities set-up services","15","0","0","Sherbrooke"
"45740","        6722 Operators and attendants in amusement, recreation and sport","190","12579","20604","Sherbrooke"
"45840","      673 Cleaners","3430","18756","21681","Sherbrooke"
"45940","        6731 Light duty cleaners","1930","16244","19247","Sherbrooke"
"46040","        6732 Specialized cleaners","315","18641","21276","Sherbrooke"
"46159","        6733 Janitors, caretakers and building superintendents","1190","25559","25735","Sherbrooke"
"46242","      674 Other service support and related occupations, n.e.c.","315","23587","25045","Sherbrooke"
"46340","        6741 Dry cleaning, laundry and related occupations","100","29236","30493","Sherbrooke"
"46440","        6742 Other service support occupations, n.e.c.","215","14749","22544","Sherbrooke"
"46540","  7 Trades, transport and equipment operators and related occupations","14150","37700","39452","Sherbrooke"
"46640","    72 Industrial, electrical and construction trades","5280","40510","42342","Sherbrooke"
"46740","      720 Contractors and supervisors, industrial, electrical and construction trades and related workers","355","58913","59181","Sherbrooke"
"46840","        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","100","62745","66618","Sherbrooke"
"46940","        7202 Contractors and supervisors, electrical trades and telecommunications occupations","70","66194","61977","Sherbrooke"
"47040","        7203 Contractors and supervisors, pipefitting trades","35","79236","82168","Sherbrooke"
"47159","        7204 Contractors and supervisors, carpentry trades","55","65265","57413","Sherbrooke"
"47242","        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers","100","40048","42667","Sherbrooke"
"47340","      723 Machining, metal forming, shaping and erecting trades","1670","39975","40245","Sherbrooke"
"47440","        7231 Machinists and machining and tooling inspectors","555","42285","40387","Sherbrooke"
"47540","        7232 Tool and die makers","110","42874","45359","Sherbrooke"
"47640","        7233 Sheet metal workers","55","57173","59586","Sherbrooke"
"47740","        7234 Boilermakers","20","0","0","Sherbrooke"
"47840","        7235 Structural metal and platework fabricators and fitters","35","36738","39279","Sherbrooke"
"47940","        7236 Ironworkers","110","59651","56590","Sherbrooke"
"48040","        7237 Welders and related machine operators","780","36930","35802","Sherbrooke"
"48159","      724 Electrical trades and electrical power line and telecommunications workers","770","50096","53145","Sherbrooke"
"48242","        7241 Electricians (except industrial and power system)","335","50031","49393","Sherbrooke"
"48340","        7242 Industrial electricians","95","69697","66459","Sherbrooke"
"48440","        7243 Power system electricians","30","0","0","Sherbrooke"
"48540","        7244 Electrical power line and cable workers","65","74760","76220","Sherbrooke"
"48640","        7245 Telecommunications line and cable workers","10","0","0","Sherbrooke"
"48740","        7246 Telecommunications installation and repair workers","210","43399","48120","Sherbrooke"
"48840","        7247 Cable television service and maintenance technicians","30","0","46341","Sherbrooke"
"48940","      725 Plumbers, pipefitters and gas fitters","245","46867","46401","Sherbrooke"
"49040","        7251 Plumbers","155","45986","43494","Sherbrooke"
"49159","        7252 Steamfitters, pipefitters and sprinkler system installers","80","51967","53417","Sherbrooke"
"49242","        7253 Gas fitters","15","0","0","Sherbrooke"
"49340","      727 Carpenters and cabinetmakers","1345","37413","37393","Sherbrooke"
"49440","        7271 Carpenters","1170","38597","38802","Sherbrooke"
"49540","        7272 Cabinetmakers","170","28566","27881","Sherbrooke"
"49640","      728 Masonry and plastering trades","445","37154","40494","Sherbrooke"
"49740","        7281 Bricklayers","175","38278","41108","Sherbrooke"
"49840","        7282 Concrete finishers","75","44280","47807","Sherbrooke"
"49940","        7283 Tilesetters","75","36394","41302","Sherbrooke"
"50040","        7284 Plasterers, drywall installers and finishers and lathers","135","33496","35119","Sherbrooke"
"50159","      729 Other construction trades","450","28681","32754","Sherbrooke"
"50242","        7291 Roofers and shinglers","135","34536","37244","Sherbrooke"
"50340","        7292 Glaziers","45","37083","38110","Sherbrooke"
"50440","        7293 Insulators","30","66472","53534","Sherbrooke"
"50540","        7294 Painters and decorators (except interior decorators)","200","18334","25415","Sherbrooke"
"50640","        7295 Floor covering installers","40","31805","31517","Sherbrooke"
"50740","    73 Maintenance and equipment operation trades","3170","43520","44781","Sherbrooke"
"50840","      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators","355","56688","56969","Sherbrooke"
"50940","        7301 Contractors and supervisors, mechanic trades","170","55030","59923","Sherbrooke"
"51040","        7302 Contractors and supervisors, heavy equipment operator crews","165","58666","57515","Sherbrooke"
"51159","        7303 Supervisors, printing and related occupations","0","0","0","Sherbrooke"
"51242","        7304 Supervisors, railway transport operations","10","0","0","Sherbrooke"
"51340","        7305 Supervisors, motor transport and other ground transit operators","15","0","0","Sherbrooke"
"51440","      731 Machinery and transportation equipment mechanics (except motor vehicles)","940","49809","51991","Sherbrooke"
"51540","        7311 Construction millwrights and industrial mechanics","600","52263","52914","Sherbrooke"
"51640","        7312 Heavy-duty equipment mechanics","170","41399","42998","Sherbrooke"
"51740","        7313 Heating, refrigeration and air conditioning mechanics","110","64402","55773","Sherbrooke"
"51840","        7314 Railway carmen/women","0","0","0","Sherbrooke"
"51940","        7315 Aircraft mechanics and aircraft inspectors","25","0","61928","Sherbrooke"
