"","occupation","employment","median.income","mean.income","geography"
"299","        4112 Lawyers and Quebec notaries","200","56012","64276","Abbotsford - Mission"
"300","      415 Social and community service professionals","980","47687","48492","Abbotsford - Mission"
"301","        4151 Psychologists","75","54242","66181","Abbotsford - Mission"
"302","        4152 Social workers","200","53686","53645","Abbotsford - Mission"
"303","        4153 Family, marriage and other related counsellors","190","45268","41920","Abbotsford - Mission"
"304","        4154 Professional occupations in religion","315","37443","38564","Abbotsford - Mission"
"305","        4155 Probation and parole officers and related occupations","120","63420","63422","Abbotsford - Mission"
"306","        4156 Employment counsellors","80","49971","51353","Abbotsford - Mission"
"307","      416 Policy and program researchers, consultants and officers","580","41696","49564","Abbotsford - Mission"
"308","        4161 Natural and applied science policy researchers, consultants and program officers","60","46065","50283","Abbotsford - Mission"
"309","        4162 Economists and economic policy researchers and analysts","15","0","0","Abbotsford - Mission"
"310","        4163 Business development officers and marketing researchers and consultants","150","38296","54043","Abbotsford - Mission"
"311","        4164 Social policy researchers, consultants and program officers","100","55439","54955","Abbotsford - Mission"
"312","        4165 Health policy researchers, consultants and program officers","75","57062","61020","Abbotsford - Mission"
"313","        4166 Education policy researchers, consultants and program officers","60","28648","33433","Abbotsford - Mission"
"314","        4167 Recreation, sports and fitness policy researchers, consultants and program officers","45","36600","36471","Abbotsford - Mission"
"315","        4168 Program officers unique to government","50","0","0","Abbotsford - Mission"
"316","        4169 Other professional occupations in social science, n.e.c.","10","0","0","Abbotsford - Mission"
"317","    42 Paraprofessional occupations in legal, social, community and education services","1995","26465","27533","Abbotsford - Mission"
"318","      421 Paraprofessional occupations in legal, social, community and education services","1990","26465","27533","Abbotsford - Mission"
"319","        4211 Paralegal and related occupations","85","40189","40150","Abbotsford - Mission"
"320","        4212 Social and community service workers","955","32326","32119","Abbotsford - Mission"
"321","        4214 Early childhood educators and assistants","595","17919","18978","Abbotsford - Mission"
"322","        4215 Instructors of persons with disabilities","30","23956","23707","Abbotsford - Mission"
"323","        4216 Other instructors","230","22795","26575","Abbotsford - Mission"
"324","        4217 Other religious occupations","105","19177","27311","Abbotsford - Mission"
"325","    43 Occupations in front-line public protection services","685","99536","92826","Abbotsford - Mission"
"326","      431 Occupations in front-line public protection services","685","99536","92826","Abbotsford - Mission"
"327","        4311 Police officers (except commissioned)","460","98174","98021","Abbotsford - Mission"
"328","        4312 Firefighters","185","106529","92742","Abbotsford - Mission"
"329","        4313 Non-commissioned ranks of the Canadian Armed Forces","40","38467","37517","Abbotsford - Mission"
"330","    44 Care providers and educational, legal and public protection support occupations","2390","28306","34336","Abbotsford - Mission"
"331","      441 Home care providers and educational support occupations","1760","20599","21138","Abbotsford - Mission"
"332","        4411 Home child care providers","385","6091","10503","Abbotsford - Mission"
"333","        4412 Home support workers, housekeepers and related occupations","465","22966","25178","Abbotsford - Mission"
"334","        4413 Elementary and secondary school teacher assistants","915","25748","23536","Abbotsford - Mission"
"335","      442 Legal and public protection support occupations","630","75779","71504","Abbotsford - Mission"
"336","        4421 Sheriffs and bailiffs","35","61399","62524","Abbotsford - Mission"
"337","        4422 Correctional service officers","530","76899","74375","Abbotsford - Mission"
"338","        4423 By-law enforcement and other regulatory officers, n.e.c.","65","56190","52623","Abbotsford - Mission"
"339","  5 Occupations in art, culture, recreation and sport","1975","19338","27529","Abbotsford - Mission"
"340","    51 Professional occupations in art and culture","635","15697","25108","Abbotsford - Mission"
"341","      511 Librarians, archivists, conservators and curators","45","44015","41251","Abbotsford - Mission"
"342","        5111 Librarians","35","43815","39024","Abbotsford - Mission"
"343","        5112 Conservators and curators","0","0","0","Abbotsford - Mission"
"344","        5113 Archivists","0","0","0","Abbotsford - Mission"
"345","      512 Writing, translating and related communications professionals","210","18438","27904","Abbotsford - Mission"
"346","        5121 Authors and writers","80","10962","17078","Abbotsford - Mission"
"347","        5122 Editors","70","36181","35347","Abbotsford - Mission"
"348","        5123 Journalists","10","0","0","Abbotsford - Mission"
"349","        5125 Translators, terminologists and interpreters","50","21415","33501","Abbotsford - Mission"
"350","      513 Creative and performing artists","380","12428","21704","Abbotsford - Mission"
"351","        5131 Producers, directors, choreographers and related occupations","35","0","0","Abbotsford - Mission"
"352","        5132 Conductors, composers and arrangers","15","0","0","Abbotsford - Mission"
"353","        5133 Musicians and singers","135","7119","12686","Abbotsford - Mission"
"354","        5134 Dancers","65","14648","19120","Abbotsford - Mission"
"355","        5135 Actors and comedians","75","8798","22088","Abbotsford - Mission"
"356","        5136 Painters, sculptors and other visual artists","55","21087","27730","Abbotsford - Mission"
"357","    52 Technical occupations in art, culture, recreation and sport","1345","20157","28663","Abbotsford - Mission"
"358","      521 Technical occupations in libraries, public archives, museums and art galleries","60","33954","30544","Abbotsford - Mission"
"359","        5211 Library and public archive technicians","50","35229","33443","Abbotsford - Mission"
"360","        5212 Technical occupations related to museums and art galleries","10","0","0","Abbotsford - Mission"
"361","      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","295","40581","45007","Abbotsford - Mission"
"362","        5221 Photographers","85","20155","20374","Abbotsford - Mission"
