NOC6_2 digit,NOC16_4 digit,Introspection 1,Introspection 2
    64 Sales representatives and salespersons - wholesale and retail trade,        6411 Sales and account representatives - wholesale trade (non-technical),1,1
    65 Service representatives and other customer and personal services occupations,        6521 Travel counsellors,1,0.5
    65 Service representatives and other customer and personal services occupations,        6523 Airline ticket and service agents,1,1
    65 Service representatives and other customer and personal services occupations,"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0.5,0.5
    65 Service representatives and other customer and personal services occupations,        6551 Customer services representatives - financial institutions,0.5,0.5
    65 Service representatives and other customer and personal services occupations,        6552 Other customer and information services representatives,0.5,0.5
    65 Service representatives and other customer and personal services occupations,"        6561 Image, social and other personal consultants",0,1
    94 Processing and manufacturing machine operators and related production workers,"        9472 Camera, platemaking and other prepress occupations",0,1
    02-05 Specialized middle management occupations,        0431 Commissioned police officers,0.5,0
    02-05 Specialized middle management occupations,        0432 Fire chiefs and senior firefighting officers,0,0
    02-05 Specialized middle management occupations,        0433 Commissioned officers of the Canadian Armed Forces,0.5,0
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0711 Construction managers,0.5,0.5
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0712 Home building and renovation managers,0.5,0.5
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0714 Facility operation and maintenance managers,1,0.5
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0821 Managers in agriculture,0.5,0
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0822 Managers in horticulture,0.5,0
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0823 Managers in aquaculture,0.5,0
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0911 Manufacturing managers,0.5,0
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0912 Utilities managers,1,0
    14 Office support occupations,        1411 General office support workers,0.5,0
    14 Office support occupations,        1414 Receptionists,1,0
"    15 Distribution, tracking and scheduling co-ordination occupations","        1511 Mail, postal and related workers",0.5,0
"    15 Distribution, tracking and scheduling co-ordination occupations",        1512 Letter carriers,0,0
"    15 Distribution, tracking and scheduling co-ordination occupations","        1513 Couriers, messengers and door-to-door distributors",0,0
"    15 Distribution, tracking and scheduling co-ordination occupations",        1521 Shippers and receivers,0,0
"    15 Distribution, tracking and scheduling co-ordination occupations",        1522 Storekeepers and partspersons,0,0
"    15 Distribution, tracking and scheduling co-ordination occupations",        1523 Production logistics co-ordinators,0,0.5
"    15 Distribution, tracking and scheduling co-ordination occupations",        1524 Purchasing and inventory control workers,0,0
    21 Professional occupations in natural and applied sciences,        2112 Chemists,0.5,0
    21 Professional occupations in natural and applied sciences,        2132 Mechanical engineers,0,0.5
    21 Professional occupations in natural and applied sciences,        2141 Industrial and manufacturing engineers,0,0
    21 Professional occupations in natural and applied sciences,        2142 Metallurgical and materials engineers,0.5,0.5
    21 Professional occupations in natural and applied sciences,        2143 Mining engineers,0.5,0.5
    21 Professional occupations in natural and applied sciences,        2144 Geological engineers,0.5,1
    21 Professional occupations in natural and applied sciences,        2145 Petroleum engineers,0.5,0.5
    21 Professional occupations in natural and applied sciences,        2154 Land surveyors,0,0
    22 Technical occupations related to natural and applied sciences,        2211 Chemical technologists and technicians,0,0
    22 Technical occupations related to natural and applied sciences,        2212 Geological and mineral technologists and technicians,0,0
    22 Technical occupations related to natural and applied sciences,        2221 Biological technologists and technicians,0,0.5
    22 Technical occupations related to natural and applied sciences,        2222 Agricultural and fish products inspectors,0,0
    22 Technical occupations related to natural and applied sciences,        2223 Forestry technologists and technicians,0,0.5
    22 Technical occupations related to natural and applied sciences,        2224 Conservation and fishery officers,0,0.5
    22 Technical occupations related to natural and applied sciences,        2232 Mechanical engineering technologists and technicians,0,0.5
    22 Technical occupations related to natural and applied sciences,        2233 Industrial engineering and manufacturing technologists and technicians,0,0
    22 Technical occupations related to natural and applied sciences,        2241 Electrical and electronics engineering technologists and technicians,0.5,0
    22 Technical occupations related to natural and applied sciences,        2242 Electronic service technicians (household and business equipment),1,0
    22 Technical occupations related to natural and applied sciences,        2243 Industrial instrument technicians and mechanics,0,0
    22 Technical occupations related to natural and applied sciences,"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,0
    22 Technical occupations related to natural and applied sciences,        2261 Non-destructive testers and inspection technicians,0.5,0
    22 Technical occupations related to natural and applied sciences,        2262 Engineering inspectors and regulatory officers,0.5,0
    22 Technical occupations related to natural and applied sciences,        2263 Inspectors in public and environmental health and occupational health and safety,0,0
    22 Technical occupations related to natural and applied sciences,        2264 Construction inspectors,0,0
    22 Technical occupations related to natural and applied sciences,"        2271 Air pilots, flight engineers and flying instructors",0,0
    22 Technical occupations related to natural and applied sciences,"        2273 Deck officers, water transport",0,0
    22 Technical occupations related to natural and applied sciences,"        2274 Engineer officers, water transport",0.5,0
    22 Technical occupations related to natural and applied sciences,        2275 Railway traffic controllers and marine traffic regulators,0,0
    30 Professional occupations in nursing,        3012 Registered nurses and registered psychiatric nurses,0,0
    31 Professional occupations in health (except nursing),        3111 Specialist physicians,0.5,0
    31 Professional occupations in health (except nursing),        3112 General practitioners and family physicians,0,0
    31 Professional occupations in health (except nursing),        3113 Dentists,0.5,0
    31 Professional occupations in health (except nursing),        3114 Veterinarians,0,0
    31 Professional occupations in health (except nursing),        3121 Optometrists,0,0
    31 Professional occupations in health (except nursing),        3122 Chiropractors,0,0
    31 Professional occupations in health (except nursing),        3124 Allied primary health practitioners,0,0
    31 Professional occupations in health (except nursing),        3125 Other professional occupations in health diagnosing and treating,0,0
    31 Professional occupations in health (except nursing),        3131 Pharmacists,0,0
    31 Professional occupations in health (except nursing),        3132 Dietitians and nutritionists,1,0.5
    31 Professional occupations in health (except nursing),        3141 Audiologists and speech-language pathologists,0,0
    31 Professional occupations in health (except nursing),        3142 Physiotherapists,0,0
    31 Professional occupations in health (except nursing),        3143 Occupational therapists,0,1
    31 Professional occupations in health (except nursing),        3144 Other professional occupations in therapy and assessment,0,0.5
    32 Technical occupations in health,        3211 Medical laboratory technologists,0,0
    32 Technical occupations in health,        3212 Medical laboratory technicians and pathologists' assistants,0,0
    32 Technical occupations in health,        3213 Animal health technologists and veterinary technicians,0,0
    32 Technical occupations in health,"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0,0
    32 Technical occupations in health,        3215 Medical radiation technologists,0,0
    32 Technical occupations in health,        3216 Medical sonographers,0,0
    32 Technical occupations in health,"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0
    32 Technical occupations in health,        3219 Other medical technologists and technicians (except dental health),0.5,0
    32 Technical occupations in health,        3221 Denturists,0,0
    32 Technical occupations in health,        3222 Dental hygienists and dental therapists,0,0
    32 Technical occupations in health,"        3223 Dental technologists, technicians and laboratory assistants",0,0
    32 Technical occupations in health,        3231 Opticians,0,0
    32 Technical occupations in health,        3232 Practitioners of natural healing,0,0
    32 Technical occupations in health,        3233 Licensed practical nurses,0,0
    32 Technical occupations in health,        3234 Paramedical occupations,0,0
    32 Technical occupations in health,        3236 Massage therapists,0,0
    32 Technical occupations in health,        3237 Other technical occupations in therapy and assessment,0,0
    34 Assisting occupations in support of health services,        3411 Dental assistants,0,0
    34 Assisting occupations in support of health services,"        3413 Nurse aides, orderlies and patient service associates",0,0
    34 Assisting occupations in support of health services,        3414 Other assisting occupations in support of health services,0,0
"    41 Professional occupations in law and social, community and government services",        4152 Social workers,0.5,0.5
"    41 Professional occupations in law and social, community and government services","        4153 Family, marriage and other related counsellors",1,0.5
"    41 Professional occupations in law and social, community and government services",        4154 Professional occupations in religion,0,0.5
"    42 Paraprofessional occupations in legal, social, community and education services",        4211 Paralegal and related occupations,0.5,0.5
"    42 Paraprofessional occupations in legal, social, community and education services",        4212 Social and community service workers,0,0
"    42 Paraprofessional occupations in legal, social, community and education services",        4214 Early childhood educators and assistants,0,0
"    42 Paraprofessional occupations in legal, social, community and education services",        4215 Instructors of persons with disabilities,0,0
"    42 Paraprofessional occupations in legal, social, community and education services",        4217 Other religious occupations,0,0.5
    43 Occupations in front-line public protection services,        4311 Police officers (except commissioned),0,0
    43 Occupations in front-line public protection services,        4312 Firefighters,0,0
    43 Occupations in front-line public protection services,        4313 Non-commissioned ranks of the Canadian Armed Forces,0,0
"    44 Care providers and educational, legal and public protection support occupations",        4411 Home child care providers,0,0
"    44 Care providers and educational, legal and public protection support occupations","        4412 Home support workers, housekeepers and related occupations",0,0
"    44 Care providers and educational, legal and public protection support occupations",        4421 Sheriffs and bailiffs,0.5,0
    51 Professional occupations in art and culture,        5111 Librarians,0.5,0
    51 Professional occupations in art and culture,        5112 Conservators and curators,0,0
    51 Professional occupations in art and culture,        5113 Archivists,0,0.5
    51 Professional occupations in art and culture,        5123 Journalists,0,0.5
    51 Professional occupations in art and culture,"        5131 Producers, directors, choreographers and related occupations",0,0.5
    51 Professional occupations in art and culture,"        5132 Conductors, composers and arrangers",0,0
    51 Professional occupations in art and culture,        5133 Musicians and singers,0,0
    51 Professional occupations in art and culture,        5134 Dancers,0,0
    51 Professional occupations in art and culture,        5135 Actors and comedians,0,0
